,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Maryland,Maryland,Nelly,"Maryland, Massachusetts",spotify:track:4go6Yen1c1JPcbkVtnpsxX,228160,9,2013-09-30
1,Maryland,Maryland,Trinidad James,M.M.M.,spotify:track:7xVLFuuYdAvcTfcP3IG3dS,283693,70,2013-08-19
2,Maryland,Maryland,Jesus Jones,Maryland,spotify:track:0C7QQFNWCDf28MqrDALXoi,220360,9,1991-01-28
3,Maryland,Maryland,Good Charlotte,There She Goes,spotify:track:1S3dKgErZIEvpSL6ccPe10,202133,30,2010-01-01
4,Maryland,Maryland,Logic,Last Call,spotify:track:202RUoPIUYZLyg6VtosWci,645666,48,2018-09-28
5,Maryland,Maryland,"Elephanz, Eugénie",Maryland,spotify:track:0l2ACXP9Hqr5tbxYmkrykl,180706,48,2018-04-04
6,Maryland,Maryland,Logic,100 Miles and Running,spotify:track:4CstQ0SUkl0YkoeZkIZlIx,353453,58,2018-09-28
7,Maryland,Maryland,Future,Just Like Bruddas,spotify:track:59amCplABrmgoBI6oZ3Ey7,230546,43,2015-01-15
8,Maryland,Maryland,Lake Malawi,Maryland,spotify:track:6u7BNnPfXH4VUPoG6e5kwC,159346,12,2017-11-10
9,Maryland,Maryland,James Brown,Night Train,spotify:track:5lE04QME0R4RNjepkflBJa,211920,47,1987-01-01
10,Maryland,Maryland,Logic,Take It Back,spotify:track:6HN5XPJEV31RQJGoyqZ81K,400013,57,2017-05-05
11,Maryland,Maryland,Vonda Shepard,Maryland,spotify:track:43k2o6SW39dDs9GkjqiwOV,234200,31,1996-05-16
12,Maryland,Maryland,Logic,Thank You,spotify:track:4ut9fdC5ncgcvCo0KaphNY,430426,47,2018-09-28
13,Maryland,Maryland,Underworld,Push Downstairs,spotify:track:6290vWI9Wt4BgxUAoOCHmI,364040,22,1999-03-01
14,Maryland,Maryland,Oddisee,NNGE (Never Not Getting Enough),spotify:track:0JxRM5pd0Nrin3mKLcdXlt,424853,15,2017-11-10
15,Maryland,Maryland,Kevin Gates,Tomorrow,spotify:track:5JFG3d41jsvwut9UDwPwWV,199444,43,2015-09-25
16,Maryland,Maryland,Hamilton Bohannon,Disco Stomp,spotify:track:3mUkLWIadGyGfhMx4MRfB6,315013,14,1975
17,Maryland,Maryland,Farosty,Lonzo,spotify:track:2CEdsI7ENfp79neNhKWU8u,144143,1,2018-01-16
18,Maryland,Maryland,Bohannon,Disco Stomp,spotify:track:3mUkLWIadGyGfhMx4MRfB6,315013,14,1975
19,Maryland,Maryland,James Brown & His Famous Flames,Night Train [Bonus Track],error,error,error,error
20,Maryland,Maryland,Missing Joe,Countdown,spotify:track:7sNTM1Xb4BbLFtcEMrevu1,220173,0,2002
21,Maryland,Maryland,"LeBron James, Kevin Durant",It Ain't Easy,spotify:track:0vI9FNmpZWHOZ8WIIQ5N1s,238247,7,2002
22,Maryland,Maryland,Jay-Z,Blueprint (Momma Loves Me),spotify:track:2cFnNLgQ0SYuh4vAftnGBH,220733,41,2001-09-11
23,Maryland,Maryland,Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing ta F' Wit,spotify:track:24vNw0Z0srb4zYXwrakw8E,216133,66,1993-11-09
24,Maryland,Maryland,A Tribe Called Quest,Award Tour [LP Version],error,error,error,error
25,Maryland,Maryland,Bob Dylan,The Lonesome Death of Hattie Carroll,spotify:track:6j1fiAG1NFBqPDRfJY19Yv,345133,41,1964-01-13
26,Maryland,Maryland,A Tribe Called Quest,Vibes and Stuff,spotify:track:4MdEYuoGhG2RTG3erOiu2H,257826,49,1991-09-24
27,Maryland,Maryland,A Tribe Called Quest,Award Tour,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,226440,63,1993-11-09
28,Maryland,Maryland,The Notorious B.I.G.,Everday Struggle,spotify:track:470cEoeasZwxEyF6GrHhIJ,185280,0,2019-05-22
29,Maryland,Maryland,Kanye West,Crack Music,spotify:track:4fRTe59xEeNHT4uyAGsV27,270866,51,2005-09-30
30,Maryland,Maryland,Miranda Lambert,Six Degrees Of Separation,spotify:track:5mFDc9SrUlzQhDASGtTC3R,189653,31,2016-11-18
31,Maryland,Maryland,"Peter, Paul and Mary",75 Septembers,spotify:track:6OCI6K6Wg1RHbckGhfySn8,231400,3,1995-01-01
32,Maryland,Maryland,OutKast,Tomb of the Boom,spotify:track:5F3reBlMAHQ0mpzRM6Jite,286173,37,2003
33,Maryland,Maryland,Bruce Springsteen,Shut Out the Light,spotify:track:7EAI7g1sOg4W3x1GeZ0y3p,231333,25,1998-11-10
34,Maryland,Maryland,Johnny Horton,Battle of Bull Run,error,error,error,error
35,Maryland,Maryland,Jay-Z,Big Momma Thang,error,error,error,error
36,Maryland,Maryland,50 Cent,50 Bars,spotify:track:5rFHBtx8zSEkjwLQQaUdaz,224313,0,2011-04-01
37,Maryland,Maryland,Diddy,No. 1,spotify:track:5yP0HRSiXK9WKIq7pVzU57,234000,34,2010-01-01
38,Maryland,Maryland,Bruce Springsteen,Rockaway the Days,spotify:track:4PqR2cOjFbpSI102g5PcCt,280440,23,1998-11-10
39,Maryland,Maryland,Jay-Z,100$ Bill,spotify:track:7LnTHBrT52Fk4RD1jjTrHO,201240,38,2013-01-01
