,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Massachusetts,Massachusetts,Nelly,"Maryland, Massachusetts",spotify:track:4go6Yen1c1JPcbkVtnpsxX,228160,9,2013-09-30
1,Massachusetts,Massachusetts,Gene Krupa,Massachusetts,spotify:track:17CbmvEV6Sy5JYCw6MMHw7,195333,17,1987-09-18
2,Massachusetts,Massachusetts,The Andrews Sisters,Massachusetts,spotify:track:7mdBYvE2qg23miHuNAwHHR,132000,0,2020-07-20
3,Massachusetts,Massachusetts,Dinah Shore,Massachusetts,spotify:track:5Iozxl2EDiP5R0fzAnxSlP,224413,0,1996-09-01
4,Massachusetts,Massachusetts,NOFX,Straight Outta Massachusetts,spotify:track:3Rf4FoqXbAnFLOS9gu3KWn,76893,23,2009-11-19
5,Massachusetts,Massachusetts,Ylvis,Massachusetts,spotify:track:2LORjhMsUWDGDqiqbsCC2w,273454,32,2013-10-26
6,Massachusetts,Massachusetts,Bee Gees,Massachusetts,spotify:track:3o7k5Mcdi0PFAXICTqjxra,146906,57,1968-02-01
7,Massachusetts,Massachusetts,Arlo Guthrie,Massachusetts,spotify:track:2wNS8eI7aqL8vfNz7sQttJ,193640,14,2008-08-01
8,Massachusetts,Massachusetts,Ra Ra Riot,Massachusetts,spotify:track:085LgHufn9N8qP8NLF05DU,338760,16,2010
9,Massachusetts,Massachusetts,B3,Massachusetts,spotify:track:085LgHufn9N8qP8NLF05DU,338760,16,2010
10,Massachusetts,Massachusetts,Jonathan Richman,Roadrunner,spotify:track:1zMaPLfjieOq8DBr5xDkwF,283026,43,2004-07-19
11,Massachusetts,Massachusetts,The Modern Lovers,Roadrunner,spotify:track:5E5HYgxGMp3BPakHGfKfIB,246440,58,1976-09-01
12,Massachusetts,Massachusetts,The Byrds,Boston,spotify:track:2eWDuIWvQ5Rzox2noAb3Jj,124178,8,1969-08-29
13,Massachusetts,Massachusetts,Hurriganes,Slippin' and Slidin',spotify:track:5DadLHQhTe5Wz3vIuKH0Bn,158866,8,2019-01-18
14,Massachusetts,Massachusetts,Willard Grant Conspiracy,Massachusetts,error,error,error,error
15,Massachusetts,Massachusetts,Gene Clark,Boston,spotify:track:5qEBFcGo6tIqnfJPKPjZWZ,121933,10,1991-09-10
16,Massachusetts,Massachusetts,James Brown,Night Train,spotify:track:5lE04QME0R4RNjepkflBJa,211920,47,1987-01-01
17,Massachusetts,Massachusetts,Taj Mahal,Ain't It Funky Now [*],spotify:track:6RyixAVX5fBkma6t3zObn1,162693,3,1967
18,Massachusetts,Massachusetts,The Hold Steady,"Hostile, Mass.",spotify:track:2Gj1cshwPvnO9YS7iedrYU,222493,13,2004-06-02
19,Massachusetts,Massachusetts,Future,Unicorn Purp,spotify:track:2U3LJfQB0ALLxC7Yy0QW7l,246915,51,2019-01-18
20,Massachusetts,Massachusetts,Aaron Lewis,Massachusetts,spotify:track:7nxeTNJ0RoEKBHIxe9lmKZ,303373,41,2011-03-01
21,Massachusetts,Massachusetts,Silverstein,Massachusetts,spotify:track:6Yy1jLQpHx5QmV4RpnuhYh,177379,41,2013-02-05
22,Massachusetts,Massachusetts,A Rocket to the Moon,Call It All Home [Bonus Track],spotify:track:0n0NGMxAZ41I0bMHU8aNnO,241633,0,2015-04-21
23,Massachusetts,Massachusetts,Connie Francis,I Got Rhythm,spotify:track:4t22iuXhakzKnXgxQaWM11,197760,0,2000-10-01
24,Massachusetts,Massachusetts,Fatboy Slim,Roadrunner,spotify:track:0QIJPmwyqOHLaXyt0gJ45O,173557,0,2019-02-03
25,Massachusetts,Massachusetts,Tom Lehrer,George Murphy,spotify:track:7rgVqFvpb7njqF3ocTcMRP,128573,14,1965-01-01
26,Massachusetts,Massachusetts,Guster,Homecoming King,spotify:track:6fuYiaCuB0UlztYrAOiZom,217573,29,2003-06-17
27,Massachusetts,Massachusetts,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,226200,55,2013-10-09
28,Massachusetts,Massachusetts,Amanda Palmer & the Grand Theft Orchestra,Massachusetts Avenue,spotify:track:20MLKbSIpokn3id9mZfzEp,280933,4,2012-09-11
29,Massachusetts,Massachusetts,Cracker,Yalla Yalla (Let's Go),spotify:track:7ecSW3n1TxwyPgWjjwjeIi,196732,11,2009-05-05
30,Massachusetts,Massachusetts,Modern Baseball,Mass,spotify:track:3cFrqnFHbGvOyV52aGyWbb,104598,38,2016-05-13
31,Massachusetts,Massachusetts,"Freundeskreis, Stress, Gentleman, Sékou",Tabula Rasa Pt. 2,error,error,error,error
32,Massachusetts,Massachusetts,Angie Miller,This Is the Life,spotify:track:1xyvppgA1tYXiVvpzqgdZe,165256,0,2020-05-14
33,Massachusetts,Massachusetts,"Millyz, Doble Porción",Alaska,spotify:track:5M0PR2IyrxgyvutfDLRlf4,209766,37,2020-07-10
34,Massachusetts,Massachusetts,Reba McEntire,Whoever's in New England,spotify:track:6uDbVmj2b9QIrWddvadvoM,203293,43,1986-01-01
35,Massachusetts,Massachusetts,Reba McEntire,Whoever's in New England [Live],spotify:track:52SfCGwxZgMfUUUl2cbWep,315453,8,1989-08-30
36,Massachusetts,Massachusetts,Conway Twitty,Who Did They Think He Was,spotify:track:4ZnwxpgWYNPdqzWfswF0VC,227973,6,1999-01-01
37,Massachusetts,Massachusetts,Charlie Daniels,Cowboy Hat in Dallas,spotify:track:0uX8EaYmiMyvYggcDN83pC,268960,22,1973
38,Massachusetts,Massachusetts,Emmylou Harris,Millworker,spotify:track:31qOCauvCGOKQj5RtLOqD3,246840,12,1981
39,Massachusetts,Massachusetts,Beastie Boys,Dedication,spotify:track:6soAtxDKJmmrBUQR61qmBL,152906,31,1998-07-14
40,Massachusetts,Massachusetts,The Everly Brothers,"When It's Night-Time in Italy, It's Wednesday Over Here",spotify:track:0uz2D2I5REk0Zqf5ZFWsE8,122906,4,1962
41,Massachusetts,Massachusetts,Arlo Guthrie,Alice's Restaurant,spotify:track:4OjKHySJHstsImlUW3qfml,1116833,50,1967-08-28
42,Massachusetts,Massachusetts,James Taylor,Millworker,spotify:track:58Pz2cGXmjnmaN0FZEt0qB,231733,41,1979
43,Massachusetts,Massachusetts,Bob Seger,Face the Promise,error,error,error,error
44,Massachusetts,Massachusetts,Arlo Guthrie,Won't Be Long,spotify:track:6FxEOiUrbvC15AMFGTRL6e,160333,12,1974-08-02
45,Massachusetts,Massachusetts,The Game,92 Bars,spotify:track:0WfPKFl2P0cWGbyVy36Oqx,358573,43,2016-10-14
46,Massachusetts,Massachusetts,Alonzo,Caliente,spotify:track:59Gscqp5dgqCBLlKkmdX4f,165075,43,2020-04-19
47,Massachusetts,Massachusetts,"James Taylor, Fallen Angels",Millworker,spotify:track:58Pz2cGXmjnmaN0FZEt0qB,231733,41,1979
48,Massachusetts,Massachusetts,Snoop Dogg,F-It-Less,error,error,error,error
49,Massachusetts,Massachusetts,The Everly Brothers,When It's Night-Time in Italy It's Wednesday Over Here,spotify:track:0uz2D2I5REk0Zqf5ZFWsE8,122906,4,1962
50,Massachusetts,Massachusetts,Bette Midler,Millworker,spotify:track:5G0fP1cixrQ8OVRWqcq0A0,247093,6,1979
51,Massachusetts,Massachusetts,LL Cool J,American Girl,spotify:track:0pu2UahwNaw4cPwoRgOmFV,265786,8,2008-01-01
52,Massachusetts,Massachusetts,"Justin Timberlake, T-Pain",Can't Believe It,spotify:track:7kVu490RJwlnxebxTTYvKd,320800,36,2008-12-05
53,Massachusetts,Massachusetts,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,95800,3,2005-02-08
54,Massachusetts,Massachusetts,B.o.B,Brokenhearted,spotify:track:0wBaPbJ2qsbGqgnGbqBDgP,178440,50,2004-01-01
55,Massachusetts,Massachusetts,Geto Boys,What?,spotify:track:4sOF3FhQgN4pnYoCBlCA8m,242813,21,2005-01-25
56,Massachusetts,Massachusetts,Tom Lehrer,We Will All Go Together When We Go,spotify:track:2ILOKStuQTILjVsb1icklE,160760,33,2010-01-01
57,Massachusetts,Massachusetts,"Malik Yusef, Lil B, Halsey, Vic Mensa, Le1f",Free Love,spotify:track:5L7e9KwKGrMAhOGZdsCgdj,81758,0,2019-06-21
58,Massachusetts,Massachusetts,Harry Chapin,Dogtown,spotify:track:5x8X52X2tnC2plFUBpIYpo,448573,19,2015-10-09
59,Massachusetts,Massachusetts,Pixies,U-Mass,spotify:track:5wFQ6Jt8ETNd0gnSetAtJk,180866,45,1991-09-23
60,Massachusetts,Massachusetts,The Mighty Mighty Bosstones,A Little Bit Ugly,spotify:track:3dEzYNyesyOcDASqpvwmNc,227826,16,1989
61,Massachusetts,Massachusetts,Dr. Demento,Entering Marion,error,error,error,error
62,Massachusetts,Massachusetts,Natalie Merchant,Indian Names,spotify:track:0NoFqnffgfaoFliWvgZ9A3,352333,11,2010-03-01
63,Massachusetts,Massachusetts,Raekwon,Pa-Blow Escablow,spotify:track:0PDonRU5Nyvy7pxaXLglQ4,189160,9,2003-01-01
64,Massachusetts,Massachusetts,Nanci Griffith,Back When Ted Loved Sylvia,error,error,error,error
65,Massachusetts,Massachusetts,They Might Be Giants,Lake Monsters,spotify:track:1YyfCATg48AuHKF9qsDxHA,176920,19,2018-01-19
66,Massachusetts,Massachusetts,Tory Lanez,Litty Again (Freestyle),error,error,error,error
67,Massachusetts,Massachusetts,Mickey Hart,Down The Road,spotify:track:4js5SkBN1kLhBdCihaWGjd,360026,8,1996-06-01
68,Massachusetts,Massachusetts,Dropkick Murphys,The State of Massachusetts,spotify:track:0kXpvPNNjjPsEGRg3SE0xW,232186,52,2007-09-18
69,Massachusetts,Massachusetts,Mac DeMarco,One More Tear to Cry,spotify:track:58SJDAwnIKG6kcItgL2NRp,244564,36,2012-03-13
70,Massachusetts,Massachusetts,Marky Mark,Life in the Streets,spotify:track:0bhgooSLjAlCT3Pnb9hGLT,270466,0,2011-11-07
71,Massachusetts,Massachusetts,Kevin Gates,IDGAF,spotify:track:5KJ7TOWSkcRCbgnRmGatnA,247320,44,2013-04-09
72,Massachusetts,Massachusetts,Ultramagnetic MC's,Break North,spotify:track:4Do6uQywonOBPxnDWCI0nf,204173,11,1988
73,Massachusetts,Massachusetts,Animaniacs,Wakko's America,error,error,error,error
74,Massachusetts,Massachusetts,The Hold Steady,Sweet Payne,spotify:track:2B8dSLNdWexM7AVrwrfaXy,273040,12,2004-06-02
75,Massachusetts,Massachusetts,Pato Banton,Go Pato,spotify:track:4f1EdNgsnvVz6K5Qbu5JS0,275400,54,2008-01-01
76,Massachusetts,Massachusetts,Wolfe Tones,Boston Rose,spotify:track:0lQyChnmif2walGNsvFLuS,314480,33,2010-07-09
77,Massachusetts,Massachusetts,The Hold Steady,Banging Camp,spotify:track:5ge4MQ8xp3cSrsV8QSt9h7,253946,23,2005-05-04
78,Massachusetts,Massachusetts,Le Tigre,New Kicks,spotify:track:2C3YnXbRvaqiBx5s2fcyit,257746,17,2004-01-01
79,Massachusetts,Massachusetts,The Hold Steady,Chillout Tent,spotify:track:0zvnxVyyBF3kQpijgi1sUw,223040,19,2016-12-09
80,Massachusetts,Massachusetts,Ace Hood,Another Statistic,spotify:track:6l4s7wuCt1fkKoAwKMkYeG,217186,34,2013-01-01
81,Massachusetts,Massachusetts,White Denim,Head Spinning,spotify:track:39Y8Co0z2J1AbzF11rhuFO,139906,16,2019-03-29
82,Massachusetts,Massachusetts,Frank Black,Fitzgerald,spotify:track:4xR3fCXmvxJW5TfAu1IJMo,192653,5,2006
83,Massachusetts,Massachusetts,Black Stone Cherry,When the Weight Comes Down,spotify:track:7p2CgLhUJNkkOsrygX7a6d,215760,0,2020-07-24
84,Massachusetts,Massachusetts,Clutch,Sucker for the Witch,spotify:track:0pzgjslKXrympdDbHVCqvb,201519,35,2015-10-02
85,Massachusetts,Massachusetts,The Hold Steady,Both Crosses,spotify:track:7DywNNMgrbBbhGvQkNRrAf,274986,18,2008-06-17
86,Massachusetts,Massachusetts,Fountains of Wayne,Acela,spotify:track:4B6cOOYqrbGNaPOtM80wIu,192613,19,2011-08-02
87,Massachusetts,Massachusetts,Clairo,Alewife,spotify:track:3jgrNd3uPU1c2PFBKYsV9d,213000,62,2019-08-02
88,Massachusetts,Massachusetts,Boslen,PURPLE & BLUE,spotify:track:7pSEaOdu06LyJNu26I2Tp9,153706,30,2019-12-03
89,Massachusetts,Massachusetts,Roberto & Danny,Struggle of Manhood,error,error,error,error
90,Massachusetts,Massachusetts,Mass. Amigo,They Don't Luv Me (feat. DjShowtime & DjRong),error,error,error,error
91,Massachusetts,Massachusetts,Kids Learning Tube,50 States Of America,spotify:track:3tztsilIBqZPtiYJRostml,301818,17,2016-04-07
