,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Michigan,Michigan,David Houston,Saginaw Michigan,spotify:track:2KYUFoctTOfNbvCDg4rL6E,173173,0,1965
1,Michigan,Michigan,Albert King,Cadillac Assembly Line,spotify:track:2316g74O1sUeQvH75wxllR,318306,4,2004-01-01
2,Michigan,Michigan,Leif Vollebekk,Michigan,spotify:track:4M8po6ZyjH7zL2dyDS3EhF,287506,33,2017-02-24
3,Michigan,Michigan,Everclear,Detroit,spotify:track:2PXEWsF6juWOIsejmyDpIm,245866,6,1999-01-01
4,Michigan,Michigan,John Linnell,Michigan,spotify:track:5J6x6mHZqlHwK45oeaOOLd,74466,5,1999-10-26
5,Michigan,Michigan,David Frizzell,"Saginaw, Michigan",spotify:track:1UhODGrSpJOPLJTmh9rbZU,202533,8,2005
6,Michigan,Michigan,The Milk Carton Kids,Michigan,spotify:track:0WkJWnMCumm1fnFscdY7Rw,330772,62,2011-07-19
7,Michigan,Michigan,Wilco,Spiders (Kidsmoke),spotify:track:5VT6IkQWpeXhWa7ZWjKDQp,642200,29,2004-06-21
8,Michigan,Michigan,Protomartyr,Michigan Hammers,spotify:track:2achoRUf5dGKxwIrjBIEEd,240899,45,2020-07-17
9,Michigan,Michigan,Tylor Carl,Girl from Michigan,spotify:track:7DpHQOiODR6ZgI4ERZ6Ez9,187794,0,2017-12-08
10,Michigan,Michigan,Melkbelly,LCR,spotify:track:1A8a2Ug6UYkGHdr8ApjjzP,165407,22,2020-04-03
11,Michigan,Michigan,Fireworks,One More Creature Dizzy W/ Love,spotify:track:5UHkk73DVAshVI6EYRAU0r,225426,17,2014-03-25
12,Michigan,Michigan,Sufjan Stevens,Say Yes! to M!ch!gan!,spotify:track:5N9aJzWu56RVMfJ7wl4gBm,165973,34,2003-07-01
13,Michigan,Michigan,The Dayton Family,Flint Town,spotify:track:6TdYBEcPJesOcSTDaCnQlb,369449,33,1995-06-20
14,Michigan,Michigan,Michel Sardou,Monsieur le President de France,spotify:track:1tN1A6xwyOltSpH4i0kkuG,171893,0,2004-01-01
15,Michigan,Michigan,Johnny Cash,Highway Patrolman,spotify:track:1GalAzXQW0EB8YhqPHnzFS,321946,34,1983-09-01
16,Michigan,Michigan,Bruce Springsteen,Highway Patrolman,spotify:track:408tTuSDxIr3zDR90Zmcw2,336400,41,1982-09-30
17,Michigan,Michigan,Bruce Springsteen,Used Cars,spotify:track:1LDz5dqGxxWSOxNWjuzclb,188080,37,1982-09-30
18,Michigan,Michigan,Kate Smith,(I've Got a Gal In) Kalamazoo,spotify:track:4xUfHFL1ZazyFyPsndbSqh,185333,3,1991-09-03
19,Michigan,Michigan,Glenn Miller,(I've Got a Gal In) Kalamazoo,spotify:track:1twPe9UfYbbnYS57ku0AWl,194800,33,1939
20,Michigan,Michigan,Glenn Miller & His Orchestra,(I've Got a Gal In) Kalamazoo,spotify:track:22P1593SCrniNosQ0v4dCf,194933,4,1991-09-24
21,Michigan,Michigan,Benny Goodman,(I've Got a Gal In) Kalamazoo,spotify:track:118Z2rR6cSsv81UESfdKjo,197226,4,1998-06-12
22,Michigan,Michigan,Buddy Guy,My Baby She Left Me (She Left Me a Mule to Ride),spotify:track:3mi2eCEjX6RCSIwhjp62yc,191373,12,2004-11-30
23,Michigan,Michigan,Glenn Miller,I've Got a Gal in Kalamazoo,spotify:track:1twPe9UfYbbnYS57ku0AWl,194800,33,1939
24,Michigan,Michigan,Johnny Cash,Wrinkled Crinkled Wadded Dollar Bill,spotify:track:6RHHInkBgCeerffHN24X1m,151360,19,1970-01-19
25,Michigan,Michigan,Glenn Miller & His Orchestra,I've Got a Gal in Kalamazoo,spotify:track:22P1593SCrniNosQ0v4dCf,194933,4,1991-09-24
26,Michigan,Michigan,The Andrews Sisters,Kalamazoo,spotify:track:4mzbGCZ5eEwG3fXi3S91I8,171232,0,2011-06-14
27,Michigan,Michigan,Chris Martin,Homecoming,spotify:track:2ovQ5MCx91XVjgVWEPfvks,203493,71,2007-09-11
28,Michigan,Michigan,Sonny Boy Williamson II,Sonny Boy's Jump,spotify:track:3GsTz9e7YL6GTWOtrKRyhL,188200,0,2015-05-29
29,Michigan,Michigan,Louis Armstrong,(I've Got a Gal In) Kalamazoo,error,error,error,error
30,Michigan,Michigan,Kanye West,Homecoming,spotify:track:2ovQ5MCx91XVjgVWEPfvks,203493,71,2007-09-11
31,Michigan,Michigan,Benny Goodman & His Orchestra,I've Got a Gal in Kalamazoo,spotify:track:118Z2rR6cSsv81UESfdKjo,197226,4,1998-06-12
