,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Minnesota,Minnesota,Young Thug,Minnesota,spotify:track:4XkOcWt0C2JX1s2RXybosk,268114,58,2016-07-05
1,Minnesota,Minnesota,Weird Al Yankovic,The Biggest Ball of Twine in Minnesota,spotify:track:3i3HEXZRAQ4d7SQeB0098V,408013,26,1989-01-01
2,Minnesota,Minnesota,Dr. Demento,The Biggest Ball of Twine in Minnesota,error,error,error,error
3,Minnesota,Minnesota,Frank Zappa,It Can't Happen Here,spotify:track:7eIyQ6QsAypL1EmUN8liCg,236693,23,1966-06-27
4,Minnesota,Minnesota,Kidz Bop Kids,Truth Hurts,spotify:track:4JzAcIjtO0yQ3refHgCWfE,163640,52,2019-09-06
5,Minnesota,Minnesota,"Lizzo, DaBaby",Truth Hurts [DaBaby Remix],spotify:track:01jBJGEa9Ex9W2IjkIzuY6,197610,50,2019-08-23
6,Minnesota,Minnesota,Frank Zappa,"Help, I'm a Rock",spotify:track:2VTy9WNfs1bG9OvNu4ybn0,283066,27,1966-06-27
7,Minnesota,Minnesota,Lizzo,Truth Hurts,spotify:track:3HWzoMvoF3TQfYg4UPszDq,173325,80,2019-04-19
8,Minnesota,Minnesota,Saint Asonia,Leaving Minnesota,spotify:track:1IZYN7TusuqNqZowSchJ7l,208293,30,2015-07-31
9,Minnesota,Minnesota,The Push Stars,Minnesota,spotify:track:1SbPdP6KOhxznaPPAHHHiW,205293,8,1999-01-01
10,Minnesota,Minnesota,Atmosphere,Jason,spotify:track:0KxgUgDARVHcJogTGxeiDk,294986,40,2011-10-28
11,Minnesota,Minnesota,The Dresden Dolls,Shores of California,spotify:track:2VDRy5dwcSRE6C39I6jiLv,215760,27,2006-03-29
12,Minnesota,Minnesota,Kid Dakota,Ten Thousand Lakes,spotify:track:7ybEKJRAbbxga27r1ZUEjw,306866,7,2004-05-01
13,Minnesota,Minnesota,Trisha Yearwood,On a Bus to St. Cloud,spotify:track:4EyOqAYdmJqS5Q4zHiox9Z,284200,29,1995-01-01
14,Minnesota,Minnesota,Andre Nickatina,Bakin' Soda in Minnesota,spotify:track:05jNrrouvvb07kGZ75ML2q,183920,30,2000-06-02
15,Minnesota,Minnesota,Migos,Payola,spotify:track:4LIOAEnCzA3ymmKZFD8brU,181971,30,2014-06-03
16,Minnesota,Minnesota,Hole,Drown Soda,spotify:track:4uYldSGNQ9kjUHMEh2u5Nt,230733,18,1995-02-09
17,Minnesota,Minnesota,"Raekwon, Ghostface Killah",Outta Town Shit,spotify:track:6UQvAqp994a76fSNXlm2ft,225413,15,2006-01-01
18,Minnesota,Minnesota,NOFX,Seeing Double at the Triple Rock,spotify:track:5QegaMGMY7mORFEBngkFxy,129666,52,2006-04-18
19,Minnesota,Minnesota,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,226200,55,2013-10-09
20,Minnesota,Minnesota,Del Reeves,The Philadelphia Fillies,spotify:track:3873wECBMdrdOhjoxNjLqM,148373,10,2013-01-01
21,Minnesota,Minnesota,Atmosphere,Onemosphere,spotify:track:0mCdU4D48196aAW8CUyYgm,137093,33,2002
22,Minnesota,Minnesota,Trampled by Turtles,The Darkness and the Light,spotify:track:2MhhYrCk7u8UXZPeErvK5h,204040,31,2008
23,Minnesota,Minnesota,Triple J,Seeing Double at the Triple Rock,spotify:track:5QegaMGMY7mORFEBngkFxy,129666,52,2006-04-18
24,Minnesota,Minnesota,Unlinked Artist,On a Bus to St. Cloud,spotify:track:7dMIgUExafsPNo39yLt4Tt,225828,0,2010-11-24
