,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Mississippi,Mississippi,They Might Be Giants,Ten Mississippi,spotify:track:4401AXa50lP3zI1xt1OHgk,51133,23,2008
1,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man",spotify:track:02sENi9ULQ36x9mKo5B7XW,151731,58,1973-01-01
2,Mississippi,Mississippi,Conway Twitty,"Louisiana Woman, Mississippi Man",spotify:track:02sENi9ULQ36x9mKo5B7XW,151731,58,1973-01-01
3,Mississippi,Mississippi,Jill King,One Mississippi,spotify:track:6eRWq8Hpn0WKEtz6hJPkEl,204904,4,2003-01-01
4,Mississippi,Mississippi,EPMD,Blow,spotify:track:6J1pDBHyhDEvpy3EEoM9GI,212786,10,2008-12-09
5,Mississippi,Mississippi,Hans Theessink,Mississippi,spotify:track:24QQrsK7tljD5ldqyad6Op,360226,18,1989
6,Mississippi,Mississippi,Charley Pride,Roll on Mississippi,spotify:track:7xj8QunnchIvIWlYjV9v7g,214706,37,2006-05-08
7,Mississippi,Mississippi,Phil Ochs,Here's to the State of Mississippi,spotify:track:4q9f5lRkthKqmmzgwLymL8,354933,30,1965
8,Mississippi,Mississippi,Mavis Staples,Down in Mississippi [Live],spotify:track:18iVZcylQXIjYoVq8uACkr,272146,10,2008-11-04
9,Mississippi,Mississippi,Martina McBride,"Louisiana Woman, Mississippi Man",spotify:track:1us6oZFgV57a0aPSZt69ZL,180600,23,2012-10-23
10,Mississippi,Mississippi,Otis Spann,Home to Mississippi,error,error,error,error
11,Mississippi,Mississippi,Emily West,Mississippi's Cryin',error,error,error,error
12,Mississippi,Mississippi,Zara Larsson,One Mississippi,spotify:track:7oArXBmMlLCtZdUkXWQZGs,187906,50,2017-03-17
13,Mississippi,Mississippi,Eddie Rabbitt,Crossin' the Mississippi,spotify:track:6GyAnT0ujHjVg7cOJuuGpR,175453,9,1978-03-14
14,Mississippi,Mississippi,Patrick Verbeke,Down In Mississippi,spotify:track:7N0vlLqhhM0VFkcrrNaplJ,297853,5,2003-08-26
15,Mississippi,Mississippi,The Ohio Players,Far East Mississippi,spotify:track:5zzL6mrkUURIZxR0EvPVVO,295160,1,1995-06-06
16,Mississippi,Mississippi,Faith Hill,Mississippi Girl,spotify:track:79YeQbd1p7MsuT7wHQLRYY,232706,50,2005-08-02
