,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Montana,Montana,Future,Tony Montana,spotify:track:1IWXAWo4u0H1D0QvSpvldn,245960,44,2012-11-27
1,Montana,Montana,Future,Tony Montana [Version],spotify:track:26pEGjwWHLrNOr4Rgx7ePI,249906,0,2012-04-05
2,Montana,Montana,Migos,Hannah Montana,spotify:track:3SnLc0bQjQeE3HgGdNfb8u,212712,50,2013-07-09
3,Montana,Montana,"Niska, Madrane, Brigistone, Rako (Charo)",Tony Montana,spotify:track:3uh0qL2PRYO79AuRVGUo8X,256946,29,2015-10-02
4,Montana,Montana,Marlò,TONY MONTANA,spotify:track:3JUmaAXdZj2UwbpHLcUxkE,216319,10,2019-08-23
5,Montana,Montana,Mata,Mata Montana,spotify:track:6Gn7Tpem8ydQpS5aIZWV57,201546,56,2020-01-17
6,Montana,Montana,Niska,H&M,spotify:track:1ZKQ17zSWxjm8kAXhjUhkK,156880,40,2018-08-09
7,Montana,Montana,"Snik, Light",Tony Montana,error,error,error,error
8,Montana,Montana,"Evo, Gama",Tony Montana,spotify:track:6pjtTGMa5k3Y5d0Dr61lai,201642,0,2019-07-18
9,Montana,Montana,Alonzo,Vargas,spotify:track:5i7YHiTbtJDrvyd2RjJ5vp,200653,37,2019-04-05
10,Montana,Montana,"Lil Bibby, Juicy J",Montana,spotify:track:5mqzhMuUpvnMfwNz6iepmO,181720,70,2018-05-15
11,Montana,Montana,Emmylou Harris,Wild Montana Skies,spotify:track:0KZej3Y54GEMBmlc6MTHGy,243253,46,1983
12,Montana,Montana,John Denver,Wild Montana Skies,spotify:track:0KZej3Y54GEMBmlc6MTHGy,243253,46,1983
13,Montana,Montana,Tory Lanez,Diego,spotify:track:00BnfL75e8vHSGCmwUWbEk,242346,54,2015-01-15
14,Montana,Montana,Hayce Lemsi,Bad Montana,spotify:track:6muXrgKPOxNeaKV0BuT6Sx,182026,27,2018-12-07
15,Montana,Montana,Niro,FTM,spotify:track:5dhKlx29a0IcRGXxrlakZ5,212333,42,2020-07-08
16,Montana,Montana,"SCH, Lacrim, Kore",Tony,spotify:track:1MY4HVXfBkUg1mUjmCjznI,379946,48,2016-07-08
17,Montana,Montana,"얀키, Agust D",Tony Montana,spotify:track:4rEP3s8gClYCL1rKUKX4M0,207873,60,2016-08-16
18,Montana,Montana,Alrima,Donna imma,spotify:track:1swNDnL91mrP9N13l4kFhp,188506,27,2018-03-23
19,Montana,Montana,Lil Wayne,Wayne's World,spotify:track:5SqVYAZIzU3R0TM0JDS8k5,225945,46,2020-01-31
20,Montana,Montana,Justin Timberlake,Montana,spotify:track:3mNfKVgSiejiZYmFRVjNbQ,279906,48,2018-02-02
21,Montana,Montana,Kurdo,Barone,spotify:track:6H1SdTHwWELzJuvFQ0Y8nS,196333,23,2017-09-15
22,Montana,Montana,Marie Osmond,Meet Me in Montana,spotify:track:0qXUwQbZHFnhAGCgqwz2lR,236626,54,1985-01-01
23,Montana,Montana,"Snoop Dogg, Wiz Khalifa, French Montana, Lana Del Rey",All For You,spotify:track:7Mwuw3ufBzbsAVe4WtuOXl,446800,0,2013-07-16
