,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Nebraska,Nebraska,Bowling for Soup,(Ready or Not) Omaha Nebraska,spotify:track:2x1saNE4q46sT3lK7j7EK0,216733,13,2005-11-14
1,Nebraska,Nebraska,The Morrie Morrison Orchestra,N-E-B-R-A-S-K-A,spotify:track:3GMR3hyv8BccozoebVMve3,278200,57,1997
2,Nebraska,Nebraska,Lady Gaga,Yoü And I,spotify:track:6rkAY9rk1NTFB94QxG3LJR,307346,60,2011-01-01
3,Nebraska,Nebraska,Lady Gaga,Yoü and I [Wild Beasts Remix],spotify:track:5oNeiH3v0MtS4jQjwrSzQ4,230840,17,2011-01-01
4,Nebraska,Nebraska,Lady Gaga,Yoü and I,spotify:track:6rkAY9rk1NTFB94QxG3LJR,307346,60,2011-01-01
5,Nebraska,Nebraska,Lady Gaga,Yoü and I [Danny Verde Club Mix],error,error,error,error
6,Nebraska,Nebraska,Glee,You and I/You and I,spotify:track:5r9YRhSv8rLodAFRjKmBqb,195533,38,2012-08-28
7,Nebraska,Nebraska,moe.,Nebraska,spotify:track:3g6Iv6AJddkj641ufya8h4,229666,50,1998-09-08
8,Nebraska,Nebraska,Anvil,Nabbed In Nebraska,spotify:track:2DcykF5eaHu1z2TiuRmns0,273480,31,2019-12-05
9,Nebraska,Nebraska,Bee Gees,Road to Alaska,spotify:track:1WTjwkPqN5f1CxAAwjsKrB,158960,15,1972-01-01
10,Nebraska,Nebraska,Pierre Perret,Olga,spotify:track:05M1CnHnEvYQrnDKnw2zNI,180933,12,2013
11,Nebraska,Nebraska,Sawyer Brown,The Nebraska Song,spotify:track:3098CRddof0HMo48LTC4T8,173266,22,1997-04-15
12,Nebraska,Nebraska,American Supermodel,Walking Nebraska,spotify:track:3XTWhzLTd534Sq04P08ac9,173546,0,2005-01-01
13,Nebraska,Nebraska,Alma Cogan,Never Do A Tango With An Eskimo,spotify:track:7JXjtgYNxYh4XnKx7C0eb7,132506,21,1991
14,Nebraska,Nebraska,The Nields,Nebraska,spotify:track:4TWFdfdfgTZS44xTwxCQxH,265160,1,1998-01-01
15,Nebraska,Nebraska,Bruce Springsteen,Wild Billy's Circus Story,spotify:track:6OBEKyFZgWR0eKLFMJjJG1,281880,32,1973-09-11
16,Nebraska,Nebraska,Damien Jurado,Dear Thomas Wolfe,spotify:track:3Vhzy3t0ghBDwgI3OFxG3W,198373,35,2018-07-06
17,Nebraska,Nebraska,Josh Rouse,Dressed Up Like Nebraska,spotify:track:0LymZTV46ieWMOP1vxMLRR,204773,24,1998
18,Nebraska,Nebraska,The Cash Brothers,Nebraska,spotify:track:7G2rIgcpg91KP0JfWDN5Jm,225973,6,2001-04-17
19,Nebraska,Nebraska,Richard Marx,Hazard,spotify:track:1ntKYuqLlmV3sTZoNyeHhM,317306,59,1991-01-01
20,Nebraska,Nebraska,The Decemberists,Calamity Song,spotify:track:7m3fyN4mYVxLeYHTgWJiPB,228360,42,2011
21,Nebraska,Nebraska,Kimbra,Settle Down,spotify:track:6cdslY3YKjh7pImxFhSBVG,241506,47,2011
22,Nebraska,Nebraska,Richard Marx,Hazard [Live],spotify:track:2jGXRlVjjanZp2ijKCKf7R,256787,19,2012-06-19
23,Nebraska,Nebraska,Kane's River,Cole Younger,error,error,error,error
24,Nebraska,Nebraska,"Richard Desjardins, Richard Desjardins",Langlois,spotify:track:1s0BTofHfuIzLr7mlR6PU9,459826,0,2019-12-16
25,Nebraska,Nebraska,Bruce Springsteen,Nebraska,spotify:track:7GDIQqD5pdHCda5rpZ98Ie,269813,48,1982-09-30
26,Nebraska,Nebraska,Waylon Jennings,Omaha,spotify:track:3yeONAlGlFCEW2bAZHrXTQ,158493,32,1973-07-01
27,Nebraska,Nebraska,Woody Guthrie,The Great Dust Storm (Dust Storm Disaster),spotify:track:7p4l82yVJXjQ8dabjIx7eL,197706,22,2000-07-11
28,Nebraska,Nebraska,Hank Snow,I've Been Everywhere [Live],error,error,error,error
29,Nebraska,Nebraska,Bob Seger,Get Out of Denver,spotify:track:0e9YaZqnRi3QYSMUIdcarE,320240,34,1976-04-12
30,Nebraska,Nebraska,Rich Mullins,Calling out Your Name [DVD; Bonus Track],error,error,error,error
31,Nebraska,Nebraska,Rich Mullins,Calling out Your Name,spotify:track:15PNp7FscNJpictDn1zlg8,289760,28,1996
32,Nebraska,Nebraska,David Houston,My Elusive Dreams,spotify:track:5Z93ljc9z8UVlFxPLlMZQE,171653,22,2013-08-20
33,Nebraska,Nebraska,Woody Guthrie,Dust Storm Disaster,spotify:track:7p4l82yVJXjQ8dabjIx7eL,197706,22,2000-07-11
34,Nebraska,Nebraska,Tammy Wynette,My Elusive Dreams,spotify:track:64W9GKax1D7yVg0LrW5kMW,171160,31,1964
35,Nebraska,Nebraska,Marty Robbins,Prairie Fire,spotify:track:6V7pspbbQBrNkOryBz3M48,136666,34,1960-07-18
