,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Nevada,Nevada,Goombay Dance Band,Rain,spotify:track:3WDPusThlTOPzliYoTVaeM,269500,17,2016-03-18
1,Nevada,Nevada,Davide Petrella,Nevada,spotify:track:4VI2nFXDMFIeZGFMsIWpXJ,218586,13,2018-06-08
2,Nevada,Nevada,The Jayhawks,"Nevada, California",spotify:track:2yyMVW1KDXYQxjDgYlLQkF,245080,22,1992-09-28
3,Nevada,Nevada,"Clementino, Ntò",Nevada,spotify:track:4ygVA7PAmPVpV0JV3QFyKb,179626,34,2020-02-28
4,Nevada,Nevada,Kodak Black,Change My Ways,spotify:track:6saTfdZOJnY6nK0mCjCizw,239298,47,2017-08-18
5,Nevada,Nevada,Billy Joel,Stop In Nevada,spotify:track:63VZidYvBb3C5Gyl339gOF,235306,29,1973-11-09
6,Nevada,Nevada,The Band Perry,Marfa Prada,spotify:track:3c0yzTG1DLNFB6qCu6L4ZO,211711,25,2018-09-21
7,Nevada,Nevada,Albert Hammond,Dime Queen of Nevada,spotify:track:2jURORWqRK0ALY7ABRIynN,218146,9,1974-11-15
8,Nevada,Nevada,Lana Del Rey,Yayo,spotify:track:4np1UPhRvjBfYC4f3CaLtI,321053,46,2012-11-12
9,Nevada,Nevada,Counting Crows,Palisades Park,spotify:track:1dh4CGm6uXxvOdZUg9AVDL,501413,38,2014-09-02
10,Nevada,Nevada,Tom Russell,Bucking Horse Moon,spotify:track:36cEbD8ARwfdfVczA3OMLJ,241813,22,2004-02-24
11,Nevada,Nevada,Henrique & Juliano,Não Gosto Eu Amo,spotify:track:6mnySl4xEnPy0ZBBWSAHc9,179607,66,2020-01-31
12,Nevada,Nevada,Pretenders,Turf Accountant Daddy,spotify:track:1iqp3sXdITaC7cG7rjMhXn,185426,39,2020-07-17
13,Nevada,Nevada,John Linnell,Nevada,spotify:track:40qBjlQq8VjGITOSirSOID,478040,4,1999-10-26
14,Nevada,Nevada,Merle Haggard,Kentucky Gambler,spotify:track:1r717VaFVWg0GpgMGwWssL,162533,19,1975
15,Nevada,Nevada,"Hank Williams, Jr.",California Zephyr,spotify:track:1OZAjUF0X5g3XQXbKuG4nU,115866,11,1998-09-22
16,Nevada,Nevada,Dolly Parton,Kentucky Gambler,spotify:track:6XzMG9UYFMKeRlUGhmXI5x,158040,22,1975-02-17
17,Nevada,Nevada,Willie Nelson,Texas on a Saturday Night,spotify:track:4XqhtbkrbF9qX1Qa7iQTFH,159533,14,1982
18,Nevada,Nevada,Edith Piaf,Eden Blues,spotify:track:2owL74fhW1GYvg9ngwRzZV,197266,24,1987-10-31
19,Nevada,Nevada,Michael Nesmith,Nevada Fighter,spotify:track:4fxX9jdDp7VYEw34YC6Br8,128919,17,1971-05-01
20,Nevada,Nevada,Logic,100 Miles and Running,spotify:track:4CstQ0SUkl0YkoeZkIZlIx,353453,58,2018-09-28
21,Nevada,Nevada,Marty Robbins,Las Vegas Nevada,error,error,error,error
22,Nevada,Nevada,Nomrecy Blake,Luna Piena,spotify:track:0AYsuLnlUX0t3yEQn6XzoO,217129,30,2017-09-18
23,Nevada,Nevada,Flatlands,One Major One Minor,spotify:track:1XRCLKkoF0ndNoPKRccHg1,185719,1,2018-01-23
24,Nevada,Nevada,Corb Lund,Goodbye Colorado,spotify:track:73uki8XlmPqJ57iq5ARxoo,159600,26,2015-10-09
25,Nevada,Nevada,"Carlos Vives, Ziggy Marley, Elkin Robinson",El Hilo,spotify:track:73MVpByUJzvT5GFNkss7ik,228450,51,2020-05-22
26,Nevada,Nevada,Mel Tillis,Texas on a Saturday Night,spotify:track:4XqhtbkrbF9qX1Qa7iQTFH,159533,14,1982
27,Nevada,Nevada,Carlos Vives,Amor Sensible,spotify:track:3uW4fa4PbXMQ1Nbq9RZVRB,266573,38,1993
28,Nevada,Nevada,"Genetikk, Marteria",Crank Sinatra,spotify:track:4cMkb6StcIcBy8UMFETVLU,228080,23,2015-10-09
29,Nevada,Nevada,Ben Folds,You to Thank,spotify:track:3CqZLqkf8pOSj2klYZePcx,214000,28,2005-04-11
30,Nevada,Nevada,Ben Folds,You to Thank [DVD],error,error,error,error
31,Nevada,Nevada,Yelawolf,Radioactive Introduction,spotify:track:2PtMdiclsaH141a0E5pvZi,177240,29,2011-01-01
32,Nevada,Nevada,Mark Knopfler,Sands of Nevada,spotify:track:28Cug4QPbBb6YMpfXxUdgY,237200,19,2000-09-26
33,Nevada,Nevada,Army of Lovers,King Midas,spotify:track:1FhXhlGMXzMbmLcoJn84tg,237133,10,1999
34,Nevada,Nevada,Marillion,Afraid of Sunrise,spotify:track:3QyhNwP43zVlwZQ8BCTFHg,301800,19,1995-06-26
35,Nevada,Nevada,Raphael,La Duda Desnuda,spotify:track:36iI1oQUjkT3kPYQhOKaBu,245493,8,2016-11-25
36,Nevada,Nevada,海龟先生,California (加州),error,error,error,error
37,Nevada,Nevada,The Samples,Close to the Fires,spotify:track:6soh4ZWbSO3QyqRNSTHeVN,276706,19,1993-11-15
38,Nevada,Nevada,Mark Olson,Walking Through Nevada,spotify:track:1MwT5Ik2RrBHrzmfYcgA7W,196200,3,2000-09-18
39,Nevada,Nevada,The Samples,Close to the Fires [Alternate Take],error,error,error,error
40,Nevada,Nevada,Enigma Norteño,Los Lujos,spotify:track:1QZrQnjIMS9yVFVYRoqnaX,235253,57,2019-02-22
41,Nevada,Nevada,Enigma Norteño,Los Lujos Del R,spotify:track:1QZrQnjIMS9yVFVYRoqnaX,235253,57,2019-02-22
42,Nevada,Nevada,Youngr,Out Of My System,spotify:track:1tmDa0FhMn8XSOpEJbVu25,203114,47,2018-01-05
43,Nevada,Nevada,Robert McAtee,Right Now Is Forever,spotify:track:2QUOIBSLYclotXe6xqHBr5,294560,6,2016-06-24
44,Nevada,Nevada,The Night Watchmen,Loons,spotify:track:4ZBXBuwzsZe7eGaC4HDU9P,243106,0,2003
45,Nevada,Nevada,"Enigma Norteño, Alfredo Olivas",Los Lujos del R,spotify:track:1QZrQnjIMS9yVFVYRoqnaX,235253,57,2019-02-22
46,Nevada,Nevada,Ian Thomas,Pilot,spotify:track:46YviPNbxBK9QgWywIYsSO,311706,10,1979
47,Nevada,Nevada,Emmet Swimming,Motorway,spotify:track:631gXvXgCFsaqjIuGutgFD,282826,3,1998-06-16
48,Nevada,Nevada,"Fabri Fibra, Giuliano Palma",Splendida Giornata,error,error,error,error
49,Nevada,Nevada,"Chitãozinho & Xororó, Filipe Labre",Atualizei,spotify:track:5Rj3cyhxNoLvDGvlQ2CkKI,151665,19,2018-07-20
50,Nevada,Nevada,"도끼, Microdot",골키퍼 Goal Keeper,error,error,error,error
51,Nevada,Nevada,Shania Twain,Rock This Country!,spotify:track:00K3iFsXALgjg5ECPLR1hs,262400,48,1997-11-04
52,Nevada,Nevada,Woody Guthrie,Philadelphia Lawyer,spotify:track:2xuNVJKj1fnFV1O004IZ9C,152253,15,2012-07-10
53,Nevada,Nevada,Jay-Z,Dead Presidents II,spotify:track:3nDYsXggRQxf7PCNUjR4rz,266066,55,1996-06-25
54,Nevada,Nevada,Cisco Houston,Philadelphia Lawyer,spotify:track:4HBW4j5sMUBRm5FclEq9ZQ,173626,1,2006-01-01
55,Nevada,Nevada,Johnny Cash,Peace In The Valley,spotify:track:4AL49kD3SRCjV7hTl4orAh,176466,26,2020-06-26
56,Nevada,Nevada,Merle Haggard,Philadelphia Lawyer,spotify:track:0uBcXayyPqBWdygUf09hQ9,265973,6,1970-01-01
57,Nevada,Nevada,Johnny Cash,Peace in the Valley,spotify:track:4AL49kD3SRCjV7hTl4orAh,176466,26,2020-06-26
58,Nevada,Nevada,John Mellencamp,Down and Out in Paradise,spotify:track:2k5LE1HaUasIFvuWYhEDKq,217466,26,1987
59,Nevada,Nevada,Frankie Laine,Granada,spotify:track:5sL8y0hBySOdhDBCicXkZX,175026,14,1958
60,Nevada,Nevada,The Four Freshmen,Granada,spotify:track:492gFt09h1jDDJiTJ0Nn3s,216324,50,2016-04-10
61,Nevada,Nevada,Bob Dylan,Let Me Die in My Footsteps [outtake],spotify:track:5fcbd0Z5V7t2871wKTM4qJ,212066,33,1991-03-26
62,Nevada,Nevada,Neil Diamond,Glory Road,spotify:track:05ejOuAU8leltpExErnAXo,202582,42,1969-01-01
63,Nevada,Nevada,Los Tigres del Norte,La Resortera,spotify:track:4tYB3j2gqcFeb0xiQxARtG,199626,31,1999-01-01
64,Nevada,Nevada,Los Tigres del Norte,Somos Más Americanos,spotify:track:0kBFfb1T2aCkhSJUIo56Mz,250080,50,2011-01-01
65,Nevada,Nevada,Mario Winans,"I Need a Girl, Pt. 2",spotify:track:6Wt5QBzHp9vdSLAFlvdnDQ,285586,69,2004-03-09
66,Nevada,Nevada,Los Tigres del Norte,El Mojado Acaudalado,spotify:track:7EZ7ITBVdHboEf7YpGAl1N,222906,38,2006-03-07
67,Nevada,Nevada,Los Tigres del Norte,Mojado Acaudalado [Acustico],spotify:track:7eWPY5LGKfQBLP1S9mWOL5,277240,21,2006-03-07
68,Nevada,Nevada,Bob Seger,Long Twin Silver Line,spotify:track:742pFRjjSUPTQjNa7jw8VB,257453,30,1980-02-25
69,Nevada,Nevada,Keri,After Love,spotify:track:1qfz2rfebk6YfJk21bV6ij,287146,27,2006-10-16
70,Nevada,Nevada,Bing Crosby,Granada,spotify:track:1tha6CYXBweZvwxPHsMU6A,125693,0,2010-01-01
71,Nevada,Nevada,"P. Diddy, Diddy",I Need a Girl (Part Two),spotify:track:7b4BgzEEnzOPGRS2sVdzFg,304645,7,2015-03-31
72,Nevada,Nevada,Eminem,Forever,spotify:track:6HSqyfGnsHYw9MmIpa9zlZ,357346,66,2009-01-01
73,Nevada,Nevada,Pitbull,Miami Shit,spotify:track:7xA1JWoiLvzEdC16tFOb9x,101453,0,2007-10-09
74,Nevada,Nevada,John Hiatt,Tennessee Plates,spotify:track:6cKs1j1l85VqmVakELnXtj,176416,27,1988-08-30
75,Nevada,Nevada,E-40,Jungle,spotify:track:04paQ37b9ea8jLFAPQrRMh,209453,48,2017-11-10
76,Nevada,Nevada,Judy Collins,Running for My Life,spotify:track:6MFPQ3xXZA79kuGhe1RIYC,234866,5,2005-02-08
77,Nevada,Nevada,Arlo Guthrie,Philadelphia Lawyer,spotify:track:2xuNVJKj1fnFV1O004IZ9C,152253,15,2012-07-10
78,Nevada,Nevada,Drake,Forever [Clean],spotify:track:0laHeMC69ds4AvL09BmTWn,154188,0,2017-12-14
79,Nevada,Nevada,Ben E. King,Granada,spotify:track:1l750Z0vReQa5wDg6A1qtx,148040,13,1961
80,Nevada,Nevada,Mireille Mathieu,"Ciao, Bambino, Sorry",error,error,error,error
81,Nevada,Nevada,Yukmouth,Ya Boy,spotify:track:5ziZ14MQikyUm9KH3cRP4D,308199,6,2010-06-01
82,Nevada,Nevada,Rissi Palmer,Flowers on My Window Ledge,spotify:track:3AgCYA0qgmiTAyKN0L9hjt,227346,1,2008-10-07
83,Nevada,Nevada,Grupo Exterminador,Los Jefes De La Clika,spotify:track:2ppkmwz7ndkiKuo9pRgd6U,171426,20,2009-01-01
84,Nevada,Nevada,Modà,California,spotify:track:7fQnx52prXFDa4o571I4xN,233973,22,2015-03-11
85,Nevada,Nevada,Fred Fortin,Molly,spotify:track:50aHsFiLqRWXhifhorMQog,254630,16,2015
86,Nevada,Nevada,Los Hermanos Zuleta,Asi Fue Mi Querer,spotify:track:3QflNSLttljQLXw0gp46zb,259240,27,2006-05-24
87,Nevada,Nevada,Mario Winans,I Need a Girl (To Bella)/Coco,error,error,error,error
88,Nevada,Nevada,Ludacris,Number One Spot,spotify:track:5SV9SnHkuHMh446QsgQtry,274466,47,2004-01-01
89,Nevada,Nevada,Pitbull,Sticky Icky,spotify:track:7FGvAPKP5rn0JnWn6qLqVP,222197,23,2007-11-27
90,Nevada,Nevada,Lil Wayne,So Special,spotify:track:6CNlnlcnQ7DMFmloIRR1e3,232093,44,2011-01-01
91,Nevada,Nevada,Eminem,Like Home,spotify:track:2Ie7pnF3ZKNTde30TQWlWx,245466,56,2017-12-15
92,Nevada,Nevada,"Gucci Mane, Ox",Murder for Fun,spotify:track:11tC5hTKSsBnVgR96W5GO7,246026,22,2009
93,Nevada,Nevada,The Maddox Brothers & Rose,Philadelphia Lawyer,spotify:track:4Nd9hFPP1XPH9arwJGUndn,183493,3,1960
94,Nevada,Nevada,"Tyga, Chris Brown",When To Stop,spotify:track:1WnRXYbD6ODvVfU7zlhiLB,192000,25,2013-12-17
95,Nevada,Nevada,Lil Wayne,Get Something,spotify:track:6ymtSqgRJ1fhVcGU9y0Mja,900400,14,2020-03-30
96,Nevada,Nevada,Eminem,The Storm [(2017 BET Hip-Hop Awards Cypher Verse)],error,error,error,error
97,Nevada,Nevada,Los Tucanes de Tijuana,El Centenario,spotify:track:65PXVu64xyXCpKczg4K9Cz,156920,64,2010-02-14
98,Nevada,Nevada,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,95800,3,2005-02-08
99,Nevada,Nevada,Ramblin' Jack Elliott,Philadelphia Lawyer,spotify:track:1W9ZG0RrxxOr5sYdnLwYeD,147906,2,1989-01-01
100,Nevada,Nevada,Los Tucanes de Tijuana,El Doctor del Pueblo,spotify:track:2pNbROUHRAHIFT7srabCzo,164320,34,1997-04-22
101,Nevada,Nevada,Tom Russell,The Rose of the San Joaquin,spotify:track:3hYVz8lc68d1sPJy2KcAEJ,171360,12,1995-09-17
102,Nevada,Nevada,Tom Russell,Claude Dallas,spotify:track:2aFStdcPKYONtDUwH64i29,340240,15,1997-09-09
103,Nevada,Nevada,Voz de Mando,El Americano,spotify:track:6OnhYxDVYRnFKdtSPG5Ikr,209880,29,2012-01-01
104,Nevada,Nevada,Miguel,City of Angels,spotify:track:6Lnn71AwH0uzSocADOF8ei,258173,47,2017-12-01
105,Nevada,Nevada,Grupo Montéz de Durango,De Durango a Chicago,spotify:track:09wCr1fCjhjYVk5DUujl9r,165013,22,2003-09-30
106,Nevada,Nevada,The Seldom Scene,Philadelphia Lawyer,spotify:track:3s4GllWmEqwLSOdlFNuJXu,207866,2,1994-01-01
107,Nevada,Nevada,Brenda Lee,Good Old Acapella (Soul to Soul),error,error,error,error
108,Nevada,Nevada,Bonnie Owens,Philadelphia Lawyer,spotify:track:0uBcXayyPqBWdygUf09hQ9,265973,6,1970-01-01
