,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,New Hampshire,New Hampshire,Team 2036,"It's Build Season Bro (feat. AC Hottie, Sol'ja Boy, MC Finer Flame & Lil' Hustle)",error,error,error,error
1,New Hampshire,New Hampshire,"Lil Debbie, RiFF RAFF",Suckas Askin Questions,spotify:track:073Z51798cuIbCJS2dZsDM,192000,12,2013-12-31
2,New Hampshire,New Hampshire,Juicy J,Fuk Columbia Records,error,error,error,error
3,New Hampshire,New Hampshire,Left Alone,Dead Red Roses,spotify:track:1GetMgxvfe0sWUET1Gpr4K,150173,9,2018-02-19
4,New Hampshire,New Hampshire,Emily Loizeau,Je Suis Jalouse,error,error,error,error
5,New Hampshire,New Hampshire,Oddisee,A List of Withouts,spotify:track:09BNgY0CCGaKVb0kiWPLy7,256243,25,2015-04-28
6,New Hampshire,New Hampshire,Renald Francoeur,Tour The States,spotify:track:4XmEqSQknEr3z2PzwiPXwm,235360,36,2012-07-13
7,New Hampshire,New Hampshire,The Fiery Furnaces,Though Let's Be Fair,spotify:track:2cjefzcIckp4nA0P3M7jxe,127680,2,2005-10-24
8,New Hampshire,New Hampshire,Wesley Willis,Dale Meiners Yelled at Me,error,error,error,error
9,New Hampshire,New Hampshire,Oddisee,A List Of Withouts,spotify:track:09BNgY0CCGaKVb0kiWPLy7,256243,25,2015-04-28
10,New Hampshire,New Hampshire,Emily Loizeau,JALOUSE,error,error,error,error
11,New Hampshire,New Hampshire,The Fall,Spectre vs Rector,spotify:track:7aF5BwFeT5C6grLRYVMPZo,476813,12,2016-06-10
12,New Hampshire,New Hampshire,Saves the Day,The Way His Collar Falls,spotify:track:0cut1GlPF4euStvV3rjlKj,166200,20,2004
13,New Hampshire,New Hampshire,Frank Turner,Nashville Tennessee,spotify:track:6t3emphal4nKRj67Oj0inN,222360,17,2012-10-02
14,Manchester,New Hampshire,The Beautiful South,Manchester,spotify:track:3RRNzzzq3TvYXEPp4xt8pp,235320,36,2006-05-13
15,Manchester,New Hampshire,Brendan James,Manchester,spotify:track:130n9ZgaztTNNYNCLhmI1p,257013,10,2008-01-01
16,Manchester,New Hampshire,John Shuttleworth,You're Like Manchester,spotify:track:5iH32j19CI8RspS6DiVkVM,141734,7,2005-06-01
17,Manchester,New Hampshire,The Smiths,Suffer Little Children,spotify:track:3nk8Vxo0BuovX4UtvuvcHR,330973,48,1984-02-20
18,Manchester,New Hampshire,The Game,City Blues [Remix],spotify:track:0C9ANvc91RTLT6F7VxMTXi,231111,43,2020-01-22
19,Manchester,New Hampshire,The Fall,Fortress/Deer Park,spotify:track:2PKRL5MEBk4OOSh504UcYu,400773,20,1982-03-08
20,Manchester,New Hampshire,The Fall,Deer Park [Bonus Track],error,error,error,error
21,Manchester,New Hampshire,The Fall,Cheetham Hill,spotify:track:6HsOs6CV0am1rBMD1Hy3yG,225733,1,2003-04-28
22,Manchester,New Hampshire,Prince Far I,Skinhead,spotify:track:4plnzTqCopZhy4WYeRfh2T,207213,0,1981-04-13
23,Manchester,New Hampshire,Lloyd Cole,Fool You Are,spotify:track:0bHdHknv1uRgtV2f6BgRCk,204506,2,2017-03-17
24,Manchester,New Hampshire,Celo & Abdi,Chabula,spotify:track:1KPXm3Yctleoa3043ArbJA,184012,27,2015-06-12
25,Manchester,New Hampshire,Marie Laforêt,Manchester et Liverpool,spotify:track:5qi7expdHkAQcx9DRU1Nw0,142320,20,2020-03-19
26,Manchester,New Hampshire,The Smiths,The Headmaster Ritual,spotify:track:4tFGNFIIZ9ANSewxGZyiDD,295440,53,1985-02-11
27,Manchester,New Hampshire,Edmundo Ros,Manchester England,spotify:track:0YrP2R4UNwjxf2ocnyM2WG,129466,1,1969-05-01
28,Manchester,New Hampshire,The Fall,Symbol of Mordgan,spotify:track:0D8RSGpw2otMD4rEJokOiq,188946,5,1994-05-03
29,Manchester,New Hampshire,Bugzy Malone,M.E.N,spotify:track:3uBw10GPSNJPIECbOeQ1y6,240362,58,2015-07-24
30,Manchester,New Hampshire,TOBi,City Blues,spotify:track:4QbTcp2z5K8pST7UHObaKE,231111,45,2019-05-03
31,Manchester,New Hampshire,Tony Rebel,Chatty Chatty,spotify:track:7nst3wBGgiE4pDbsTkAYBC,212573,18,2000-07-08
32,Manchester,New Hampshire,Eels,Manchester Girl [BBC],error,error,error,error
33,Manchester,New Hampshire,Bugzy Malone,M.E.N.,spotify:track:3uBw10GPSNJPIECbOeQ1y6,240362,58,2015-07-24
34,Manchester,New Hampshire,The Stranglers,Dagenham Dave,spotify:track:6A1ccKl6X2wMxIkF1QH5nX,197373,26,1977
35,Manchester,New Hampshire,Frank Black,The Real el Rey,error,error,error,error
36,Manchester,New Hampshire,James Rado,"Manchester, England",spotify:track:6XlA87GbuAgBOfVMLfEU0O,78866,19,1988-05-31
37,Manchester,New Hampshire,Spearmint,A Week Away,spotify:track:2zPnKDWMJkvDtlSJUp4Ma3,278813,16,2009-11-17
38,Manchester,New Hampshire,Power of Dreams,Never Been to Texas,error,error,error,error
39,Manchester,New Hampshire,South Central Cartel,Da Bomb,spotify:track:45BurCN40exGn1wKKgNR0G,275891,10,2018-08-03
40,Manchester,New Hampshire,Ethel Coley,"Manchester, England",error,error,error,error
41,Manchester,New Hampshire,Euan Morton,"Manchester, England",spotify:track:3VUNBJIE8Au1WN7dCfxlGB,79986,4,2005-06-14
42,Manchester,New Hampshire,"Gavin Creel, Caissie Levy, Sasha Allen, Bryce Ryness, Kacie Sheik, Allison Case, Jackie Burns",The Flesh Failures / Eyes Look Your Last / Let The Sun Shine In,spotify:track:6ox3PcPEIu9UNZXVIcIlXO,266933,34,2009-05-25
43,Manchester,New Hampshire,Gavin Creel,Manchester England,spotify:track:1j5WiyX4lkaHhndbDhxNVW,71626,27,2009-05-25
44,Manchester,New Hampshire,Nick Carrafa,Manchester (England),error,error,error,error
45,Manchester,New Hampshire,E,Manchester Girl,error,error,error,error
46,Manchester,New Hampshire,Elton John,Can I Put You On,spotify:track:6mVRyHTk2P190llXw7EXdH,370426,20,1971-03-12
47,Manchester,New Hampshire,The Beatles,Don't Ever Change,spotify:track:28FjGYrChzX3TwBcgGVqT6,125106,28,1994-11-30
48,Manchester,New Hampshire,Galt MacDermot,Manchester England,error,error,error,error
49,Manchester,New Hampshire,The Lords,Manchester England,spotify:track:1j5WiyX4lkaHhndbDhxNVW,71626,27,2009-05-25
50,Manchester,New Hampshire,Lightspeed Champion,The Flesh Failures,spotify:track:4Mexsq8t6jT4LlJOWdxWxP,246800,8,2007-10-14
51,Manchester,New Hampshire,Vincent Delerm,Hacienda,spotify:track:5Mz91ikykeBS6Oww9KcYg7,327853,19,2013-11-25
52,Manchester,New Hampshire,Max Pezzali,L'Astronave Madre,spotify:track:7fR0AZLvJFiorkqNnNqw3P,280426,11,2016-05-13
53,Manchester,New Hampshire,Slowthai,The Bottom,spotify:track:0sXgBfi4RT0orWGTlQkuyS,271063,38,2018-03-07
54,Manchester,New Hampshire,Bugzy Malone,M.E.N II,spotify:track:4cblg338TOGUtnRfrW56Er,250791,56,2019-04-30
55,Manchester,New Hampshire,Disney,Dancing in the Street,error,error,error,error
56,Manchester,New Hampshire,Monty Python,Background to History,spotify:track:36MZB9ozxwS8HqWe2wtY7P,232253,6,1973
57,Manchester,New Hampshire,The Mamas & the Papas,Dancing In The Street,spotify:track:1Vv7ZtyDro81xmznV48gF6,229106,42,1966-08-30
58,Manchester,New Hampshire,Kenny Loggins,"Whenever I Call You ""Friend""",spotify:track:5NCY3uTCovd93aqwbodUhm,237826,53,1978
59,Manchester,New Hampshire,Dr. Demento,Deteriorata,error,error,error,error
60,Manchester,New Hampshire,National Lampoon,Deteriorata,error,error,error,error
61,Manchester,New Hampshire,Beenie Man,Romie,spotify:track:4KlnHq8kW2k1RisegiOg0I,229026,50,2005-01-01
62,Manchester,New Hampshire,Ewan MacColl,The Manchester Rambler,spotify:track:2DLsiFyWK9SB1Z0UqElEgw,282693,22,2010
63,Manchester,New Hampshire,Nas,"A Message to the Feds, Sincerely, We the People",spotify:track:4xDoW43SCxOcOLhdIDLL4S,135146,26,2004-11-30
64,Manchester,New Hampshire,Aaliyah,Enough Said,spotify:track:1ETdnK5LUshTcJpFNf91bt,212140,1,2012-08-11
65,Manchester,New Hampshire,Drake,Enough Said,spotify:track:1ETdnK5LUshTcJpFNf91bt,212140,1,2012-08-11
66,Manchester,New Hampshire,Future,Enough Said,error,error,error,error
67,Manchester,New Hampshire,Snoop Dogg,Gaspar Yanga,spotify:track:5jd4jhBSIU14CKHN7gGl7x,135862,60,2020-02-07
68,Manchester,New Hampshire,Beenie Man,10 Out of 10,spotify:track:4Xyt8ADBvfrBIcy5XvMLjo,187960,2,2002
69,Manchester,New Hampshire,Ryan Adams,Manchester,spotify:track:3UnBvxALTZteneX1e60mOl,345656,2,2012-07-02
70,Manchester,New Hampshire,The Fall,City Hobgoblins,spotify:track:62hHF266kPe7hlbsyFhWrP,141400,15,2004-03-15
71,Manchester,New Hampshire,The Fall,Crop-Dust,spotify:track:5NFzWl6zOfXJEFpMBHqZQV,331546,3,2001-06-11
72,Manchester,New Hampshire,The Fall,The NWRA,spotify:track:3iTEaJSwntgqOwqyJnWi0e,549280,18,2004-03-15
73,Manchester,New Hampshire,The Fall,Powder Keg,spotify:track:56murZaycrteOaF2MUOKFO,196360,12,1996-06-10
74,Manchester,New Hampshire,The Fall,The N.W.R.A.,spotify:track:0O3oat5MkjDTOneiwLPGda,288493,62,2015-02-19
75,Manchester,New Hampshire,Billy Bragg,Northern Industrial Town,spotify:track:4vqkq4y3Rn5wssz4bvXLpx,178200,12,1996
76,Manchester,New Hampshire,The Fall,Backdrop,spotify:track:2VjGuCumdm92QNg0TM6PvX,418333,10,1994-05-09
77,Manchester,New Hampshire,Tricky,Bacative,spotify:track:51ksgXFS4A1XB6WcSdG8mv,233373,8,2008-09-09
78,Manchester,New Hampshire,Buzzcocks,Trash Away,spotify:track:46GVkQoegN4uTtGl6MkOnj,284346,3,1993-06-02
79,Manchester,New Hampshire,Teena Marie,Where's California,spotify:track:7pRzXXLRZWCbdSTfw6FMAj,325080,20,1981-05-14
80,Manchester,New Hampshire,"Beenie Man, Gilles Peterson",10 out of 10,spotify:track:4Xyt8ADBvfrBIcy5XvMLjo,187960,2,2002
81,Manchester,New Hampshire,The Stone Roses,Daybreak,spotify:track:2ujDUtPcYfnfr3QkMz65HV,393640,36,1994-12-05
82,Manchester,New Hampshire,Warren G,Wake Up,spotify:track:2D9yvt0fJ6y9ltsIUB9ivx,273306,28,2014-09-10
83,Manchester,New Hampshire,Melissa Manchester,You Should Hear How She Talks About You,spotify:track:3mYh6egfMyl0Dek8r9ciK6,256386,39,1982
84,Manchester,New Hampshire,Melissa Manchester,Caravan,spotify:track:317SXUBnEeFyEstZyBZSTr,220357,8,1978
85,Manchester,New Hampshire,The Jayhawks,All the Right Reasons,spotify:track:6s0HP7iEhQzUoniIzGpqZD,204186,35,2003-01-01
86,Manchester,New Hampshire,"Travis, Josephine Oniyama",Idlewild,spotify:track:4EP87eJihvWwsugOYa6u9g,232489,44,2016-04-29
87,Manchester,New Hampshire,Stormzy,Crazy Titch (Interlude),spotify:track:5tSc8s7GhMhaWFdkjNGFF7,161604,36,2017-02-24
88,Manchester,New Hampshire,Burna Boy,Good Time,spotify:track:3lUxLfIScfTUkkPqLfiZ5g,185920,49,2017-05-12
89,Manchester,New Hampshire,Tinie Tempah,Top Winners,spotify:track:0V2D1l5uEi5p4z6ug7ENSo,171816,62,2020-03-16
90,Manchester,New Hampshire,Chase & Status,Against All Odds,spotify:track:5yks6OEODLgoboHrbVnNzY,161720,17,2008
