,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,New Mexico,New Mexico,Terry Allen,Billy the Boy,spotify:track:0WuaSkSg5GkT0NNH2skVnF,533693,2,2006-01-01
1,New Mexico,New Mexico,Johnny Cash,New Mexico,spotify:track:6sTE7X22TJop9PGCtP180s,124560,21,2014-01-15
2,New Mexico,New Mexico,The Four Seasons,New Mexican Rose,spotify:track:0NYARSjTaMT67cbW3JozJI,169106,7,1963-03-01
3,New Mexico,New Mexico,David Mead,New Mexico,spotify:track:0p7grCBP8v9QNsInIAlsbX,199346,6,2004-05-04
4,New Mexico,New Mexico,Logic,Thank You,spotify:track:4ut9fdC5ncgcvCo0KaphNY,430426,47,2018-09-28
5,New Mexico,New Mexico,Heather Nova,Out in New Mexico,spotify:track:08ZYpK0eDiNohMuFqtRDh4,207706,10,2008-07-28
6,New Mexico,New Mexico,Michael Martin Murphey,Land of Enchantment,spotify:track:0XNUcM48US3hME2PDk3PLb,191906,15,1989-06-09
7,New Mexico,New Mexico,Frank Zappa,The Jazz Discharge Party Hats,spotify:track:7lywvBkNitwwL4FvXkKWhp,268880,17,1983-03-28
8,New Mexico,New Mexico,The Western Front,New Mexico,spotify:track:1nLTyNarN9HMz1Mbs9fKkK,212181,0,2018-02-09
9,New Mexico,New Mexico,John Wiggins,New Mexico,spotify:track:4AIfv0CoNcpzaqBBkrx4Br,208333,1,1994
10,New Mexico,New Mexico,Hank Snow,Patanio (The Pride of the Plains),error,error,error,error
11,New Mexico,New Mexico,Ronnie Dunn,How Far to Waco,spotify:track:2EjxV4vwkWiCLQ7YR1U9Yq,207560,21,2011-06-07
12,New Mexico,New Mexico,Chuck Berry,Route 66,spotify:track:6TXnGAr6DLVYshIrMeP0lZ,171413,58,1961-01-01
13,New Mexico,New Mexico,Depeche Mode,Route 66,spotify:track:6oyt6gI2kMyDsuZBjbsMQ9,250216,35,1987-09-28
14,New Mexico,New Mexico,The Manhattan Transfer,Route 66,spotify:track:0gzL664PaItwupu0xbSyEV,177306,24,1984
15,New Mexico,New Mexico,The Rolling Stones,Route 66,spotify:track:1FRP8d6l2jm3DS5f78ZrhK,140400,43,1964-04-16
16,New Mexico,New Mexico,Rosemary Clooney,Route 66,spotify:track:3uAUjrtVWRKKb5zUKdM2aE,467200,6,1993-01-01
17,New Mexico,New Mexico,Billy Joel,Worse Comes To Worst,spotify:track:2kuN6PdF38xYGnggg3t9lx,195693,34,1973-11-07
18,New Mexico,New Mexico,Mel Tormé,Route 66,spotify:track:2hToVAXqCCgM5ueKr7CQiv,266586,5,2006-01-24
19,New Mexico,New Mexico,Perry Como,Route 66,spotify:track:2OoEgzwoCVJ4LP4x86eBdG,296594,0,2011-12-02
20,New Mexico,New Mexico,John Mayer,Route 66,spotify:track:39XVQOy9El3Cgod7c8W66k,204720,24,2012-07-06
21,New Mexico,New Mexico,Jill Sobule,Somewhere in New Mexico,spotify:track:2hZmSGrUYLocPGUMbnZaKT,268293,3,2000
22,New Mexico,New Mexico,New Grass Revival,White Freight Liner Blues,spotify:track:4ewlzMaJKiW3UvieOhgj1g,191293,20,1984
23,New Mexico,New Mexico,"New Grass Revival, Sam Bush",White Freight Liner Blues,spotify:track:4ewlzMaJKiW3UvieOhgj1g,191293,20,1984
24,New Mexico,New Mexico,Asleep at the Wheel,Route 66,spotify:track:5xChIVtQe9Eztph0DBbxLe,192746,27,2004-04-04
25,New Mexico,New Mexico,Asleep at the Wheel,(Get Your Kicks On) Route 66,spotify:track:5xChIVtQe9Eztph0DBbxLe,192746,27,2004-04-04
26,New Mexico,New Mexico,Asleep at the Wheel,Route 66 (Get Your Kicks On),spotify:track:5xChIVtQe9Eztph0DBbxLe,192746,27,2004-04-04
27,New Mexico,New Mexico,New Grass Revival,White Freight Liner Blues [Live],spotify:track:4ewlzMaJKiW3UvieOhgj1g,191293,20,1984
28,New Mexico,New Mexico,Asleep at the Wheel,Get Your Kicks on Route 66,spotify:track:5xChIVtQe9Eztph0DBbxLe,192746,27,2004-04-04
29,New Mexico,New Mexico,Asleep at the Wheel,Route 66 [DVD; Live],error,error,error,error
30,New Mexico,New Mexico,Bo Diddley,Route 66,error,error,error,error
31,New Mexico,New Mexico,Future,You Da Baddest,spotify:track:4AFgK4wP1iD5i8BYaLr9Vf,242933,57,2017-07-27
32,New Mexico,New Mexico,Glenn Frey,Route 66,spotify:track:6oIF1PfKbIfYxjDC8o06Ej,177906,29,2012-01-01
33,New Mexico,New Mexico,Sturgill Simpson,Long White Line,spotify:track:40Xg69oisdpuP4C7xl3RkK,241320,59,2014-05-13
34,New Mexico,New Mexico,Corb Lund,Goodbye Colorado,spotify:track:73uki8XlmPqJ57iq5ARxoo,159600,26,2015-10-09
35,New Mexico,New Mexico,Asleep at the Wheel,Route 66 [Live],spotify:track:31GhTPAu0dQsVPvecKpWAH,197400,13,2009-01-01
36,New Mexico,New Mexico,Lyle Lovett,White Freightliner Blues,spotify:track:5PgYlOnNTu9xpOsN5Ls96S,306946,15,2012-03-13
37,New Mexico,New Mexico,Hoyt Axton,Wild Bull Rider,spotify:track:4wcEMr0sRUXacSucYwTDId,212653,14,2017-05-05
38,New Mexico,New Mexico,Nanci Griffith,White Freight Liner [Previously Unreleased Track],error,error,error,error
39,New Mexico,New Mexico,Asleep at the Wheel,(Get Your Kicks On) Route 66 [DVD],error,error,error,error
40,New Mexico,New Mexico,The String Cheese Incident,White Freightliner Blues,spotify:track:6LVkAWIVYVaL6mrskzTdyE,265533,8,2020-04-29
41,New Mexico,New Mexico,Them,(Get Your Kicks On) Route 66,spotify:track:7mjTxBvAFnILEl4IOnaRiQ,145346,15,1965-06-11
42,New Mexico,New Mexico,Cisco Houston,Buffalo Skinners,spotify:track:0ahdb1OaQGmWjESBVJ9w2T,215373,5,1963
43,New Mexico,New Mexico,A Friend in London,Get Rich In Vegas,spotify:track:6HDwIq4xV5vkj0aI1n5ZXM,227393,3,2013-01-21
44,New Mexico,New Mexico,O.A.R.,About an Hour Ago,spotify:track:1U4nO3uSy5m1VAl7bSdUI3,395352,36,2016-06-03
45,New Mexico,New Mexico,moe.,Lost Along the Way/Filler,error,error,error,error
46,New Mexico,New Mexico,Jerry Jeff Walker,Maybe Mexico,spotify:track:3wQt4D7rYc3bHCZUl4inUo,210093,22,1968
47,New Mexico,New Mexico,Vybz Kartel,Can't Say No,spotify:track:7gcJcLlSnYgdBZs0eWIOE3,247741,29,2016-06-10
48,New Mexico,New Mexico,Hayce Lemsi,One-One,spotify:track:10f6RHuUKtBllZu0ox4Fw4,221466,44,2013-11-04
49,New Mexico,New Mexico,The Cramps,Route 66,spotify:track:34eLaP4TqlXuqzC6inKO4i,197040,15,1994-10-11
50,New Mexico,New Mexico,Paul Simon,Hearts and Bones,spotify:track:6WEEA3pDQVogiNND0jRfoJ,339293,46,1983-11-04
