,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,New York,Nas,Streets of New York (City Life) [[Remix]],error,error,error,error
1,New York,Dion,Where It Started At (NY),spotify:track:00ce84GEM0gBzv5QYvsHIs,285133,27,2006-10-17
2,New York,Alicia Keys,Streets of New York (City Life),spotify:track:1wfaQ0EpdUNqZdDjgG989o,455533,33,2005-10-11
3,New York,Raekwon,New York,spotify:track:0Ss2246fpQN1edfgwFSnAf,205600,26,1999-11-15
4,New York,AZ,New York,spotify:track:0Ss2246fpQN1edfgwFSnAf,205600,26,1999-11-15
5,New York,Curtis Stigers,New York Is Rockin',spotify:track:1ODG9skvAXG6j38Um7Tp3w,243666,3,1995
6,New York,Bernard Lavilliers,Rock City,spotify:track:3jeMNgvtXfmeDIJqqFUzar,187413,2,2002-01-01
7,New York,Raekwon,New York!!,spotify:track:0Ss2246fpQN1edfgwFSnAf,205600,26,1999-11-15
8,New York,AZ,New York [Remix],spotify:track:0Ss2246fpQN1edfgwFSnAf,205600,26,1999-11-15
9,New York,Troy Ave,New York City,spotify:track:6DopJoQqLEQvni0lNhYWm9,314309,16,2013-11-04
10,New York,Busta Rhymes,New York Shit,spotify:track:2T9LBQxMj07M7FQ511cEjW,181680,34,2006-01-01
11,New York,Yellowman,Come Get everything,spotify:track:4DlqoV35lFrIi84o1m9lDo,228693,3,2019-07-14
12,New York,glee cast,"I Love New York/New York, New York",spotify:track:4OdlzQY1elrRbmXexXTvAp,164933,44,2012-08-28
13,New York,U2,New York,spotify:track:4OdlzQY1elrRbmXexXTvAp,164933,44,2012-08-28
14,New York,U2,Pop Muzik [Pop Mart Mix],spotify:track:4OdlzQY1elrRbmXexXTvAp,164933,44,2012-08-28
15,New York,Taylor Swift,Welcome To New York,spotify:track:6qnM0XXPZOINWA778uNqQ9,212600,60,2014-10-27
16,New York,Barrington Levy,Stress Ya,error,error,error,error
17,New York,Cat Stevens,New York Times,spotify:track:6cXQyaSoMhGcSFFc1wgd5i,204466,18,1978-12-03
18,New York,Alicia Keys,Streets of New York (City Life) [DVD],error,error,error,error
19,New York,AC/DC,Safe in New York City,spotify:track:6xs17NF4X10Y7UGwto7S7Z,239466,48,2000-02-25
20,New York,Prince,All the Critics Love U in New York,spotify:track:2k96E0L0SY9raNEVMBqbVL,359133,29,1982-10-27
21,New York,John Lennon,New York City,spotify:track:382oMDDcmsMXGqfiT9BbZF,274360,29,1972-06-12
22,New York,"Troy Ave, Statik Selektah, Meyhem Lauren, Ag Da Coroner, Push!",Big City of Dreams,spotify:track:6N6DhyuqiwWV0SIQVSTcT9,261409,10,2013-06-18
23,New York,Shirley Bassey,"New York, New York",spotify:track:5eoC9vaxlMglpuvVTWCwWG,211373,10,2006-05-30
24,New York,Shirley Bassey,"New York Medley: New York, New York/New York, New York",spotify:track:10bUJKGn2lSS2J7qSXhMDp,175080,0,2007-11-02
25,New York,Pharrell Williams,Stress Ya,spotify:track:2HFcrcyOV5xv6C2DrIKNGa,218986,20,2009-01-01
26,New York,Nina Hagen,New York New York,spotify:track:4WhKZ19P37JyoZwMbzuhJB,379037,20,2010-08-15
