,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,North Carolina,North Carolina,Gene Vincent,North Carolina Line,error,error,error,error
1,North Carolina,North Carolina,Alison Krauss,Carolina Moon,error,error,error,error
2,North Carolina,North Carolina,Dean Martin,Just a Little Bit South of North Carolina,spotify:track:6rc6TuBovkkAOVj6AiCnpk,127026,14,2006-01-01
3,North Carolina,North Carolina,Petey Pablo,Raise Up,spotify:track:02GwPAncasVL82yC7y2hmN,286426,57,2001
4,North Carolina,North Carolina,James Taylor,Raised Up Family,spotify:track:2d86vRYBgTl4oJ28WrpiKw,279466,24,2000
5,North Carolina,North Carolina,Anita O'Day,Just a Little Bit South of North Carolina,spotify:track:7fK4RO6zPqy3fj7YroTlmB,160589,15,1941
6,North Carolina,North Carolina,James Brown,Night Train,spotify:track:5lE04QME0R4RNjepkflBJa,211920,47,1987-01-01
7,North Carolina,North Carolina,The Carter Family,East Virginia Blues,spotify:track:57j0NogTl3yHCXx8gGWkFY,165466,34,2013-11-19
8,North Carolina,North Carolina,Pete Seeger,East Virginia Blues,spotify:track:3Ywg0eM81KQiNLs4WzwzT0,174493,0,1994-09-06
9,North Carolina,North Carolina,The Stanley Brothers,East Virginia Blues,spotify:track:2JH4SJWzssR50YugueMfNN,183733,13,2004
10,North Carolina,North Carolina,Gene Krupa,Just a Little Bit South of North Carolina,spotify:track:7fK4RO6zPqy3fj7YroTlmB,160589,15,1941
11,North Carolina,North Carolina,The Weavers,Born in East Virginia,spotify:track:0tevxnKMSJMdAudNtJ14vq,149600,3,1967-05-22
12,North Carolina,North Carolina,Ralph Stanley,East Virginia Blues,spotify:track:1rQEJrrjvNxM0Xnl9ofdaB,156786,14,2012-08-14
13,North Carolina,North Carolina,The Stanley Brothers,Story of the Lawson Family,spotify:track:1XsREVVRN6cD7yRNzbMIlx,295866,3,2004
