,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,North Dakota,North Dakota,Tom Roble,North Dakota,spotify:track:5Qt5Nt0cWODRO5OjN9yFDt,178250,0,2000-01-01
1,North Dakota,North Dakota,Doc Walker,North Dakota Boy,spotify:track:3OveJlYnOF96TpOiMbS5IP,223146,13,2003-01-01
2,North Dakota,North Dakota,Thrush Hermit,North Dakota,spotify:track:29bthAhcLpZ8wWK7wWMYwm,228226,13,1997
3,North Dakota,North Dakota,Lyle Lovett,North Dakota,spotify:track:4JwBDp0psRP2pbmNVjPc8E,342573,42,1992-03-31
4,North Dakota,North Dakota,Nanci Griffith,Across America,spotify:track:4fDRWXgK6Pq5RMJ3mu9u9p,183866,6,2009-01-01
5,North Dakota,North Dakota,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,226200,55,2013-10-09
6,North Dakota,North Dakota,King Slinkz,Rack It Up,spotify:track:1Lh0bGu1UHu5mYz93p9965,176810,1,2017-10-24
7,North Dakota,North Dakota,Lexi Wyman,Good Woman,spotify:track:3bQE55ecn0bLxyGPzdQ10N,259242,2,2017-07-07
8,North Dakota,North Dakota,Amy Millan,Ruby II,spotify:track:6zJYLycncoIRrS2p3LHj6k,106746,3,2006-05-30
9,North Dakota,North Dakota,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,95800,3,2005-02-08
10,North Dakota,North Dakota,Woody Guthrie,Hard Travelin',spotify:track:6uMtl6JNV57oe7oU9DN3G4,154146,25,2012-07-10
11,North Dakota,North Dakota,Porter Wagoner,Highway Headin' South,spotify:track:2ymSa56zg2WcX7lmioZWHA,125453,8,2013-06-04
12,North Dakota,North Dakota,Dolly Parton,Highway Headin' South,spotify:track:7LDJZCUTqQrbSrDtldIr3z,125453,19,1974-09-16
13,North Dakota,North Dakota,Weird Al Yankovic,The Biggest Ball of Twine in Minnesota,spotify:track:3i3HEXZRAQ4d7SQeB0098V,408013,26,1989-01-01
14,North Dakota,North Dakota,Phish,Nellie Kane,spotify:track:51DbqrrPa2WbbZfhzHv18a,251120,16,1999
15,North Dakota,North Dakota,Dr. Demento,The Biggest Ball of Twine in Minnesota,error,error,error,error
16,North Dakota,North Dakota,Lynyrd Skynyrd,Truck Drivin' Man [Demo Version],spotify:track:7lHEUnQSXkqGMijPvC5qQh,316800,25,1987-02-03
17,North Dakota,North Dakota,Lynyrd Skynyrd,Truck Drivin' Man,spotify:track:7lHEUnQSXkqGMijPvC5qQh,316800,25,1987-02-03
18,North Dakota,North Dakota,Buck Owens,Alabama Louisiana or Maybe Tennessee,error,error,error,error
19,North Dakota,North Dakota,Charlie Daniels,Let Freedom Ring,spotify:track:4TDTYHtRQScCQu8e3b0Z86,301333,20,1991-04-23
20,North Dakota,North Dakota,Bob Seger,Face the Promise,error,error,error,error
21,North Dakota,North Dakota,Red Hot Chili Peppers,Dani California,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,282160,76,2006-05-09
22,North Dakota,North Dakota,The Dillards,Hard Travelin',spotify:track:0CS1dbbVVOPOgRx8ycJDXt,173506,4,2008-09-09
23,North Dakota,North Dakota,Grandmaster Flash,Adventures of Grandmaster Flash on the Wheels of Steel,spotify:track:5v8SnSwOjuz20gAjgz8Bk7,430266,24,1997
24,North Dakota,North Dakota,Ramblin' Jack Elliott,Hard Travelin',spotify:track:06KZoc60c3F3SeRHGessgY,152893,11,1989-01-01
25,North Dakota,North Dakota,Hot Rize,Nellie Kane,spotify:track:5tNqJuwj3D1QVV60IFlrke,178626,37,1979-01-01
26,North Dakota,North Dakota,Joni Mitchell,Song for Sharon,spotify:track:2DslWBUkrGFHWAQe0GpxkB,517586,39,1976-11-01
27,North Dakota,North Dakota,Coolio,Get Up Get Down,spotify:track:4KInu4p2azUpv4J7bzxbtN,331000,21,1995-11-07
28,North Dakota,North Dakota,The Killers,The Ballad of Michael Valentine,spotify:track:3jmqb9d6QW8hQHxAgI5u2X,230346,38,2007-01-01
29,North Dakota,North Dakota,Kevin Hart,All Falls Down,spotify:track:1h6mVroLf4GtNZNTlDOZzu,207998,19,2016-10-14
30,North Dakota,North Dakota,Busta Rhymes,More Dangerous,spotify:track:2NYhPDblWeAOj7TqNJ5TLv,294173,14,2014-09-09
31,North Dakota,North Dakota,Das EFX,Dum Dums,spotify:track:0cmCa6TTZpZOFyXVKdM9Cu,232893,25,1992-04-07
32,North Dakota,North Dakota,Tom Waits,Had Me a Girl,spotify:track:3GWnOYHStMuAoc50AwtyZy,255582,0,2009-08-01
33,North Dakota,North Dakota,Counting Crows,August & Everything After,spotify:track:5DiXcVovI0FcY2s0icWWUu,272293,76,1993-01-01
34,North Dakota,North Dakota,The Partridge Family,Some Kind of a Summer,spotify:track:0zOgaChNAUwrdNbbXXASKU,216476,0,2020-07-20
35,North Dakota,North Dakota,Neal McCoy,The Shake,spotify:track:2KZXnN63ae6G6Cai2NhPkG,213333,51,1997-10-17
36,North Dakota,North Dakota,Harry Chapin,Mail Order Annie,spotify:track:0He94wlVeR3TquWM09ImoQ,293640,21,1988
37,North Dakota,North Dakota,David Cassidy,Some Kind of a Summer,spotify:track:6SQvp7JXxLkfuCi9sQA2Jn,219506,16,1974
38,North Dakota,North Dakota,Animaniacs,Wakko's America,error,error,error,error
39,North Dakota,North Dakota,Melissa Etheridge,The Medicine Show,spotify:track:7rGZltABKrkA4A3KIe6pNI,147106,24,2019-04-12
