,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Northern Mariana Islands,Northern Mariana Islands,Kenny Chesney,Every Heart,spotify:track:5LNe2e8ABKkCFrCpkPUicZ,234612,46,2018-07-27
1,Northern Mariana Islands,Northern Mariana Islands,Al Stewart,Murmansk Run/Ellis Island,spotify:track:1m9NUEhYSVDVJY4mRoymjm,433546,6,1980-01-01
2,Northern Mariana Islands,Northern Mariana Islands,Owl City,Madeline Island,spotify:track:0NsR9xQaIapK6MFi0Mgr6T,276380,36,2018-06-01
3,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,Where I Belong,spotify:track:4n2hxhwEDSkKWPlrA6htVm,178426,15,1985-06-10
4,Northern Mariana Islands,Northern Mariana Islands,"Curren$y, Rick Ross, Harry Fraud",Mugello Red,spotify:track:0eQ6SX5ihCxcSkZXSFmxM8,219428,45,2020-07-24
5,Northern Mariana Islands,Northern Mariana Islands,Busta Rhymes,Live It Up,spotify:track:7FLkNxebm6cNnu19lIMqW9,221960,23,2000-06-09
6,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,California Girls,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,160360,63,1965-07-05
7,Northern Mariana Islands,Northern Mariana Islands,Rosanne Cash,Modern Blue,spotify:track:3UZTN7lF8EVPa5NcnCxjmZ,181420,26,2013-01-01
8,Northern Mariana Islands,Northern Mariana Islands,George Fox,Clearly Canadian,spotify:track:2g9MdORdmIDzVSJl5Gv9WE,214773,7,2020-02-28
9,Northern Mariana Islands,Northern Mariana Islands,Logic,Thank You,spotify:track:4ut9fdC5ncgcvCo0KaphNY,430426,47,2018-09-28
10,Northern Mariana Islands,Northern Mariana Islands,Zac Brown Band,2 Places at 1 Time,spotify:track:5PFXiMqvlBXqKJhWYhdSbR,220213,48,2017-05-12
11,Northern Mariana Islands,Northern Mariana Islands,Kids Learning Tube,7 Continents,spotify:track:0AE16I4oNqHtsgiYGxFgqr,116688,12,2019-04-21
12,Northern Mariana Islands,Northern Mariana Islands,Brian Wilson,California Girls,spotify:track:4mhfc5u2u2e1kRq8kZCgKr,167066,19,2002-01-01
13,Northern Mariana Islands,Northern Mariana Islands,Mystic Circle,Isenstein,error,error,error,error
14,Northern Mariana Islands,Northern Mariana Islands,Ozark Mountain Daredevils,Southern Cross,spotify:track:69hbKkOa45vh2oWOwDeBFG,209533,11,1975
15,Northern Mariana Islands,Northern Mariana Islands,Stompin' Tom Connors,"Canada Day, Up Canada Way",spotify:track:1mz7xVI9FwnxvOEzAZcmNF,157840,24,1988-08-19
16,Northern Mariana Islands,Northern Mariana Islands,David Lee Roth,California Girls,spotify:track:4H3vuLX59XPqdtTpIesGyS,171826,49,1985-01-15
17,Northern Mariana Islands,Northern Mariana Islands,De La Soul,Am I Worth You?,spotify:track:6DONnW8vLCGNqoSc2Tg5vi,212413,0,2009-07-13
18,Northern Mariana Islands,Northern Mariana Islands,"Martin Luther King, Jr.",I Have a Dream,spotify:track:7p87vvf99lrnZdAjAVbqud,210000,18,2019-11-18
19,Northern Mariana Islands,Northern Mariana Islands,Faded Paper Figures,North by North,spotify:track:6kAZRPHGQHryRZbs6Zyh6B,274360,36,2008-01-01
20,Northern Mariana Islands,Northern Mariana Islands,The Move,California Girls,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,160360,63,1965-07-05
21,Northern Mariana Islands,Northern Mariana Islands,West Indian Girl,Northern Sky,spotify:track:3va4pCnmgYk6HWacRSs5X8,251173,10,2004-01-01
