,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Ohio,Ohio,The Ohio Players,O-H-I-O,spotify:track:7hOx8FTNJ1LsBnzapL4B3l,188853,5,1995-06-06
1,Ohio,Ohio,Connie Smith,"Cincinnati, Ohio",spotify:track:0ALQjBvuNCz7VFnNxxz7Nb,131986,20,2018-10-19
2,Ohio,Ohio,Bill Anderson,Cincinnati Ohio,spotify:track:5l72Av74DlDutMisUibCQ1,131986,13,1967-05-22
3,Ohio,Ohio,"Neil Young, Crosby, Stills, Nash & Young",Ohio,spotify:track:5Ixo7kVPzQlpdn7VVHET7b,179973,39,2009-05-29
4,Ohio,Ohio,Neil Young,Ohio,spotify:track:0eFqH9smOTiNNecXMpFIi2,220026,30,2007-03-06
5,Ohio,Ohio,Jack Greene,Cincinnati Ohio,spotify:track:3A7TzLEWiDI5EOVWhbOev6,1610600,0,2004-11-09
6,Ohio,Ohio,John Hiatt,All the Lilacs in Ohio,spotify:track:3yH72sTffDCgOsymq5PxF1,217547,14,2001-09-11
7,Ohio,Ohio,Sleepy John Estes,You Shouldn't Do That,spotify:track:6gPwZmVe8cZRx7LTCrAIVx,154200,0,2006
8,Ohio,Ohio,Pretenders,My City Was Gone,spotify:track:3CTxcImER2VN4xGVF4mJCV,325173,47,1984
9,Ohio,Ohio,Pretenders,My City Was Gone [DVD],error,error,error,error
10,Ohio,Ohio,Pretenders,Message of Love,spotify:track:7gwonQSbPFHDd3FbIRWtdu,206946,0,2020-07-24
11,Ohio,Ohio,The Low Anthem,To Ohio,spotify:track:6Es3Z9JmH7yd2HFWC77LpK,197600,28,2009-06-09
12,Ohio,Ohio,Frankie Laine,My Ohio Home,spotify:track:6op2ygF1H2F4UHY0kqLakh,167293,0,1954-01-01
13,Ohio,Ohio,Over the Rhine,Ohio,spotify:track:5giOeZLRgy5Vzaed5CzjbM,313666,21,2003
14,Ohio,Ohio,Bill Anderson,Talk to Me Ohio,error,error,error,error
15,Ohio,Ohio,Phil Ochs,Boy in Ohio,spotify:track:7rICkajTa7ZuWxDj3OpxpE,224226,5,1970-01-01
16,Ohio,Ohio,Mott the Hoople,Ohio,spotify:track:44VMIYttRMiruEmIObpz7P,248613,45,2018-11-16
17,Ohio,Ohio,Andrew McMahon In the Wilderness,Ohio,spotify:track:44VMIYttRMiruEmIObpz7P,248613,45,2018-11-16
18,Ohio,Ohio,Bing Crosby,Ohio [From Wonderful Town],error,error,error,error
19,Ohio,Ohio,Hawkwind,You Shouldn't Do That,spotify:track:1yC4zXWJuywuVp5Hm5nobQ,941773,27,1971
20,Ohio,Ohio,Future,Everything A Dope Boy Ever Wanted,error,error,error,error
21,Ohio,Ohio,"Jake Paul, Chance Sutton, Anthony Trujillo",Ohio Fried Chicken,spotify:track:1QqDoSwspkuXUKN6pU5gbu,155742,44,2017-06-17
22,Ohio,Ohio,Johnny Cash,The Banks of the Ohio,spotify:track:6ttP6qHNA1g8nuWtgb1Dff,246773,29,2003-01-01
23,Ohio,Ohio,Emmylou Harris,Cajun Born [Previously Unreleased Track; Bonus Track],error,error,error,error
24,Ohio,Ohio,The Oak Ridge Boys,Gonna Take a Lot of River,spotify:track:1qLPiS5gOOQezeC609ldnQ,181666,27,1988-01-01
25,Ohio,Ohio,Nik Turner,You Sholdn't Do That [DVD],error,error,error,error
26,Ohio,Ohio,Joan Baez,Banks of the Ohio,spotify:track:5baVOcZQr3sulDmGQennee,189040,22,2006-01-01
27,Ohio,Ohio,Dolly Parton,Banks of the Ohio,spotify:track:5J2jDO0ZPC9nKWgFffo31c,228893,24,2014-05-09
28,Ohio,Ohio,Jamie Lawson,Cold in Ohio,spotify:track:6GJ2RtbLKqNc8kJWiilyN8,169327,25,2015-10-16
29,Ohio,Ohio,Limbeck,In Ohio on Some Steps,spotify:track:3akgu7R3Ws1JGjMUhc4q2Q,209573,19,2003-06-17
30,Ohio,Ohio,Super Furry Animals,Ohio Heat,spotify:track:6rG52r3ecj22tVuPfl82N0,247266,17,2005-08-22
31,Ohio,Ohio,Neversink,No Sun in Ohio,spotify:track:0euskHFti9vatCQ2K0eR8D,280710,0,2016-08-20
32,Ohio,Ohio,Joan Baez,The Banks of the Ohio,spotify:track:5baVOcZQr3sulDmGQennee,189040,22,2006-01-01
33,Ohio,Ohio,Peter Bradley Adams,Ohio,spotify:track:39tKfBRog6yw8QPzdlhIOU,243440,20,2008-08-05
34,Ohio,Ohio,Anna Kendrick,A Summer in Ohio,spotify:track:6iUj2r8phKsuKaa3hfH0AI,245573,43,2015-02-10
35,Ohio,Ohio,The National,Bloodbuzz Ohio,spotify:track:61yQP9FDS7ukp4eAVTdwit,275933,56,2010-11-22
36,Ohio,Ohio,Relient K,Mrs. Hippopotamuses',spotify:track:185QRPHLcApZGgThcq5m8O,157586,35,2016-07-22
37,Ohio,Ohio,Bow Wow,Off the Glass,spotify:track:4nVRQ6T5bbIDGSMnAKiyze,172493,8,2001
38,Ohio,Ohio,Elvis Costello,Toledo,spotify:track:64PY5B3h9mqHjyyJ9B6U2l,274200,41,1998-09-28
39,Ohio,Ohio,Olivia Newton-John,Banks of the Ohio,spotify:track:0V5tUwJ164rN4EM3T9wowz,195878,0,2008-12-10
40,Ohio,Ohio,Loretta Lynn,Van Lear Rose,spotify:track:4p0GgpkZjy9t9kAsOOgycy,230333,29,2004-04-27
41,Ohio,Ohio,Miranda Lambert,Look at Miss Ohio,spotify:track:6grB50pRaymzlEaVlbAMSY,258093,39,2011-11-01
42,Ohio,Ohio,John Denver,Toledo,spotify:track:6qRHINqsaebME7mjNAlSGk,150266,19,1975-02
43,Ohio,Ohio,Copywrite,Fire It Up,spotify:track:3ewD7wZnJ0KVPDRO8Ew62G,229173,8,2002-06-24
44,Ohio,Ohio,Burt Bacharach,Toledo,spotify:track:64PY5B3h9mqHjyyJ9B6U2l,274200,41,1998-09-28
45,Ohio,Ohio,Dwight Yoakam,South of Cincinnati,spotify:track:65WqROogRowVdCmlF8Di41,295133,33,1986
46,Ohio,Ohio,Dwight Yoakam,South of Cinnicinnati [Live; Previously Unreleased Track; Live],error,error,error,error
47,Ohio,Ohio,Dwight Yoakam,South of Cinnicinnati,spotify:track:7aO1jbLo3ifbmhnMGx4fwy,290933,13,1986-04-12
48,Ohio,Ohio,The Tragically Hip,Chagrin Falls,spotify:track:2gMMQUQCpb1UdvcqfURa4y,250733,28,1998-01-01
49,Ohio,Ohio,Jim Croce,Country Girl,spotify:track:2bTcHeOkfmQRKjs9YpIFYn,108786,14,2011-07-25
50,Ohio,Ohio,Damien Jurado,Ohio,spotify:track:6W4GTXLYX8HkmZGmVkfrSC,245960,56,2014-10-17
51,Ohio,Ohio,Holopaw,Teacup Woozy,spotify:track:6YpAvjCYXa7t948deEtwXX,196226,3,2003-01-21
52,Ohio,Ohio,Chixdiggit!,Ohio,spotify:track:1GobwQuYPMUaLL0e6M6Uu2,104493,11,1998
53,Ohio,Ohio,Saving Jane,Ohio,spotify:track:7K2Uk8M4oUSKINXiK982nA,208169,5,2014-07-23
54,Ohio,Ohio,Julia Stone,Bloodbuzz Ohio,spotify:track:5VoRKvRlDXwnu5oEzmlJFL,310840,25,2012-05-29
55,Ohio,Ohio,The Greenbriar Boys,Banks of the Ohio,spotify:track:7xNjRvW6qPTi3bnJBgYXgS,244360,18,1963-12-31
56,Ohio,Ohio,Richard Bennett,Banks of the Ohio,spotify:track:4jI1Ne0jbj76e2293qe1bG,225826,0,2011-10-30
57,Ohio,Ohio,The Devil Wears Prada,Detroit Tapes,spotify:track:25podfMzllRYW1YxFe0fl2,132719,25,2016-10-07
58,Ohio,Ohio,The Jayhawks,Somewhere in Ohio,spotify:track:4Q18ohorwj2Y0cKBtDEGZp,229034,17,2015-04-07
59,Ohio,Ohio,赤西仁,Go Higher,spotify:track:2JgAGCDYODCoGUUxQhUPT1,220773,7,2018-08-01
60,Ohio,Ohio,SOAK,Bloodbuzz Ohio,spotify:track:2pfkaHd8arhESSxyJAou6g,279967,46,2019-11-25
61,Ohio,Ohio,Smino,O'HighO,error,error,error,error
62,Ohio,Ohio,B.B. King,Never Make a Move Too Soon,spotify:track:4wr2UsVqrWgrZsOtl8Rusy,329933,24,1978-01-01
63,Ohio,Ohio,Johnny Cash,Wanted Man,spotify:track:52rWZajfmiprmZklqkpXAR,170840,47,1971-02-06
64,Ohio,Ohio,Linda Ronstadt,In My Reply,spotify:track:5V6kkHsKwMOUmycpNZkDkm,213466,15,1972
65,Ohio,Ohio,Johnny Cash,Wanted Man [Live],spotify:track:6VoNdxnQFyCqMJAPSb4Oeh,209293,27,1969-06-05
66,Ohio,Ohio,Too Short,Sample the Funk,spotify:track:1Hj2K04hAm8f3ohH0Pf7db,414026,19,1995-01-23
67,Ohio,Ohio,Roger Daltrey,Never Make Your Move Too Soon,error,error,error,error
68,Ohio,Ohio,The Crusaders,Never Make a Move Too Soon,spotify:track:0Ux1nv6vuunfscP7MPNASF,253333,11,1982-01-01
69,Ohio,Ohio,N.E.R.D.,Don't Don't Do It!,spotify:track:2svutFGaCycRmYc1mWbfQh,257706,47,2017-12-15
70,Ohio,Ohio,Sun Kil Moon,Carry Me Ohio,spotify:track:6sNT5PF1SjTYgMiAIQGYMd,381040,45,2003-11-04
71,Ohio,Ohio,Priscilla Ahn,Remember How I Broke Your Heart,spotify:track:6AfYTSyFi2VByWI1QP2Ttr,155653,22,2014-02-25
72,Ohio,Ohio,Corey Smith,My Two Babies,spotify:track:09a5VqOdnOvoLL7yWcetox,171946,11,2003-01-01
73,Ohio,Ohio,Herman Van Veen,Lonely Kojboj,spotify:track:2LuwSzn5rjnT0FJNgAhCb6,234400,6,1986-01-01
74,Ohio,Ohio,Jake Paul,It's Everyday Bro,spotify:track:4l62h4tiuUwn7eD6hxMlVQ,217678,56,2017-05-30
75,Ohio,Ohio,Gillian Welch,Look at Miss Ohio,spotify:track:5vPRCX0Bj8O374jTCAQRLS,256026,55,2003-06-03
76,Ohio,Ohio,B.B. King,Never Make Your Move Too Soon,spotify:track:0iZ8HcWqK5pDaJG7eXTTCG,326213,0,2007-01-01
77,Ohio,Ohio,Pretenders,Tequila [Previously Unreleased Track; Demo Version],error,error,error,error
78,Ohio,Ohio,Grace Potter & the Nocturnals,You May See Me,spotify:track:1Qm81OD56CaChbDZhVJJOR,267840,17,2007-01-01
79,Ohio,Ohio,Tony Rice,Banks of the Ohio,spotify:track:3Ltk25sFu27splcbdM46VV,252733,21,1977-01-01
80,Ohio,Ohio,The Cardinals,Rosebud,spotify:track:19eP1zyUA6ijXFI04zTbQ5,174866,21,2005
81,Ohio,Ohio,Counting Crows,Four Days,spotify:track:40qcKfWu4uv3srToNBPaGN,205600,31,1999
82,Ohio,Ohio,Bob Birthisel,Leave Ohio Behind,spotify:track:5Z4ifaw2UuFbA3lIjgw4l5,245581,0,2020-04-20
83,Ohio,Ohio,Bash Bwa,Reppin' Til the End (feat. Ya-Ya Da Prince & Professor Ravin Raw Funkworth),error,error,error,error
84,Ohio,Ohio,John Gorka,The Ballad of Jamie Bee,spotify:track:2c6AJ1RQ17sPBzmh5z053Y,319706,6,1990
85,Ohio,Ohio,Johnny Cash,Wanted Man [DVD],spotify:track:7vMG6fL77UN58ZzOL8ARiw,266640,0,2009-02-28
86,Ohio,Ohio,Stalley,3:30 P.M.,error,error,error,error
87,Ohio,Ohio,Randy Newman,"Dayton, Ohio 1903",spotify:track:2Pk9GnqqmfKLJ65Opzky9t,113000,26,1972-05-01
88,Ohio,Ohio,Randy Newman,"Dayton, Ohio - 1903 [Early Version; Previously Unreleased Track; Bonus Track]",error,error,error,error
89,Ohio,Ohio,Randy Newman,"Dayton, Ohio, 1903",spotify:track:2Pk9GnqqmfKLJ65Opzky9t,113000,26,1972-05-01
90,Ohio,Ohio,Phil Ochs,Hills of West Virginia,spotify:track:0OvW5WjO0lnOKoPmkg92no,201000,16,1965
91,Ohio,Ohio,Harry Nilsson,"Dayton, Ohio 1903",spotify:track:4nhpxeFxGQtMZTK0ojcHF3,112760,20,1970-02-01
92,Ohio,Ohio,Mark Chesnutt,Old Country,spotify:track:0c25pdkvRhymYdm5Rf3XWh,233573,40,1992-01-01
93,Ohio,Ohio,Modest Mouse,Ohio,spotify:track:6MdDs8jHgpfdC1FC6bfqzg,361960,32,1996-04-16
94,Ohio,Ohio,The Avett Brothers,Salina,spotify:track:0Mfwz6JTTMrwXo2XIj7WGU,284040,42,2007-05-15
95,Ohio,Ohio,Anna Kendrick,See I'm Smiling [Explicit],error,error,error,error
96,Ohio,Ohio,Devo,Soo Bawls,spotify:track:6cu1QIX6VARdH0mQvqnf3L,163333,10,2016-04-19
97,Ohio,Ohio,The National,Not In Kansas,spotify:track:50DAgICmMnWaUVXQiLGlLx,404720,46,2019-05-17
