,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Oklahoma,Oklahoma,Van Zant,Oklahoma,spotify:track:4egvZz4CR6GkyCi9kgMEUm,327600,5,2001-01-01
1,Oklahoma,Oklahoma,Pete Seeger,My Oklahoma Home (It Blowed Away) [Previously Unreleased Track],error,error,error,error
2,Oklahoma,Oklahoma,Keb' Mo',Oklahoma,spotify:track:6DI1TMsZ2olvD3QHSNG07v,293106,34,2019-06-14
3,Oklahoma,Oklahoma,Charley Pride,Oklahoma Morning,spotify:track:6jDLaDZImoqzUGez8SUJbN,143840,4,1975-11-01
4,Oklahoma,Oklahoma,Vince Gill,Oklahoma Borderline,spotify:track:7AY9eem2CjKh2cmSZm8qNJ,219933,25,1995-03-28
5,Oklahoma,Oklahoma,Bruce Springsteen,My Oklahoma Home,spotify:track:7dqmragLm9YMSqy4UCKO5P,361773,33,2006
6,Oklahoma,Oklahoma,Bruce Springsteen,My Oklahoma Home [PCM Stereo],error,error,error,error
7,Oklahoma,Oklahoma,Roger Miller,Oklahoma Woman,error,error,error,error
8,Oklahoma,Oklahoma,Arlo Guthrie,Oklahoma Nights,spotify:track:7p3lUVtypWbG3lJBeA8hnI,203000,1,1981-11-17
9,Oklahoma,Oklahoma,Blake Shelton,Oklahoma Christmas,spotify:track:1zhw0SSeMnVSLLAKKZzffH,208706,16,2012-10-02
10,Oklahoma,Oklahoma,Chris LeDoux,Ballad of Will Rogers,spotify:track:6r3WCOkRF7kfqFiQOaFaz5,189266,11,1983-01-01
11,Oklahoma,Oklahoma,Cross Canadian Ragweed,In Oklahoma,spotify:track:2yfsg2vZWOJ1zaAEoAKLpX,186800,23,2007-01-01
12,Oklahoma,Oklahoma,The Notorious Cherry Bombs,Oklahoma Dust,spotify:track:5w5DayEENcE0d8IvstRPG6,155160,9,2004-01-01
13,Oklahoma,Oklahoma,Vince Gill,Oklahoma Swing,spotify:track:3bU83POnFKi0946jm0ZkA1,188226,25,1989-01-01
14,Oklahoma,Oklahoma,Reba McEntire,Oklahoma Swing,spotify:track:3bU83POnFKi0946jm0ZkA1,188226,25,1989-01-01
15,Oklahoma,Oklahoma,Hank Thompson,Oklahoma Hills,spotify:track:6Shjm9OqnFAyWDpmVzjP7w,146773,26,2005
16,Oklahoma,Oklahoma,Kay Starr,Oklahoma Hills,spotify:track:0eKWF3ag7dj82MkeGKdPDg,151693,0,2020-03-12
17,Oklahoma,Oklahoma,Waylon Jennings,Oklahoma Sunshine,spotify:track:79oS9snfk4xTv9O960oJPP,209093,23,1974-09-01
18,Oklahoma,Oklahoma,Jim Reeves,Oklahoma Hills,spotify:track:5GcAveYFAErqPOCxA3J8pV,156520,0,2019-08-28
19,Oklahoma,Oklahoma,Don Williams,Where the Arkansas River Leaves Oklahoma,spotify:track:0vzeh0TYMoozxt9xUTgT5g,249853,15,1976-04-05
20,Oklahoma,Oklahoma,Country Joe McDonald,Oklahoma Hills,spotify:track:3FnpTOF6imdIN4g6BEz0pe,139586,0,2013-01-22
21,Oklahoma,Oklahoma,Cher,Never Been to Spain,spotify:track:3fSxfw5tBOlPfm2de4UmN9,205600,15,1972-01-01
22,Oklahoma,Oklahoma,Carrie Underwood,I Ain't in Checotah Anymore,spotify:track:2NvXBpGZDjuqKApdwULI3R,199786,40,2005-11-14
23,Oklahoma,Oklahoma,John Raitt,Oklahoma! (Overture) [From Oklahoma!],error,error,error,error
24,Oklahoma,Oklahoma,Chris LeDoux,Oklahoma Joe,spotify:track:4L1iwx5VYq6aayWutbXUSH,194560,12,1995-01-01
25,Oklahoma,Oklahoma,John Raitt,Oklahoma! [Bonus Track],spotify:track:6LJ2GN4y8eWzxyi5plM9zP,148333,4,2009-01-30
26,Oklahoma,Oklahoma,Heino,Beim Alten Bill in Oklahoma,spotify:track:7x0IXRuHqiigpCdxdUO8rk,210523,0,2013-04-17
27,Oklahoma,Oklahoma,Three Dog Night,Never Been to Spain,spotify:track:61OQuSzsom6geFCA18JwO6,226066,60,1971
28,Oklahoma,Oklahoma,David Frizzell,You're the Reason God Made Oklahoma,spotify:track:0qXfGGfWguEHZ4jESyNKFP,204866,52,1982-01-01
29,Oklahoma,Oklahoma,Frizzell & West,You're the Reason God Made Oklahoma,spotify:track:5gHhcWYDdRd6i3t9KfPy3Z,194608,4,2011-05-24
30,Oklahoma,Oklahoma,Shirley Jones,Oklahoma,spotify:track:37vZmkPWMYUnsFgykCqZsA,186426,27,2001-01-01
31,Oklahoma,Oklahoma,Shirley Jones,Oklahoma!,spotify:track:37vZmkPWMYUnsFgykCqZsA,186426,27,2001-01-01
32,Oklahoma,Oklahoma,Gordon MacRae,"Oklahoma (from ""Oklahoma!"") [From Oklahoma!]",spotify:track:5z55ViAxkPWLOMhlPoyw14,151440,37,2001-01-01
33,Oklahoma,Oklahoma,Ike & Tina Turner,Never Been To Spain,spotify:track:20pzjdxaoSgT3MLU7qHs86,276626,6,1996
34,Oklahoma,Oklahoma,Woody Guthrie,Pretty Boy Floyd,spotify:track:2VXRKNX9j6Gv80pqCvDdFE,183093,20,2012-07-10
35,Oklahoma,Oklahoma,The Byrds,Pretty Boy Floyd [Live],spotify:track:4FTBjSXviLJZe7OLR9r3sy,154106,10,2008-05-27
36,Oklahoma,Oklahoma,Arlo Guthrie,Pretty Boy Floyd,spotify:track:7GyQHO4G4f06eDjXD3L06F,269955,6,1982
37,Oklahoma,Oklahoma,The Byrds,Pretty Boy Floyd,spotify:track:6NtoPgo4C22hfBNaBBeoHW,154133,30,1968-08-30
38,Oklahoma,Oklahoma,Bob Dylan,Pretty Boy Floyd,spotify:track:7pMbAAH18ojcxhKir346Y2,264133,14,1988-08-30
39,Oklahoma,Oklahoma,The Kinks,Oklahoma U.S.A.,spotify:track:5eamsFAcI9xv4Qqh0hQ7Av,160786,20,1971-11-24
40,Oklahoma,Oklahoma,Joan Baez,Pretty Boy Floyd,spotify:track:1XLchHhd0yX2Drvmlavsx4,282840,9,2006-01-01
41,Oklahoma,Oklahoma,Saliva,Here with You,spotify:track:2f3m5uPXwslBffghLa3e8y,246560,20,2007-01-01
42,Oklahoma,Oklahoma,Jason Aldean,Fly Over States,spotify:track:17X2tSzibD9n9QRjdExcWT,218200,62,2010-11-02
43,Oklahoma,Oklahoma,Kane,Oklahoma State of Mind,error,error,error,error
44,Oklahoma,Oklahoma,Stephen Hunley,Oklahoma,spotify:track:5qbBejMasklWQwUGcohrCH,311066,0,2014-10-07
45,Oklahoma,Oklahoma,American Aquarium,Work Conquers All,spotify:track:4ITF3XLHSH6a68LM7Mldsm,251986,25,2018-06-01
46,Oklahoma,Oklahoma,Rascal Flatts,Oklahoma-Texas Line,spotify:track:4RBHTIgvuI12tUYK6t2ulG,175013,31,2004-01-01
47,Oklahoma,Oklahoma,The Monkees,Oklahoma Backroom Dancer,spotify:track:6M9tMlGj6DYYOIftco1HPo,156213,9,1969-10-01
48,Oklahoma,Oklahoma,Blake Shelton,Good Ole Boys,spotify:track:0qxiJpWY6FD5gAUpX1prn4,188000,30,2011-07-11
49,Oklahoma,Oklahoma,Reba McEntire,San Antonio Rose,spotify:track:5y1VMAO3t8rJK9tHiQzryh,110200,6,1989-08-30
50,Oklahoma,Oklahoma,Eli Young Band,Oklahoma Girl,spotify:track:1OxEiYzWJP8rheH8IDRslO,210600,40,2005-04-05
51,Oklahoma,Oklahoma,Sutton Foster,Oklahoma [Bonus Track],error,error,error,error
52,Oklahoma,Oklahoma,Ramblin' Jack Elliott,Pretty Boy Floyd,spotify:track:5qVCAoCxWLMz1YYrcXjdXj,188440,13,1989-01-01
