,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Oregon,Oregon,Sleepover,Oregon,spotify:track:1wFCd5l9ssJRsH4HcrYWYw,175436,0,2018-03-07
1,Oregon,Oregon,Woody Guthrie,End of the Line,spotify:track:2hYmCR1SnRIZx7kp98CrsQ,172400,19,1999-08-17
2,Oregon,Oregon,Loretta Lynn,Portland Oregon,spotify:track:5KZ7xHdaC3Y4bdhgpMpYEA,229440,46,2004-04-27
3,Oregon,Oregon,Loretta Lynn,"Portland, Oregon",spotify:track:5KZ7xHdaC3Y4bdhgpMpYEA,229440,46,2004-04-27
4,Oregon,Oregon,Michael Hurley,The Portland Water,spotify:track:0hkJOnhsOu76pUcdCjQujW,228000,18,1994-09-01
5,Oregon,Oregon,Steely Dan,Don't Take Me Alive,spotify:track:1K9B43e0PyilYctK0WgoO4,256360,47,1976-01-01
6,Oregon,Oregon,Neal Casal,The Portland Water,spotify:track:3Nlh3L3bKaNBRiPxeNBila,215533,2,2005-02-22
7,Oregon,Oregon,Al Stewart,Katherine of Oregon,error,error,error,error
8,Oregon,Oregon,Alxndr Sounds,More Again,spotify:track:1Nvvwz8IKhQpznZoUp7UpL,224396,0,2018-01-01
9,Oregon,Oregon,Maybe_grady,Mount Hood,spotify:track:24YnaXxn3Q8rB7k2ItcuCM,244401,0,2017-08-07
10,Oregon,Oregon,Someone Still Loves You Boris Yeltsin,Oregon Girl,spotify:track:4Sf7Nk9eZl5a3kS8e5rcIf,146080,24,2006-10-24
11,Oregon,Oregon,Cowboy Junkies,Oregon Hill,spotify:track:1lWrwShoQqOjknXwhkxbLP,293866,24,1992-02-07
12,Oregon,Oregon,Perry Como,Delaware,spotify:track:7moaXjSX1RHksmk6qanoPY,139400,19,1993-10-25
13,Oregon,Oregon,Vanessa Paradis,Que fait la vie?,spotify:track:1ihuWbaJc004fbXrGN6nd4,259893,20,2000-01-01
14,Oregon,Oregon,Herbert Grönemeyer,Commander,spotify:track:0fVjWIr63oYFpzEp2sLSok,121093,0,2011-10-03
15,Oregon,Oregon,Grant Lee Buffalo,Hyperion and Sunset,spotify:track:6AAkRHxtWHUQ7R7QhTcdQ2,240066,8,1996-05-24
16,Oregon,Oregon,Van Morrison,Almost Independence Day,spotify:track:3hbg0IM33PgYv3nMklUr3d,607600,33,1972-07
17,Oregon,Oregon,John Linnell,Oregon,spotify:track:2emKXFrE9GkomiZAMHfvQn,108973,5,1999-10-26
18,Oregon,Oregon,YACHT,Shangri-La,spotify:track:1NdzZHbdwtA3mQFl40MGix,298026,24,2011-06-21
19,Oregon,Oregon,Said the Whale,Cascadia,spotify:track:2w21dduYOzTHvfslATRIuY,220053,23,2019-02-08
20,Oregon,Oregon,Mat Kearney,Nothing Left to Lose,spotify:track:23MG7PAYUQp0esP2dzWHWj,263253,56,2006
21,Oregon,Oregon,Mat Kearney,Nothing Left to Lose [Acoustic Version; Bonus Track],error,error,error,error
22,Oregon,Oregon,Dead Kennedys,Night of the Living Rednecks,spotify:track:3Pn6UKoMwoSBbbOePrYWHt,310160,28,1987-12-21
23,Oregon,Oregon,Rebelution,Inhale Exhale,spotify:track:60j4KO4XiFxLM6qy2Enic2,187709,55,2016-06-03
24,Oregon,Oregon,Mat Kearney,Nothing Left to Lose [Acoustic Version],spotify:track:3itBknVuACVAffjKgAYWOR,264226,13,2006-04-18
25,Oregon,Oregon,Shawn Mullins,"Twin Rocks, Oregon",spotify:track:2TXfz2qgVymWWVraZYPNs6,272840,25,1998-09-15
26,Oregon,Oregon,Shawn Mullins,"Twin Rocks, Oregon [Solo; Multimedia Track]",error,error,error,error
27,Oregon,Oregon,Martin Weller,Rainmaker,spotify:track:2ls5NYAVSz6EMrkXAdgtiq,239119,0,2016-05-24
28,Oregon,Oregon,Paul Wright,Flip-Flops,spotify:track:3mO9jHBhEmHaRtW9W7LoLe,204106,9,2003-12-02
29,Oregon,Oregon,Paul Wright,South Beach,spotify:track:13Zi5KtlC8mzlzQyKSxaYO,185266,7,2003-12-02
30,Oregon,Oregon,Hanalei,Better Days,spotify:track:1ShEqf0sL5nDYOOoMJc7xH,147786,1,2006
31,Oregon,Oregon,Earlimart,A Goodbye,spotify:track:3UE30iDQTQQuLcoySOXj2Y,261839,4,2012-10-16
32,Oregon,Oregon,Galactic Cowboys,Oregon,spotify:track:5zcaq3R2ePWBaIpRipVfRa,270813,2,1997
33,Oregon,Oregon,RZA,Protect Ya Neck,spotify:track:0GSMCJFLfr0puIVuPSAZXd,278533,31,1992-12-14
34,Oregon,Oregon,Wu-Tang Clan,Protect Ya Neck,spotify:track:1Sgj10byiGzPpI2IrXSFEn,291066,65,1993-11-09
35,Oregon,Oregon,Tony! Toni! Toné!,The Blues,spotify:track:2TYgfLRpzaC4LgTqRy7UAf,253133,26,1990-01-01
36,Oregon,Oregon,The Yardbirds,Psycho Daisies,spotify:track:1riHXT8OEfPA682l86z7LU,110000,25,1966-07-15
37,Oregon,Oregon,Woody Guthrie,Pastures of Plenty,spotify:track:49Cl45LNOx0cZ9qG5wGTCB,148506,26,2012-07-10
38,Oregon,Oregon,Woody Guthrie,Grand Coulee Dam,spotify:track:5gCvgOuAxw8YpHCV9m1xue,133973,17,2012-07-10
39,Oregon,Oregon,Ol' Dirty Bastard,Protect Ya Neck,spotify:track:2UDG684Ss4DWs8yX9qaj2S,240822,11,2018-03-15
40,Oregon,Oregon,Bob Dylan,The Grand Coulee Dam,spotify:track:0SeYvHVgDeoGC4xjO5Xj0L,186238,6,1972
