,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Pennsylvania,Pennsylvania,Bing Crosby,"Pittsburgh, Pennsylvania",error,error,error,error
1,Pennsylvania,Pennsylvania,X-Patriate: Alan J. Lipman,Pennsylvania Avenue,spotify:track:3H3GXOyOTmyy3S8pjeNGYc,370946,17,2007-01-01
2,Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania 6-5000,spotify:track:42alfaib4oMxRbmyVsBMae,183805,6,2017-02-20
3,Pennsylvania,Pennsylvania,Enoch Light Orchestra,Pennsylvania 6-5000,spotify:track:3QBDBIyx5VhLwemIasEdpb,193773,4,2015-09-25
4,Pennsylvania,Pennsylvania,Guy Mitchell,"Pittsburgh, Pennsylvania",spotify:track:4ph3PycOyjVCpWTz5amGRd,176706,16,1991-09-03
5,Pennsylvania,Pennsylvania,Guy Mitchell,Pittsburgh Pennsylvania,spotify:track:4ph3PycOyjVCpWTz5amGRd,176706,16,1991-09-03
6,Pennsylvania,Pennsylvania,Benny Goodman,Pennsylvania 6-5000,error,error,error,error
7,Pennsylvania,Pennsylvania,The New 101 Strings Orchestra,Pennsylvania 6-5000,spotify:track:02VVsGbIVEYgsd3Brr6PA1,192466,0,2009-01-01
8,Pennsylvania,Pennsylvania,Tommy Dorsey,Pennsylvania 6-5000,spotify:track:0NO56EQfoW2aJM5nskTlRn,544666,0,1995
9,Pennsylvania,Pennsylvania,The Muppets,Pennsylvania 6-5000,spotify:track:69wd0z5UfjOypw2IJ1rePu,183866,28,2000-01-01
10,Pennsylvania,Pennsylvania,Count Basie,Pennsylvania 6-5000,error,error,error,error
11,Pennsylvania,Pennsylvania,Bud Freeman,Pennsylvania 6-5000,error,error,error,error
12,Pennsylvania,Pennsylvania,Ted Heath Orchestra,Pennsylvania 6-5000,spotify:track:3nHMTAkeqGyV2QP1aNZcj7,271693,0,1985
13,Pennsylvania,Pennsylvania,Brian Setzer,Pennsylvania 6-5000,spotify:track:69wd0z5UfjOypw2IJ1rePu,183866,28,2000-01-01
14,Pennsylvania,Pennsylvania,Heart,Pennsylvania,spotify:track:1xf8sfD26W9F8NgN7WlNn1,188986,10,2012-10-01
15,Pennsylvania,Pennsylvania,Teresa Brewer,Pennsylvania 6-5000,error,error,error,error
16,Pennsylvania,Pennsylvania,Status Quo,Pennsylvania Blues Tonight,error,error,error,error
17,Pennsylvania,Pennsylvania,Everclear,Pennsylvania Is...,error,error,error,error
18,Pennsylvania,Pennsylvania,Glenn Miller,Pennsylvania 6-5000,spotify:track:0H5dnOYw1mgdk7yhqpoVJh,192240,45,1980-04-09
19,Pennsylvania,Pennsylvania,Carpenters,(There's No Place Like) Home for the Holidays,spotify:track:7wGl806edcp34SOk5r7DEG,155960,30,1978-10-13
20,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home For the Holidays,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,171333,33,1999-08-20
21,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,171333,33,1999-08-20
22,Pennsylvania,Pennsylvania,Olivia Newton-John,Home for the Holidays,spotify:track:3nLYUJ9nU4ytnupBzicrNy,206602,0,2015-12-16
23,Pennsylvania,Pennsylvania,Randy Travis,(There's No Place Like) Home for the Holidays,spotify:track:3aKe16TMj9GnR1Ilf5lksJ,171040,6,2007-09-25
24,Pennsylvania,Pennsylvania,Unlinked Artist,Pennsylvania 6-5000,spotify:track:1Mpqgb7ikIdh3YRwYVRw3c,197693,1,2004-04-02
25,Pennsylvania,Pennsylvania,Perry Como,There's No Place Like Home for the Holidays,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,171333,33,1999-08-20
26,Pennsylvania,Pennsylvania,Perry Como,"Home For the Holidays, (There's No Place Like)",spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,171333,33,1999-08-20
27,Pennsylvania,Pennsylvania,Jerry Gray,Pennsylvania 6-5000,spotify:track:2EqkwnkAiSKAmIspkrBwk4,193906,2,1985-06-03
28,Pennsylvania,Pennsylvania,The Band of the Black Watch,Pennsylvania 6-5000,spotify:track:5rRwyjG2K7vtfLuXNLrX0u,206154,0,1976
29,Pennsylvania,Pennsylvania,Johnny Mathis,Home for the Holidays,spotify:track:1AI9tXw88RVFqOQL1HKem3,186373,2,2014-10-07
30,Pennsylvania,Pennsylvania,Tex Beneke,Pennsylvania 6-5000 [Previously Unreleased Track],error,error,error,error
31,Pennsylvania,Pennsylvania,The Modernaires,Pennsylvania 6-5000,spotify:track:69wd0z5UfjOypw2IJ1rePu,183866,28,2000-01-01
32,Pennsylvania,Pennsylvania,The Brian Setzer Orchestra,Pennsylvania 6-5000,spotify:track:69wd0z5UfjOypw2IJ1rePu,183866,28,2000-01-01
33,Pennsylvania,Pennsylvania,BBC Big Band,Pennsylvania 6-5000,spotify:track:4HzaaCN9C9f4dBrvcuxFpx,200920,10,2013-01-01
34,Pennsylvania,Pennsylvania,Harry Chapin,"30,000 Pounds of Bananas",spotify:track:1jXky83x0PR5nrRbAleiJC,683906,28,1976
35,Pennsylvania,Pennsylvania,BBC Big Band Orchestra,Pennsylvania 6-5000,spotify:track:4HzaaCN9C9f4dBrvcuxFpx,200920,10,2013-01-01
36,Pennsylvania,Pennsylvania,Heptet,Pennsylvania 6-5000,error,error,error,error
37,Pennsylvania,Pennsylvania,The BBC Orchestra,Pennsylvania 6-5000,spotify:track:4HzaaCN9C9f4dBrvcuxFpx,200920,10,2013-01-01
38,Pennsylvania,Pennsylvania,DMP Big Band,Pennsylvania 6-5000,spotify:track:4fsVfD5wWq6xGGkoS3xTB9,193306,20,1939
39,Pennsylvania,Pennsylvania,Royal Air Force Squadronaires,Pennsylvania 6-5000,spotify:track:4wWLVJ8epdHLVMlfVdaMnu,232071,0,2017-04-07
40,Pennsylvania,Pennsylvania,Swing the Mood,Pennsylvania 6-5000,spotify:track:7nIJWL9NK23Ua3yyOARgaB,220346,0,2002
41,Pennsylvania,Pennsylvania,Bigband Orchestra,Pennsylvania 6-5000,spotify:track:4DwD0RqL9KmK1BWru04CRu,552893,3,2018-03-23
42,Pennsylvania,Pennsylvania,Cyndi Lauper,Home for the Holidays,spotify:track:1UaJU1iRJoH32kAIUZouOi,184200,10,2011
43,Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania Polka,spotify:track:0oHEl2WcIxw5Bdv4rv3q9Q,169000,8,1996-01-01
44,Pennsylvania,Pennsylvania,Cal Pozo,Pennsylvania 6-5000,spotify:track:5STNjzxwd6gZco7ecPLEkt,173026,0,2012-01-01
45,Pennsylvania,Pennsylvania,The Band of the Royal Air Force College,Pennsylvania 6-5000,spotify:track:3DLhlVNM2uzqHEcclhs9GZ,214573,0,1998-09-15
