,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Puerto Rico,Puerto Rico,Rubén Blades,Almost Like Praying,spotify:track:3dskm5fAe8OkBtM9E0VVWx,200457,47,2017-10-06
1,Puerto Rico,Puerto Rico,Frankie Cutlass,Puerto Rico,spotify:track:30FQ3Tz4mcD26tIvdYHfRk,296125,21,1994-03-03
2,Puerto Rico,Puerto Rico,Aventura,Mi Puerto Rico,spotify:track:4Z4kXHVqBpvppEnSityvSl,232106,36,2002-06-01
3,Puerto Rico,Puerto Rico,Don Omar,Perreando [Mix],error,error,error,error
4,Puerto Rico,Puerto Rico,Elvis Crespo,Verano del 19,spotify:track:7v31MsTUNYCquNXmfZklX5,252054,31,2019-09-06
5,Puerto Rico,Puerto Rico,José Feliciano,Born in Puerto Rico,spotify:track:6ZgAXsyuHKOg8XPgQ9EcI3,299253,19,1997-11-18
6,Puerto Rico,Puerto Rico,Cristian Castro,Puerto Rico,spotify:track:605RHHTmzAkaBizxLWwCXi,265053,15,2006-12-05
7,Puerto Rico,Puerto Rico,Daddy Yankee,Medley Oh Ah,error,error,error,error
8,Puerto Rico,Puerto Rico,Don Omar,Perreando [Remix],spotify:track:2nwvB4Hrw0m0Nk7ff0cnW2,152266,34,2003-01-01
9,Puerto Rico,Puerto Rico,Tego Calderón,Conexion Puerto Rico,spotify:track:6HmbxFHqanr8i6CsZfbokq,220386,46,2004-07-28
10,Puerto Rico,Puerto Rico,La Sonora Matancera,La Isla del Encanto,spotify:track:6BauCT7BSMinCs677hGomN,157466,15,1959-01-01
11,Puerto Rico,Puerto Rico,Wyclef Jean,Coqui,spotify:track:3B1RukpznzdoQbN81BH0oc,276960,12,2005
12,Puerto Rico,Puerto Rico,Kevin Gates,83 Babies,error,error,error,error
13,Puerto Rico,Puerto Rico,Jerry Rivera,Puerto Rico,spotify:track:37nWU8AjaMIKWP0MKpTfMn,266106,21,2003-10-17
14,Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera,spotify:track:0OMRAvrtLWE2TvcXorRiB9,203160,73,2016-04-22
15,Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera [Salsa],spotify:track:22Z7mEnP1e4IyUDBIkj7Yf,203946,51,2016-04-22
16,Puerto Rico,Puerto Rico,Calle 13,La Crema,spotify:track:7EAIgk0EOZMFg8jr4uKaR8,241240,22,2007-04-23
17,Puerto Rico,Puerto Rico,N'Klabe,La Salsa de Puerto Rico,spotify:track:4hZYtnj3Wurw7LAWd3DsSN,299186,21,2005-10-18
18,Puerto Rico,Puerto Rico,"Kaïzer Panda, Kelyan Muller",Hum,spotify:track:73QlTXk6uQrKf02M5zrhUL,193329,19,2018-07-06
19,Puerto Rico,Puerto Rico,"Ivy Queen, De la Ghetto, Zion, Lennox, Pj Sin Suela, Lucecita Benitez",A Forgotten Spot (Olvidado),spotify:track:2iwUkZ9X1CRGpI9ZZWDOOt,346022,34,2018-09-20
20,Puerto Rico,Puerto Rico,Marc Anthony,Preciosa,spotify:track:2zSKn5OvDtSL5LWO7k0PKI,312160,41,2006-01-01
21,Puerto Rico,Puerto Rico,Victor Manuelle,Mi Salsa Le Gustó,spotify:track:1WnAbmi3ot0hXpafsyAidp,228720,17,2012
22,Puerto Rico,Puerto Rico,Big Punisher,100%,spotify:track:6xeB09UZ7cnexyMkYdGlMS,231800,42,2000-03-01
23,Puerto Rico,Puerto Rico,Frankie Ruiz,Puerto Rico,spotify:track:4doloJKKvqdQTlId3BWMWk,274586,38,2008-09-09
24,Puerto Rico,Puerto Rico,Vaya Con Dios,Puerto Rico,spotify:track:3hgcfNQI4jOIqjhI13im4E,261653,48,1988-09-30
25,Puerto Rico,Puerto Rico,Vaya Con Dios,Puerto Rico [DVD; Live; Version],error,error,error,error
26,Puerto Rico,Puerto Rico,Jennifer Lopez,Gotta Be There,spotify:track:5JN25NBxNORogVQodv3DD4,237680,10,2007-10-09
27,Puerto Rico,Puerto Rico,Cosculluela,Sigo Rico,spotify:track:3iq3AG31l8l2L1x1valVVI,245119,49,2018-08-31
28,Puerto Rico,Puerto Rico,Akon,Bring It On,spotify:track:4bmYilmgAivxOg8C8TCyy1,223773,35,2007-06-05
29,Puerto Rico,Puerto Rico,Victor Manuelle,Mi Salsa,spotify:track:1WnAbmi3ot0hXpafsyAidp,228720,17,2012
30,Puerto Rico,Puerto Rico,Kamil Show,Puerto Rico,spotify:track:6R6WT0WwnPWxwGb9MIJXSZ,178800,10,2018-01-29
31,Puerto Rico,Puerto Rico,Shy'm,Puerto Rico,spotify:track:2hCF9B8oQwQCZMrppbVD7g,191320,34,2019-04-26
32,Puerto Rico,Puerto Rico,"Mozart La Para, DCS, Juan Magán",Soy un Don,spotify:track:3quyvaJd0umAn7mvmDrYSm,204853,5,2020-07-24
33,Puerto Rico,Puerto Rico,Obie Bermúdez,La Más Bella,spotify:track:4OW0sSTjUOIk0Y6hpf21jL,231320,12,2006-01-01
34,Puerto Rico,Puerto Rico,Celia Cruz,Mi Bomba Sonó,spotify:track:7aNjMJ05FvUXACPWZ7yJmv,157906,27,1962-01-01
35,Puerto Rico,Puerto Rico,Eve,What Y'all Want [Remix; Bonus Track; Mix],error,error,error,error
36,Puerto Rico,Puerto Rico,Eve,What Y'all Want,spotify:track:06iIZcy6VspGTukqKkgLvw,245733,23,1999-09-14
37,Puerto Rico,Puerto Rico,Fero47,Puerto Rico,spotify:track:7xhhwI1IGeqAynXGOXcNtd,192400,30,2019-12-14
38,Puerto Rico,Puerto Rico,Pedro Capó,Calma [Remix],spotify:track:5iwz1NiezX7WWjnCgY5TH4,238200,82,2018-10-05
39,Puerto Rico,Puerto Rico,PnB Rock,Beast Mode,spotify:track:1AH60dMaEfNjzDoUIFwIQi,258158,62,2017-09-29
40,Puerto Rico,Puerto Rico,The Lonely Island,Where Brooklyn At? [Interlude],spotify:track:3IzXutqHKyLeNBTZi7xjVk,43386,22,2013-01-01
41,Puerto Rico,Puerto Rico,Blondie,Puerto Rico,error,error,error,error
42,Puerto Rico,Puerto Rico,Ricardo Arjona,Noticero,spotify:track:6uh3NoSYXlAPyErOCygAqd,328933,38,1996-08-20
43,Puerto Rico,Puerto Rico,Beenie Man,Belly Danza,spotify:track:0cGKcnXQmiyU5WKubrEmDh,245826,47,2016-11-11
44,Puerto Rico,Puerto Rico,Tego Calderón,Dominicana,spotify:track:45IOnEpVUdxWUZFqpZ7Xvz,252693,58,2003-07-01
45,Puerto Rico,Puerto Rico,"Alicia Keys, Pedro Capó, Farruko",Calma [Alicia Remix],spotify:track:2dXZsbiWJUmr0jnGzuyk5L,224092,61,2019-04-19
46,Puerto Rico,Puerto Rico,Gallego,Soy De La Calle,spotify:track:71PKpkXc740gQFim1t5ymI,264160,31,2006-01-01
47,Puerto Rico,Puerto Rico,Marc Anthony,Está Rico,spotify:track:2wRkBumdItthjYP9XknImg,215151,68,2018-09-28
48,Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera [Arabic],error,error,error,error
49,Puerto Rico,Puerto Rico,Jowell,Un Nuevo Amanecer (Terremoto En Puerto Rico),error,error,error,error
