,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,South Carolina,South Carolina,Josh Turner,South Carolina Low Country,spotify:track:0Jcw5iId8lvWD2kufa7rgZ,288533,37,2007-01-01
1,South Carolina,South Carolina,Dean Martin,Just a Little Bit South of North Carolina,spotify:track:6rc6TuBovkkAOVj6AiCnpk,127026,14,2006-01-01
2,South Carolina,South Carolina,Maclaren Brennan,South Carolina,error,error,error,error
3,South Carolina,South Carolina,Anita O'Day,Just a Little Bit South of North Carolina,spotify:track:7fK4RO6zPqy3fj7YroTlmB,160589,15,1941
4,South Carolina,South Carolina,Ray LaMontagne,Strong Enough,spotify:track:71UTcCow2CVqk8PkDsIrXq,214653,58,2020-05-29
5,South Carolina,South Carolina,Gene Krupa,Just a Little Bit South of North Carolina,spotify:track:7fK4RO6zPqy3fj7YroTlmB,160589,15,1941
6,South Carolina,South Carolina,Archers of Loaf,South Carolina,spotify:track:70jAh7IGCWu2RWvZ5Kqsjn,213693,12,1996
7,South Carolina,South Carolina,Poco,Crazy Eyes,spotify:track:76ghKBex4s8c8Ahc8DDsNM,579333,21,1973-09-15
8,South Carolina,South Carolina,John Linnell,South Carolina,spotify:track:7xloUzsOrH0Cd2CeR3M84w,226733,13,1999-10-26
9,South Carolina,South Carolina,Tennis,South Carolina,spotify:track:6d4El6z4CKzr4aDnc0cM0E,152200,24,2011
10,South Carolina,South Carolina,Jimmy Buffett,Honey Do,spotify:track:7CNXqnCm1sMUT64TzyjvMh,272200,19,1983
11,South Carolina,South Carolina,Kenny Rogers,Harder Cards,spotify:track:6sK4zGnhAlb5vPYeG6DKZS,244453,13,2003-11-23
12,South Carolina,South Carolina,Joe Strummer,Slant Six,spotify:track:1Y3ufJ7Nc6uLzzdGnmhl07,184200,14,1989
13,South Carolina,South Carolina,Gene Krupa & His Orchestra,Just a Little Bit South of North Carolina,spotify:track:7fK4RO6zPqy3fj7YroTlmB,160589,15,1941
14,South Carolina,South Carolina,Collin Raye,Harder Cards,spotify:track:7bhMu5bknvrSBOG37xCcHo,233600,5,2000-04-28
15,South Carolina,South Carolina,Vic Chesnutt,Bug,spotify:track:1F6x1U3E3HKv7bYySW1Ehe,197693,12,1990-06-19
16,South Carolina,South Carolina,Logic,Thank You,spotify:track:4ut9fdC5ncgcvCo0KaphNY,430426,47,2018-09-28
17,South Carolina,South Carolina,Stretch Armstrong,For the Record,spotify:track:6Q11dp2bngBcESuqBq8Gvd,125933,20,2001-01-01
18,South Carolina,South Carolina,Her Space Holiday,From South Carolina,spotify:track:3BJD7sSG6nCBnITr84DBHv,310360,8,2003
19,South Carolina,South Carolina,Petey Pablo,Raise Up,spotify:track:02GwPAncasVL82yC7y2hmN,286426,57,2001
20,South Carolina,South Carolina,Master P,How Ya Do Dat,spotify:track:1KLhUURHRl72xGO5A94lme,271066,50,1998-01-01
21,South Carolina,South Carolina,N.E.R.D.,Don't Don't Do It!,spotify:track:2svutFGaCycRmYc1mWbfQh,257706,47,2017-12-15
22,South Carolina,South Carolina,Master P,Murder,spotify:track:5mM61pzxKXAcURMwhUiyri,304560,26,1996-01-01
23,South Carolina,South Carolina,DJ Khaled,We Takin' Over,spotify:track:74OqjT3PMVWlZAyqUt4FgG,263280,60,2007-06-12
24,South Carolina,South Carolina,Fat Joe,We Takin' Over,spotify:track:01IEOqw1echnA84yE2qlL6,261067,30,2011-10-10
25,South Carolina,South Carolina,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,95800,3,2005-02-08
26,South Carolina,South Carolina,The Byrds,Hickory Wind,spotify:track:3YBTxokhuaszeWCOXC7FQn,211173,37,1968-08-30
27,South Carolina,South Carolina,Tom Petty,Louisiana Rain,spotify:track:5dfg1Piej2rQ0jwmwxo3kF,352413,43,1979-10-19
28,South Carolina,South Carolina,Baddazis,If You (With All),error,error,error,error
29,South Carolina,South Carolina,Toby Keith,"Nights I Can't Remember, Friends I'll Never Forget",spotify:track:1qADqycNhpOjkzPDlpgXms,239000,27,2003-11-04
30,South Carolina,South Carolina,Emmylou Harris,Hickory Wind,spotify:track:5JyccyUx3XcIvzlLtOD4jc,241986,20,2014-04-22
31,South Carolina,South Carolina,Cab Calloway & His Orchestra,Reefer Man,spotify:track:5dA4pnTZpc4DRSFEGCdi4a,177066,39,1989
32,South Carolina,South Carolina,Blake Shelton,Same Old Song,spotify:track:4R7Vo6WQpFQYHeZtzkswRP,230466,24,2001-07-31
33,South Carolina,South Carolina,Joan Baez,Hickory Wind,spotify:track:2WZWmp0kppEf7wptoYZykv,233643,17,2019-08-02
34,South Carolina,South Carolina,Elvis Costello,Sulphur To Sugarcane,spotify:track:3ZS1j1NvvgluHtYcHv9OMp,359933,13,2009
35,South Carolina,South Carolina,Future,Good Dope,spotify:track:2YXEUNdnNLtFuf5gi3LnWm,172225,48,2017-06-30
36,South Carolina,South Carolina,Ghostface Killah,Run [Remix],spotify:track:2oIf2YFQWvpXLU3NBHJFo1,350946,22,2014-05-27
37,South Carolina,South Carolina,Jason Aldean,She's Country,spotify:track:0PspNrE4MSjr1JeB4OW0jn,220573,68,2009-04-07
38,South Carolina,South Carolina,Jason Aldean,Talk About Georgia,spotify:track:5ALPzPUKl3Np5BrYTFs4Pb,164786,52,2019-11-22
39,South Carolina,South Carolina,Busta Rhymes,Everybody Rise Again,spotify:track:6nJyg6asDkAqfJNSbKaW9z,253773,33,2001-11-07
40,South Carolina,South Carolina,LL Cool J,American Girl,spotify:track:0pu2UahwNaw4cPwoRgOmFV,265786,8,2008-01-01
41,South Carolina,South Carolina,Talking Heads,I Get Wild/Wild Gravity,spotify:track:2VNfJpwdEQBLyXajaa6LWT,241920,65,1983-06-01
42,South Carolina,South Carolina,Bonnie Raitt,Used to Rule the World,spotify:track:0Aqm3LUGqIF2gSoZMFapvp,253493,31,2012-04-10
43,South Carolina,South Carolina,Dierks Bentley,The South,spotify:track:0GprdmOqisROSOLNT9qwFf,276906,51,2016-08-04
44,South Carolina,South Carolina,Kool Keith,Clifton,spotify:track:3ZTt9n74Ar8nRAvSqnClLa,289386,16,1999-05-01
45,South Carolina,South Carolina,Bill Anderson,Deck of Cards,spotify:track:2aHpm75XKcZHcoEYEYxSoL,187506,7,1991-02-19
46,South Carolina,South Carolina,Justin Moore,Sunshine Babies,spotify:track:2CCE5O5r5SErRUVFAejCQE,181893,38,2011-01-01
47,South Carolina,South Carolina,Frank Zappa,Porn Wars Deluxe,spotify:track:6zi8Xkx7p4snL7Gel0zBE4,1550866,5,2012-10-31
48,South Carolina,South Carolina,"Martin Luther King, Jr.",I Have a Dream,spotify:track:7p87vvf99lrnZdAjAVbqud,210000,18,2019-11-18
49,South Carolina,South Carolina,Gram Parsons,Hickory Wind,spotify:track:7FE9gpMY21ujjILiOsfaM0,255186,26,2006-06-20
