,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
98,Sioux Falls,South Dakota,Withered Beauty,Broken,spotify:track:4W8sUeokQKfHt1uTXp0Jq0,200672,76,4/17/20
108,Rapid City,South Dakota,Fifteen,924,spotify:track:1D2L6MefbXon28PzIk9I3r,211426,72,4/27/18
150,Rapid City,South Dakota,"Shaquille O'Neal, ShaqIsDope",Mans Not Hot,spotify:track:6X5OFBbrsHRsyO1zP7udgr,186026,67,9/22/17
188,Aberdeen,South Dakota,Rod Stewart,Ole Ola,spotify:track:1PCvKFPWnTXAe2oaReVUcr,222520,66,11/21/14
112,Rapid City,South Dakota,Future,March Madness,spotify:track:3WcC6NH9J77xPEvj1SOL7z,244511,64,3/21/15
107,Rapid City,South Dakota,Imperial Teen,Lipstick,spotify:track:2i1nmBnMkDGFTTjeGGIOTm,200293,59,11/17/14
151,Rapid City,South Dakota,Jon Jorgenson & Common Man Music,When I Lose You,spotify:track:1LbwMX3159t6QxG3u7DRWe,169720,59,6/16/17
210,Aberdeen,South Dakota,Achim Reichel,Aloha Heja He,spotify:track:3AQLL3Waks6LJ9FI8TFHGA,243146,56,1/1/91
141,Rapid City,South Dakota,Kevin Gates,Federal Pressure,spotify:track:73qvKxjIenqo9i0Z52I7Jc,171493,55,12/19/18
145,Rapid City,South Dakota,Tee Grizzley,God's Warrior,spotify:track:3Dkj37f0j3th0ZqtbWxh2s,167704,55,6/7/19
42,South Dakota,South Dakota,Pato Banton,Go Pato,spotify:track:4f1EdNgsnvVz6K5Qbu5JS0,275400,54,1/1/08
165,Rapid City,South Dakota,Pacewon,You,spotify:track:6Z9syPcYlnUvpMgmjQydIG,218293,54,10/25/11
176,Aberdeen,South Dakota,Cage the Elephant,Aberdeen,spotify:track:3L8sfv4Fb8pONhiMA4nAKJ,192920,54,1/10/11
39,South Dakota,South Dakota,Young Thug,Yamborghini Dream,spotify:track:2QBxdLNImwEDJCzI0Yzeka,227571,51,12/18/15
140,Rapid City,South Dakota,Gone West,Slow Down,spotify:track:67W4ZBcLxMCi5qSVnIsWJQ,232635,50,3/3/20
8,South Dakota,South Dakota,Big & Rich,8th of November,spotify:track:2X0aeFJXJZpeK2nSWvypiI,298240,49,11/15/05
27,South Dakota,South Dakota,Kid Rock,I Am,spotify:track:1k29zSC5RfaFYK5bTpK5O3,290493,49,8/5/98
126,Rapid City,South Dakota,Ghetto Commission,Bad Weather,spotify:track:6hAXcxHwMjotB8kCoSkdZg,363893,46,9/27/19
19,South Dakota,South Dakota,Toby Keith,Stays in Mexico,spotify:track:3EaUpHrrmoupWICI0uf6Y0,214800,45,1/1/08
84,Sioux Falls,South Dakota,Toby Keith,Stays in Mexico,spotify:track:3EaUpHrrmoupWICI0uf6Y0,214800,45,1/1/08
5,South Dakota,South Dakota,Bob Dylan,Ballad Of Hollis Brown,spotify:track:3Si9u9FVlUTcUXVcawnstJ,302306,44,1/13/64
93,Sioux Falls,South Dakota,Lupe Fiasco,Around My Way (Freedom Ain't Free),spotify:track:2Vba5MBCdGqcE57GSiOstv,255773,44,9/25/12
71,South Dakota,South Dakota,Kip Moore,Lipstick,spotify:track:1dEbGYcKvaf6LVVvRmsJJv,257853,43,8/21/15
167,Rapid City,South Dakota,"Fntxy, Alemán, Yung Sarria",Lo Paqui,spotify:track:4zZbkwTv36shTzGKt2wQXB,189499,43,4/20/19
195,Aberdeen,South Dakota,Pixies,Catfish Kate,spotify:track:2A6HCBN8tKnScxJc6uiarM,188306,43,8/6/19
189,Aberdeen,South Dakota,Taj Mahal,Don't Leave Me Here,spotify:track:1pDwZmpFoPyPTApIgCLwHS,301373,41,5/5/17
45,South Dakota,South Dakota,Manchester Orchestra,"Lead, SD",spotify:track:10fiZCExnOMqElSX952WZI,293920,40,7/28/17
47,South Dakota,South Dakota,Atmosphere,Jason,spotify:track:0KxgUgDARVHcJogTGxeiDk,294986,40,10/28/11
60,South Dakota,South Dakota,Purple Mountains,That's Just the Way That I Feel,spotify:track:5mgCP62kIGit9ICUdaqIgq,203693,40,7/12/19
