,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Tennessee,Tennessee,Don Gibson,Tennessee Stud,spotify:track:5uQ9V0s9Wd2Aklus6ULaSv,233740,0,2012-01-31
1,Tennessee,Tennessee,The Nitty Gritty Dirt Band,Tennessee,spotify:track:7y4n6DR00OatQpzp33IZby,290866,32,1972
2,Tennessee,Tennessee,Arlo Guthrie,Tennessee Stud,error,error,error,error
3,Tennessee,Tennessee,Grateful Dead,Tennessee Jed,spotify:track:1ae0SQx8MpBXo6QsmrpsEj,430626,49,2001
4,Tennessee,Tennessee,Ramblin' Jack Elliott,Tennessee Stud,spotify:track:7rbAmU1UITKIhDq47HRBwf,291253,14,1968
5,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee,spotify:track:54BqQGaBnDTkSKOp7A3MRP,250066,41,1985-01-01
6,Tennessee,Tennessee,Country Joe McDonald,Tennessee Stud,spotify:track:4QvPpTARltCJap9S4ky5N7,186106,31,2000-10-16
7,Tennessee,Tennessee,Johnny Cash,Tennessee Stud,spotify:track:5mRBBpUjXN3jHFT5GYNrrk,174626,52,1994-01-01
8,Tennessee,Tennessee,Joe Ely,Tennessee's Not the State I'm In,spotify:track:3avdLtBxdqApyHWygdYplC,184493,12,1977-01-01
9,Tennessee,Tennessee,Billy Eckstine,The Tennessee Rock 'N' Roll,spotify:track:6Jtrf0ljNtWF4ZhvjLeLyV,150106,0,2019-10-10
10,Tennessee,Tennessee,Porter Wagoner,Tennessee Stud,spotify:track:6slql8dg1Ix6QfkDQQbSa4,164533,0,1969-08-01
11,Tennessee,Tennessee,Jason Aldean,Tennessee River,spotify:track:3UOiZC28zG24pUhlLccEyS,262186,31,2013-01-01
12,Tennessee,Tennessee,Lester Flatt,My Little Girl in Tennessee,spotify:track:6VeWgbaIt3UoejSQgebdFJ,161266,13,2003-04-22
13,Tennessee,Tennessee,Bill Monroe,Tennessee,spotify:track:5LgEiSkzwYqHhW1iSOaDeT,169720,13,2002-04-23
14,Tennessee,Tennessee,Michael Martin Murphey,Tennessee Stud,spotify:track:1JiyMcyM8rnmWXegxzuwRd,251600,8,1997-06-03
15,Tennessee,Tennessee,Carl Perkins,Tennessee,spotify:track:64PVkJKrSoVLkjs1f35vVp,182923,23,1957
16,Tennessee,Tennessee,Jerry Lee Lewis,Tennessee,spotify:track:59Un8fxAhO1FOETMu1ZeGz,150733,9,1977-07-27
17,Tennessee,Tennessee,Chris LeDoux,Tennessee Stud,spotify:track:1nE8IYHkdPpU1UiVHTBVV9,171800,30,2004-01-01
18,Tennessee,Tennessee,Yelawolf,Tennessee Love,spotify:track:5zbN6BAAAjDwYjEJQFlbYb,294026,57,2015-04-21
19,Tennessee,Tennessee,Ohio Express,Down in Tennessee,error,error,error,error
20,Tennessee,Tennessee,The Everly Brothers,Rocky Top,spotify:track:7oOw3RPdIS7yVoiRK1TvAU,173520,5,1973
21,Tennessee,Tennessee,Dolly Parton,Rocky Top,spotify:track:3SpS1YrqjhPisiTsUlOXNy,175013,20,2004-09-14
22,Tennessee,Tennessee,Charlie Daniels,Tennessee Two Step,spotify:track:1Wa4fqByXUjhnJLWKj9dVg,291106,7,1993-01-01
23,Tennessee,Tennessee,Emmylou Harris,Tennessee Waltz,spotify:track:2Rx8TQCAXH5xXGbrDlzeia,148946,26,1981-11-11
24,Tennessee,Tennessee,Hank Snow & His Rainbow Ranch Boys,Music Makin' Mama from Memphis,spotify:track:7ehNNFXYveMucWhw6wP55f,144960,16,1997
25,Tennessee,Tennessee,Chris Stapleton,Tennessee Whiskey,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,293293,79,2015-05-04
26,Tennessee,Tennessee,Don Henley,Brand New Tennessee Waltz [Bonus Track],error,error,error,error
27,Tennessee,Tennessee,Barbara Mandrell,There's No Love in Tennessee,spotify:track:0Vb3vc3ks71X3cu1ZG9D5v,205586,11,2001-01-01
28,Tennessee,Tennessee,Dottie West,Rocky Top,spotify:track:4qmDOrlQOqiDlPqmeSAhb3,126906,3,2016-04-18
29,Tennessee,Tennessee,Conway Twitty,Rocky Top,spotify:track:15euJpYK8D9FguuIUwBY2Z,168493,50,1970-03-23
30,Tennessee,Tennessee,Hank Snow,Music Makin' Mama From Memphis,spotify:track:7ehNNFXYveMucWhw6wP55f,144960,16,1997
31,Tennessee,Tennessee,Patti Page,Brand New Tennessee Waltz,error,error,error,error
32,Tennessee,Tennessee,Roy Orbison,"Memphis, Tennessee",spotify:track:25xUWqJ6Nqf7bjU5E9df6B,167866,10,1972-01-01
33,Tennessee,Tennessee,Billy Dean,A Fall in Tennessee,spotify:track:3oGyCaYT2cpAZXKWYdyVW9,204160,1,1998-01-01
34,Tennessee,Tennessee,Dustin Dixon and the Free Atlantics,Tennessee,spotify:track:6Lk3I0wnHmZv01VaoSG3gK,215833,2,2018-07-04
35,Tennessee,Tennessee,Leonard Cohen,Tennessee Waltz [Live],spotify:track:2BhsSiyQdtY9xZt4Yq137J,245040,23,2004-10-26
36,Tennessee,Tennessee,Osborne Brothers,Tennessee Hound Dog,spotify:track:4OVxjPLXxJZ3arYt6CUH7E,148506,11,2008-05-30
