,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,West Jordan,Utah,Bob Dylan,The Groom's Still Waiting at the Altar,spotify:track:2BptgHssBhYE1y4ZH7oRew,242560,26,1981-08-12
1,West Jordan,Utah,Nas,Hustlers,spotify:track:1HnuXxMEkWJX9eDnTP2bbK,246786,27,2006-12-19
2,West Jordan,Utah,"Peter, Paul and Mary",Old Coat,spotify:track:4ovF3fgzZDg5pqqZHP1EHO,229893,16,1963
3,West Jordan,Utah,"Frauenarzt, Prinz Porno",Westberlin (RMX),error,error,error,error
4,West Jordan,Utah,E-A-Ski,Showdown,error,error,error,error
5,West Jordan,Utah,UGK,Hit the Block [Bonus Track],error,error,error,error
6,West Jordan,Utah,Eminem,Forever,spotify:track:6HSqyfGnsHYw9MmIpa9zlZ,357346,66,2009-01-01
7,West Jordan,Utah,Tha Alkaholiks,Hip Hop Drunkies,spotify:track:51aJEzSZv9jVyNTQNRTYti,294000,35,1997-08-26
8,West Jordan,Utah,"Talib Kweli, Madlib, Strong Arm Steady",The Function,spotify:track:0RmOQUx0kodbE5Z9hqjt1D,250226,13,2006-12-31
9,West Jordan,Utah,Lupe Fiasco,Hood Now (Outro),spotify:track:4yWSWOQjl0bPLB0JTOCZ1N,381493,26,2012-09-25
10,West Jordan,Utah,Kanye West,Last Call,spotify:track:7iOhWWYjhhQiXzF4o4HhXN,760973,53,2004-02-10
11,West Jordan,Utah,T.I.,Hit the Block,spotify:track:0d8WtGfFZBYqLDUwu6UI5g,238866,19,2007-08-07
12,West Jordan,Utah,Drapht,The Money,spotify:track:54IPXYStkMFIMCtUIpDdm1,266880,30,2008-05-10
13,West Jordan,Utah,Jamesy.,McBuckets,error,error,error,error
14,West Jordan,Utah,Rhymefest,Brand New,spotify:track:3hdtox1ZVmJBF9YjcEUy1o,220573,35,2006-07-10
15,West Jordan,Utah,Lupe Fiasco,Manilla,spotify:track:4qWFWexB8E8Bx0SMogNO9A,327496,39,2018-09-21
16,West Jordan,Utah,Chief Keef,Posse,spotify:track:3ppBBpdIGJucVIkeS1YuNd,195856,29,2019-03-15
17,West Jordan,Utah,OutKast,"Da Art of Storytellin', Pt. 2",spotify:track:2vjgepbkQg5jH8ujrKEOin,172026,45,1998-09-29
18,West Jordan,Utah,Kurtis Blow,Basketball,spotify:track:6IXANTg9CWP73yEXqTHkBx,386040,41,1994-01-01
19,West Jordan,Utah,Bubba Sparxxx,Regardless,spotify:track:6PHiXV6rQLphxgWqfEUuwt,276960,6,2001-01-01
20,West Jordan,Utah,Tha Alkaholiks,Hip Hop Drunkies [Album Version],error,error,error,error
21,Orem,Utah,South Park Mexican,Hoggin' and Doggin',spotify:track:5pVgfyGtr9hNxDbEtVYcfq,287440,40,2008-11-11
22,Orem,Utah,Rayssa e Ravel,Cowboy do Asfalto,spotify:track:6VD9gdqUTDHB2Tnos1kXOT,201084,7,1998-08-28
23,Orem,Utah,Aline Barros,As Pirâmides de Faraó,spotify:track:1Fxzwg5Gwv8JqLMbnItRh1,189614,29,2011-09-27
