,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Virgin Islands (U.S.),Virgin Islands (U.S.),R. City,Like This,spotify:track:1MfU6mWCehJGaTI0dvW5Kx,170653,26,2015-10-09
1,Virgin Islands (U.S.),Virgin Islands (U.S.),田中 美奈子,Virgin Eyes,error,error,error,error
2,Virgin Islands (U.S.),Virgin Islands (U.S.),渕上 祥人,Virgin Island,error,error,error,error
3,Virgin Islands (U.S.),Virgin Islands (U.S.),Ghostface Killah,We Made It,spotify:track:76V0gfcS8adKqVUIGGOugP,277933,29,2000-02-08
4,Virgin Islands (U.S.),Virgin Islands (U.S.),Shaggy,Follow Me,spotify:track:54QIrSIsS9ySnvLzQT2OWU,238426,8,1993-01-01
5,Virgin Islands (U.S.),Virgin Islands (U.S.),World Party,Hawaiian Island World,spotify:track:4K8rO92yvxMArnxBYmjZvA,260133,14,1987-03-03
6,Virgin Islands (U.S.),Virgin Islands (U.S.),Nas,Live Now,spotify:track:0ran26DV4RjKp80Db1Tp25,268746,25,2004-11-30
7,Virgin Islands (U.S.),Virgin Islands (U.S.),Azealia Banks,1991,spotify:track:0UTmS76yJwuCpiKEn16uN5,210478,50,2012-05-28
8,Virgin Islands (U.S.),Virgin Islands (U.S.),JIL,Virgin Atlantic,spotify:track:7kUEPtvwwmokIxAdNq7HaU,255937,14,2017-06-09
9,Virgin Islands (U.S.),Virgin Islands (U.S.),Iyaz,Solo,spotify:track:3fV2ZnSsxgvXUHshkGCBdR,194266,55,2010-02-08
10,Virgin Islands (U.S.),Virgin Islands (U.S.),Iyaz,Solo [Dave Audé Club],spotify:track:0hj3sKFbHdkKM7xyszZbfw,543146,7,2010-03-29
11,Virgin Islands (U.S.),Virgin Islands (U.S.),Eloy,Poseidon's Creation,spotify:track:6jQNrWP4jOZuubkl9FB0NA,701960,40,1977-10-26
12,Virgin Islands (U.S.),Virgin Islands (U.S.),Busta Rhymes,Busta's Intro,spotify:track:0eNGzSqI1Icrq7GfwRS1FI,113600,30,1997-07-11
13,Virgin Islands (U.S.),Virgin Islands (U.S.),Van Morrison,Beside You,spotify:track:4rkSM3eGYRULHVbPR8q75t,316853,38,1968-11-01
