,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Virginia,Virginia,Frank Sinatra,I Went Down to Virginia,spotify:track:0pkocPtEHRULr9CjcQm8yt,188893,3,1993-10-17
1,Virginia,Virginia,Prism,Virginia,spotify:track:7pURiKn9hnv1oUBwnOZioQ,238040,11,1979
2,Virginia,Virginia,King Virtue,Virginia,spotify:track:1Szz9M7OAnt0Pj5HfHiTQT,123820,14,2018-01-29
3,Virginia,Virginia,Waylon Jennings,"Yes, Virginia",spotify:track:0xA7xFAjOzzqueH3yFJyqP,156746,10,1970-01-01
4,Virginia,Virginia,Rod Stewart,Leave Virginia Alone,spotify:track:0mxf00t6M7TpfOtLG9aPvL,247400,20,1995-05-26
5,Virginia,Virginia,Phil Ochs,Hills of West Virginia,spotify:track:0OvW5WjO0lnOKoPmkg92no,201000,16,1965
6,Virginia,Virginia,Gene Vincent,North Carolina Line,error,error,error,error
7,Virginia,Virginia,Clipse,Virginia,spotify:track:7dpFJmdFiahlgzzEmgUwoN,237440,38,2002-04-01
8,Virginia,Virginia,The Carter Family,My Clinch Mountain Home,spotify:track:0NaUyTNqI4ojDNa0UhF0JZ,188120,15,2013-11-19
9,Virginia,Virginia,Old Crow Medicine Show,Carry Me Back to Virginia,spotify:track:3PKCDlvqRcVHEg5fys4l7g,294643,44,2013-06-25
10,Virginia,Virginia,Jimmie's Chicken Shack,Virginia County Line,spotify:track:7aiVyLj1QnoqafX3Plt1Sg,171466,5,1999-02-23
11,Virginia,Virginia,Pat Green,Virginia Belle,spotify:track:0IrjF0oFYCIroroVSIL65q,196906,9,2006-08-22
12,Virginia,Virginia,Olivia Newton-John,"Take Me Home, Country Roads",spotify:track:5b8x2tQCEFgjc7iwPc8TGI,197893,25,2013-03-19
13,Virginia,Virginia,Jerry Lee Lewis,Carry Me Back to Old Virginia,spotify:track:5RlB3dA2tPAY4sRAwBKHKW,139000,7,1970-01-01
14,Virginia,Virginia,Johnny Cash,Carry Me Back to Old Virginia,error,error,error,error
15,Virginia,Virginia,Marty Robbins,Oh Virginia,spotify:track:3r2oCpNkhcWQ2cZer36DR8,224346,25,1996-09-13
16,Virginia,Virginia,Olivia Newton-John,Take Me Home Country Roads,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,197893,25,2013-03-19
17,Virginia,Virginia,Old Crow Medicine Show,New Virginia Creeper,spotify:track:7gtfwg4hokBBQA2ETApINV,141386,28,2006-08-29
18,Virginia,Virginia,John Denver,"Take Me Home, Country Roads",spotify:track:39q7xibBdRboeMKUbZEB6g,197813,78,1997-06-17
19,Virginia,Virginia,Miranda Lambert,Virginia Bluebell,spotify:track:6Th15XMQ1UIuPrE2y3qKav,226600,34,2009-09-24
20,Virginia,Virginia,The Jeevas,Virginia,spotify:track:0lziUaJJUAZAZtGdzHhE3T,394866,38,2016-10-07
21,Virginia,Virginia,Daniel Johnston,Wild West Virginia,spotify:track:5WeKep4cLMI4V8iaYeqa2C,159800,12,1980
22,Virginia,Virginia,Big Wreck,West Virginia,spotify:track:4nTy6tPOA9mxVauIqaH4rC,282266,15,2001-06-05
23,Virginia,Virginia,Marissa Nadler,Virginia,spotify:track:1OUqAexO38P63H9wPt7Qz7,159386,8,2004
24,Virginia,Virginia,Clutch,Son of Virginia,spotify:track:7wygMtZZfWatJnD5NkPALn,435357,35,2015-10-02
25,Virginia,Virginia,Clipse,Famlay Freestyle,spotify:track:4Q59zRTLtgIPQy7AVdoXk2,117200,26,2002-04-01
26,Virginia,Virginia,The Rembrandts,Sweet Virginia,spotify:track:3kaXuT8wcPwvsUIHpIqlpS,247226,4,1992-08-25
27,Virginia,Virginia,Gin Blossoms,Virginia,spotify:track:5AvRmtCIvU3fe68RqWLhSy,242240,14,1996-01-01
28,Virginia,Virginia,Johnny Reid,Here I Am,spotify:track:6hl5OrVaqjwWvbz2aSrqe2,459266,0,1991
29,Virginia,Virginia,Hermes House Band,Country Roads,spotify:track:6BKOBYeTXMQtMRshLprSbS,193453,63,2015-12-02
30,Virginia,Virginia,Alan Menken,The Virginia Company,spotify:track:6NWI67PReLBT9JF3lRISIx,260026,2,1996-07-01
31,Virginia,Virginia,Graham Parker,Disney's America,spotify:track:2LawzxhFoCyaMBlSlIqvrQ,287306,1,1995
32,Virginia,Virginia,"Steve Earle, Steve Earle & the Dukes","Union, God, and Country",spotify:track:0YdcBZ6CdpD3ycT4Ju6CNM,143411,37,2020-05-22
33,Virginia,Virginia,The Rolling Stones,Sweet Virginia,spotify:track:1hJrWWK74fKL7eeV3CFOvF,266560,59,1972-05-12
34,Virginia,Virginia,Doyle Lawson,The Girl From West Virginia,spotify:track:2nJj1BlJYBSiDOHHfwXEJc,176266,23,2004-05-18
35,Virginia,Virginia,Louis Prima,Closest to the Bone,spotify:track:1hM17GopJXPqKaUVDVWzAD,253666,32,1957
36,Virginia,Virginia,Rod Stewart,Three Time Loser,spotify:track:7MPnvkKvXQw7KuGcL9Q65S,245373,40,1975
37,Virginia,Virginia,Billy Joel,Only the Good Die Young,spotify:track:1xOXXYh6lTW8laxlW7JP2J,235560,66,1977
38,Virginia,Virginia,Rod Stewart,Three Time Loser [Alternate Version; Previously Unreleased Track; Bonus Track],error,error,error,error
39,Virginia,Virginia,Foo Fighters,Arlandria,spotify:track:5TOYgNohZAFEPOtnchPhZS,267560,58,2011-04-12
40,Virginia,Virginia,Louis Prima,The Closer to the Bone (The Sweeter Is the Meat),spotify:track:1o8im4OjiFyiTV2aIdwqQu,252906,21,1999-01-01
41,Virginia,Virginia,John Linnell,West Virginia,spotify:track:3aHuwgvpSPkbaaRhRaNlak,212533,7,1999-10-26
42,Virginia,Virginia,Foo Fighters,Virginia Moon,spotify:track:2Ei5auE9kCmwKB2JZtKPKO,229106,51,2005-06-14
43,Virginia,Virginia,Gomez,Sweet Virginia,spotify:track:3D9CpIjuLUCFbEN028jspF,366866,23,2004-01-01
44,Virginia,Virginia,Charlie McCoy,"Take Me Home, Country Roads",spotify:track:2HoKkTf5IdkJaGCX0qcrJq,144066,1,1969-01-01
45,Virginia,Virginia,Blessid Union of Souls,Oh Virginia,spotify:track:4oJnBOPzqYu59ometYYYsR,239026,17,1995-01-01
46,Virginia,Virginia,Louis Prima,The When The Saints Go Marching In,spotify:track:25kmfeUOPWunCRWBg96McP,161026,17,2007-07-17
47,Virginia,Virginia,The Statler Brothers,Take Me Home Country Roads,spotify:track:3QL092IFSb15v5xaH1XGWa,172493,7,1972
48,Virginia,Virginia,"Brooks & Dunn, Ronnie Milsap, Willie Nelson, Dolly Parton, Charley Pride, Randy Travis, Martina McBride, Alan Jackson, Keith Urban, Vince Hill, Blake Shelton, Little Big Town, Dierks Bentley, Jason Aldean, Eric Church, Lady A, Artists Of Then, Now & Forever",Forever Country,spotify:track:7kyyhfvPx44OpssaM2uBnT,154973,0,2019-08-23
49,Virginia,Virginia,Billy Vaughn,"Take Me Home, Country Roads",spotify:track:3Zqb6D40jHpKz1EHQUpJqb,146599,5,2010-12-14
