,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Wisconsin,Wisconsin,Tim Angsten,A Girl from Wisconsin,spotify:track:6vqeBsBC2RBAPp4AyPNwEb,198750,1,2018-06-17
1,Wisconsin,Wisconsin,Joan Baez,The River in the Pines,spotify:track:63fsRxSx8FXyoF52RUuwHg,218093,19,1965
2,Wisconsin,Wisconsin,Lil Wayne,Can't Believe It,spotify:track:3xQCXDHNJXSVxECjTJCHFu,273826,59,2008-11-11
3,Wisconsin,Wisconsin,T-Pain,Can't Believe It,spotify:track:3xQCXDHNJXSVxECjTJCHFu,273826,59,2008-11-11
4,Wisconsin,Wisconsin,Art Paul Schlosser,Madison,spotify:track:2eGSGAikfSOqFMfQCLF6Z7,236333,0,1996-01-01
5,Wisconsin,Wisconsin,The Velvet Underground,The Gift,spotify:track:6xst1yRHJ2IkMQE0ebeU11,499746,33,1968-01-30
6,Wisconsin,Wisconsin,Static-X,Wisconsin Death Trip,spotify:track:5ctRbSANfjfqVeNGPI7oau,189293,42,1999-03-19
7,Wisconsin,Wisconsin,David Allan Coe,Juanita,spotify:track:3jzFEV0NC8IeQUEnGz1oMi,210000,12,1981-08-01
8,Wisconsin,Wisconsin,Mohan Zhang,Promontory,spotify:track:2VuoAqWKuWs7vZ6h8QZh6V,238900,0,2015-10-23
9,Wisconsin,Wisconsin,Lloyd Cole,The Gift,spotify:track:0jeWn7AlmBlDPiPuUKOmHn,131093,0,2016-03-09
10,Wisconsin,Wisconsin,Bon Iver,Wisconsin,spotify:track:28k8FDPkDnAIlHO1f5tBPB,368173,2,2007-07-30
11,Wisconsin,Wisconsin,Tom Waits,Diamonds on My Windshield,spotify:track:2MGl1N5KfEto51TT7bYq6y,192400,33,1974-10-15
12,Wisconsin,Wisconsin,Atom and His Package,Upside Down From Here,spotify:track:2ZMVmxVVehefiNRULLzZ7y,136906,16,2001-04-03
13,Wisconsin,Wisconsin,Whitehorse,Wisconsin,spotify:track:3FvKFSrgICUKA8U7hovUNk,173146,6,2012-08-28
14,Wisconsin,Wisconsin,Hank Snow,The Ballad of Hard Luck Henry,spotify:track:2nSKgYjEZSKqfYQv1hL4wL,275880,1,1968-07-22
15,Wisconsin,Wisconsin,Robert Johnson,32-20 Blues,spotify:track:0Q4ubt0dvVtMcAYwAul0Nl,170280,35,2011-04-22
16,Wisconsin,Wisconsin,Bruce Springsteen,Cadillac Ranch,spotify:track:2rYYg1HMvlNT9A1SdjSYlx,183093,45,1980-10-17
17,Wisconsin,Wisconsin,Gordon Lightfoot,Wreck of the Edmund Fitzgerald,spotify:track:536L9C0N7vhYdibCJx3cI2,389280,61,1976
18,Milwaukee,Wisconsin,Rod Stewart,What Made Milwaukee Famous,spotify:track:3rtfNbwTy1PcOyEPMq6hiw,174200,15,1976-08-19
19,Milwaukee,Wisconsin,Jerry Lee Lewis,What Made Milwaukee Famous,spotify:track:43Q9GI0n2kQRRNsM7y4ZwS,157720,35,1968-01-01
20,Milwaukee,Wisconsin,Rod Stewart,What Made Milwaukee Famous (Has Made a Loser Out of Me),spotify:track:3rtfNbwTy1PcOyEPMq6hiw,174200,15,1976-08-19
21,Milwaukee,Wisconsin,Jerry Lee Lewis,What Made Milwaukee Famous Made a Loser Out of Me,spotify:track:43Q9GI0n2kQRRNsM7y4ZwS,157720,35,1968-01-01
22,Milwaukee,Wisconsin,Jerry Lee Lewis,What Made Milwaukee Famous [DVD],error,error,error,error
23,Milwaukee,Wisconsin,Rod Stewart,What's Made Milwaukee Famous (Has Made a Loser Out of Me),spotify:track:3rtfNbwTy1PcOyEPMq6hiw,174200,15,1976-08-19
24,Milwaukee,Wisconsin,George Jones,"Milwaukee, Here I Come",spotify:track:3aX8VMOPwJ9BicI7kK0Zlc,156026,20,1969
25,Milwaukee,Wisconsin,Biz Markie,Dedication,spotify:track:1fYCqY0gC49SQbIyvZccMp,237653,9,1989-10-10
26,Milwaukee,Wisconsin,Ella Fitzgerald,My Cousin in Milwaukee,spotify:track:5Nnpg5VMO8uCdHelg1nsfV,189986,12,1959-01-01
27,Milwaukee,Wisconsin,Jerry Lee Lewis,What's Made Milwaukee Famous (Has Made a Loser Out of Me),spotify:track:43Q9GI0n2kQRRNsM7y4ZwS,157720,35,1968-01-01
28,Milwaukee,Wisconsin,Jerry Lee Lewis,What's Made Milwaukee Famous (Has Made a Loser Out of Me) [Live],error,error,error,error
29,Milwaukee,Wisconsin,Frankie Yankovic,Milwaukee Polka,spotify:track:3CVWe6p5R9ThoJyg1wAhir,176973,12,1966
30,Milwaukee,Wisconsin,1bruhcode,Before I Fall,error,error,error,error
31,Milwaukee,Wisconsin,Flogging Molly,What Made Milwaukee Famous (Made a Loser out of Me),error,error,error,error
32,Milwaukee,Wisconsin,Brad Paisley,Alcohol,spotify:track:5wKaxpvqXq95IaoAVPLgoi,290933,55,2005-08-16
33,Milwaukee,Wisconsin,Jerry Lee Lewis,What's Made Milwaukee Famous,spotify:track:43Q9GI0n2kQRRNsM7y4ZwS,157720,35,1968-01-01
34,Milwaukee,Wisconsin,Brad Paisley,Alcohol [Live],spotify:track:4BsSnJW3DhHNnmya076zrl,384600,27,2010-11-02
35,Milwaukee,Wisconsin,David Allan Coe,Juanita,spotify:track:3jzFEV0NC8IeQUEnGz1oMi,210000,12,1981-08-01
36,Milwaukee,Wisconsin,Coo Coo Cal,Dedication,spotify:track:4hAEW5yzog7GznhxeNprso,268893,10,2001-09-18
37,Milwaukee,Wisconsin,Unlinked Artist,What's Made Milwaukee Famous (Has Made a Loser Out of Me),error,error,error,error
38,Milwaukee,Wisconsin,Hanson,Silence,spotify:track:0in0eoL8Tj55jZNrjm5QMC,36497,13,2020-07-08
39,Milwaukee,Wisconsin,Hanson,Man From Milwaukee,spotify:track:3epuxnSvcVAQ7GtBKtAglC,218746,30,1997-01-01
40,Milwaukee,Wisconsin,"YFN Lucci, Trouble",Fuckin' Witchu,error,error,error,error
41,Milwaukee,Wisconsin,Hanson,Man from Milwaukee [Live],spotify:track:42F7MfxljponGL72O5HcNG,240093,11,1998-01-01
42,Milwaukee,Wisconsin,Johnny Bush,What Made Milwaukee Famous,spotify:track:7mEOMYAwixu6cdSPXgYYZd,146893,25,2004-11-30
43,Milwaukee,Wisconsin,Eric Bibb,Kokomo,spotify:track:4jfoFqhrqPyfD91umvpyxZ,296093,17,2009-04-07
44,Milwaukee,Wisconsin,Tim Wilson,Beer Belly Blues,spotify:track:5UcLmBLhRpW9UefcFmVLDW,147893,4,2002-01-01
45,Milwaukee,Wisconsin,Macabre,Grandmother's House,spotify:track:28S1mwVNp3PbQMqbs2eLEx,50453,16,2002-03-19
46,Milwaukee,Wisconsin,Gordon Lightfoot,10 Degrees & Getting Colder,spotify:track:5wAEUKKf2z0HJbxFIIkE4O,162200,18,1971
47,Milwaukee,Wisconsin,Illya Kuryaki and the Valderramas,Algo Huele Mal,spotify:track:6QZdMwlLGt3Q4ujY6UgGUP,333400,6,1992-10-15
48,Milwaukee,Wisconsin,Tech N9ne,My Fault,spotify:track:5atv8VNxrQWFYObSkMBTrZ,236412,31,2018-03-02
49,Milwaukee,Wisconsin,Citizen King,The Milky Way,spotify:track:58TnML3V5kST7L7iBQeejI,46133,7,1999-02-26
50,Milwaukee,Wisconsin,Nanci Griffith,Ten Degrees and Getting Colder,spotify:track:1KOEq7yfvUF8PhdtRRK4NH,160160,22,1993-02-09
51,Milwaukee,Wisconsin,Nat Stuckey,What's Made Milwaukee Famous,spotify:track:2R302vu8MVyc7CfjiHrvkx,167813,2,1968-09-27
52,Milwaukee,Wisconsin,Sonyae Elise,Chosen One,spotify:track:0xmysmjwaEZfDeNlPUa8Iq,245412,53,2019-04-12
53,Milwaukee,Wisconsin,Macabre,Coming to Chicago,spotify:track:6vSCg0P8UVOWKZxLHKEz7f,95720,10,2000-10-31
54,Milwaukee,Wisconsin,Iron & Wine,Winter Prayers,spotify:track:7KHCVkzgC86E0sAm8QESq9,191813,32,2013-04-16
55,Milwaukee,Wisconsin,Toosii,Patek Water,spotify:track:4F7IanXCoEeDQfiSeMVQQA,137485,41,2020-05-29
56,Milwaukee,Wisconsin,Celo & Abdi,Schuhkarton,spotify:track:4nTOBz7q4Bv5KvbfnSPZFs,241021,28,2017-10-27
57,Milwaukee,Wisconsin,RZA,"Drink, Smoke and Fcuk",spotify:track:1M90Ij00igsSjXZIUWvfae,203893,19,2003-10-07
58,Milwaukee,Wisconsin,Craig Morgan,Summer Sundown,error,error,error,error
59,Milwaukee,Wisconsin,Boosie Badazz,I'm on My Way,spotify:track:0O6XruaXYQ8ouQlrtO2ofD,174354,19,2018-11-22
60,Milwaukee,Wisconsin,X Clan,Fire & Earth (100% Natural),spotify:track:3EcE5UmofvWMhSA1aqJXLQ,386973,25,1992-01-01
61,Milwaukee,Wisconsin,Atom and His Package,Upside Down From Here,spotify:track:2ZMVmxVVehefiNRULLzZ7y,136906,16,2001-04-03
62,Milwaukee,Wisconsin,Hanalei,Derailment at Six Flags,spotify:track:3iqzGa6px5iKdbVxSuDmAZ,246586,0,2006
63,Milwaukee,Wisconsin,Kind of Like Spitting,1330 Oak 1995,spotify:track:79zp0URDWB8y48RRxzIfsk,157000,8,2000
64,Milwaukee,Wisconsin,Two Man Advantage,Let's Drink,spotify:track:0uFe2HOiHaqc7ouzWSDUjl,125173,0,2001-05-01
65,Milwaukee,Wisconsin,Waylon Jennings,Me and Paul,spotify:track:0gEroIf2sx5OLhIB4PzDfl,220800,22,1976-12-01
66,Milwaukee,Wisconsin,Willie Nelson,Me and Paul,spotify:track:4vcDnnuHUmombz20IRkzRO,228560,45,1971
67,Milwaukee,Wisconsin,Tanya Tucker,Texas (When I Die),spotify:track:7iinaW517AH0bUXbAKN8JB,292000,43,1978-01-01
68,Milwaukee,Wisconsin,Ella Fitzgerald,Always True to You in My Fashion,spotify:track:4tGRoFeYRR23Z6sAjOklXA,170933,21,1956-01-01
69,Milwaukee,Wisconsin,Ella Fitzgerald,(I'm) Always True To You In My Fashion,spotify:track:4tGRoFeYRR23Z6sAjOklXA,170933,21,1956-01-01
70,Milwaukee,Wisconsin,Tom Petty,Honey Bee,spotify:track:7bBJ2wBvhbCiNaZRqG3yTr,298600,45,1994-10-21
71,Milwaukee,Wisconsin,Pearl Jam,Sweet Lew,spotify:track:5UZQLBnip2GdQBknnckQBr,130226,20,2003-11-10
72,Milwaukee,Wisconsin,Jo Stafford,Always True to You in My Fashion,spotify:track:66RStPyx5ET0DjalKNAoLP,158640,13,1996-01-01
73,Milwaukee,Wisconsin,Ella Fitzgerald,I'm Always True to You in My Fashion,spotify:track:4tGRoFeYRR23Z6sAjOklXA,170933,21,1956-01-01
74,Milwaukee,Wisconsin,Dinah Shore,Always True to You in My Fashion,spotify:track:61DNwXZYTrImVM5dvlUY2i,187173,1,2020-04-07
75,Milwaukee,Wisconsin,Julie London,Always True to You in My Fashion,spotify:track:1t5KCAy7riP1uPT4uCYdwN,151213,8,1961
76,Milwaukee,Wisconsin,Peggy Lee,Always True to You in My Fashion,spotify:track:2v02enIpGK5SNknrgSIJiY,122800,3,1991-01-01
77,Milwaukee,Wisconsin,Kris Kristofferson,Me and Paul,spotify:track:0ikeK1TMOQ8vqQhYQLUbPF,286360,8,2018-11-09
78,Milwaukee,Wisconsin,Blossom Dearie,Always True to You in My Fashion,spotify:track:6T5y1FEFL7eKPBaZCwLGh3,169720,15,1960-01-01
79,Milwaukee,Wisconsin,R. Kelly,Definition of a Hotti,spotify:track:22wpNFEP7Fwve6r8MRc7xO,263506,17,1992-01-13
80,Milwaukee,Wisconsin,Paul Simon,The Werewolf,spotify:track:6V1YFdSeQBdAgd8qisG03T,205666,29,2016-06-03
81,Milwaukee,Wisconsin,Ronald Isley,Pimp Juice,spotify:track:7FQRAWcmFaxexP9vJe8G8k,360000,15,2003-11-25
82,Milwaukee,Wisconsin,Ludacris,Wish You Would,spotify:track:6MhCDZSJwSVTTjlPGbtYbB,287200,30,2008-11-24
83,Milwaukee,Wisconsin,Nelly,Pimp Juice,spotify:track:7bYKMJI4z6mApjLhv4hOBM,292173,50,2002-06-25
84,Milwaukee,Wisconsin,"Ludacris, T.I.",Wish You Would,spotify:track:6MhCDZSJwSVTTjlPGbtYbB,287200,30,2008-11-24
85,Milwaukee,Wisconsin,Drake,Walk It Talk It,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,276147,76,2018-01-26
86,Milwaukee,Wisconsin,Master P,Who Want Some,spotify:track:0pgDu905qhFHpobcH3qv4m,199573,10,2006-09-19
87,Milwaukee,Wisconsin,Bone Thugs-N-Harmony,Thug Mentality,spotify:track:1WUiKuXqQw8CBFloE3DqrM,36773,14,2019-09-27
88,Milwaukee,Wisconsin,The Doobie Brothers,Wild Ride,spotify:track:6jYuWgVsmTahKHvwPE24lJ,234893,8,1996-07-25
89,Milwaukee,Wisconsin,Master P,Shake What Ya Got,spotify:track:6Sr9hUmgqtuacMP2gTuzKt,241186,9,2005-06-21
90,Milwaukee,Wisconsin,Emmylou Harris,Speedway at Nazareth,spotify:track:565wMW6kWwmwtTfpcIlTVj,419080,20,2006-11-14
91,Milwaukee,Wisconsin,Emmylou Harris,Speedway at Nazareth [DVD],error,error,error,error
92,Milwaukee,Wisconsin,Jadakiss,Put Ya Hands Up,spotify:track:3XvqWzbuE5lvYaBbJiZzTE,177360,24,2011-04-05
93,Milwaukee,Wisconsin,Rosemary Clooney,Sweet Kentucky Ham,spotify:track:1owBBigeUBA0B4lCHxVaNS,232600,4,1992-01-01
94,Milwaukee,Wisconsin,"Travis Scott, T.I., Young Dro, Iggy Azalea",Hell You Sayin',spotify:track:56L2PxE7E39usWYlPszvgh,285136,0,2016-08-24
95,Milwaukee,Wisconsin,"Fat Trel, Tracy T, Rick Ross, Gunplay, Wale, French Montana, Rockie Fresh",Finals 2,spotify:track:6AsMNVAyklk0MDLUW4vhA8,460512,0,2019-08-01
96,Milwaukee,Wisconsin,Willie Nelson,Me And Paul,spotify:track:4vcDnnuHUmombz20IRkzRO,228560,45,1971
97,Milwaukee,Wisconsin,Dr. Demento,Deteriorata,error,error,error,error
98,Milwaukee,Wisconsin,National Lampoon,Deteriorata,error,error,error,error
99,Milwaukee,Wisconsin,Funkmaster Flex,Put Ya Hands Up,spotify:track:1L8dJE1y6eFI1s33uxK8ts,260112,0,2020-05-12
100,Milwaukee,Wisconsin,Limp Bizkit,Show Me What You Got,spotify:track:5iJmknkGRxLQUHnWat2Ybd,266906,47,1999
101,Milwaukee,Wisconsin,Jazze Pha,Contract,spotify:track:1TB2N2RZ6348hjL5PGp8DN,201470,31,2019-05-31
102,Milwaukee,Wisconsin,Public Enemy,Super Agent,spotify:track:3L984fcHzZ70aNNTinZjGa,215533,8,1998-04-28
103,Milwaukee,Wisconsin,Redman,Wutchoogonnado,spotify:track:4yF2c3cbFDrM6m6fES5BQO,355093,11,2007-01-01
104,Milwaukee,Wisconsin,Limp Bizkit,Show Me What You Got [DVD],error,error,error,error
105,Milwaukee,Wisconsin,Chance the Rapper,LSD,spotify:track:1cBs15tQeh4ewFqlwndESK,208329,50,2017-08-15
106,Milwaukee,Wisconsin,Halsey,929,spotify:track:1ed6Wdjk7gkxI2lIYjAoJ2,174806,62,2020-01-17
107,Milwaukee,Wisconsin,Eydie Gorme,Always True to You in My Fashion [From Kiss Me Kate],error,error,error,error
108,Milwaukee,Wisconsin,Busta Rhymes,Get Down,spotify:track:7xqDBZkjo0i4XtkrbuFARV,220600,37,2006-01-01
109,Milwaukee,Wisconsin,Tanya Tucker,Texas When I Die,spotify:track:7iinaW517AH0bUXbAKN8JB,292000,43,1978-01-01
110,Milwaukee,Wisconsin,Lil Pump,Iced Out,spotify:track:1c5Lbn9mYwNYbnNiizw6D0,192000,54,2017-10-06
