,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Wyoming,Wyoming,The Black Crowes,Wyoming & Me,spotify:track:741JlxIjDK7YZHBIHrO5CD,255476,0,2017-05-31
1,Wyoming,Wyoming,Bill Staines,My Sweet Wyoming Home,spotify:track:4PVze8ZOsPG013BtJ9uZWg,227266,9,1977-01-01
2,Wyoming,Wyoming,Chris LeDoux,Sweet Wyoming Home,spotify:track:7x7QZGghgboKxtr5Gl7ZgI,185266,17,1988-01-01
3,Wyoming,Wyoming,The Weavers,Get Along Little Dogies,spotify:track:798cqs4XuiE5gcam9qgUw9,211840,1,1991-01-01
4,Wyoming,Wyoming,John Denver,Song of Wyoming,spotify:track:5VwrpYZ4Fx3a7NvcvzgtYG,199413,29,1975-09
5,Wyoming,Wyoming,Nickel Creek,Git Along Little Dogies,error,error,error,error
6,Wyoming,Wyoming,Chris LeDoux,Paint Me Back Home in Wyoming,spotify:track:35sBPWjxXFTDYGc1OiCTin,240280,18,2004-01-01
7,Wyoming,Wyoming,Chris LeDoux,Old Tom Horn,spotify:track:6Y1O8s2csR3f5noMep2BYH,190357,12,1981
8,Wyoming,Wyoming,Woody Guthrie,Get Along Little Doggies,spotify:track:3dzywdSGTNR3GvqD9DX73S,241546,0,2003-01-05
9,Wyoming,Wyoming,Brenn Hill,Wyoming Wind,spotify:track:64WZ0DPTVx6BfyzTd5FG2J,221390,11,2018-01-12
10,Wyoming,Wyoming,Roger Waters,4.47 AM (The Remains of Our Love),spotify:track:7zxNeVfMBW50KI16u7lLvH,189440,35,1984-08-21
11,Wyoming,Wyoming,Chris LeDoux,Song of Wyoming,spotify:track:7E0c6I0sVFThA9KQFgoFWl,238373,29,2000-01-01
12,Wyoming,Wyoming,Chris LeDoux,Take Me Back to Old Wyoming,spotify:track:0hc2MO9Hd8n5Qn7giBGrGI,173986,14,1983-01-01
13,Wyoming,Wyoming,Kellie Coffey,Why Wyoming,spotify:track:7rfI5Qt1W0r2ZDOD4CQCNO,253333,9,2002-05-06
14,Wyoming,Wyoming,Irving Berlin,"I'm a Bad, Bad Man",spotify:track:5RMb2qsdac9HZ6FVrkm7kX,153186,0,2006-01-01
15,Wyoming,Wyoming,Camper Van Beethoven,Peace & Love,spotify:track:0Akv0126rJXar4tqJFR2zA,159706,6,1986-01-01
16,Wyoming,Wyoming,Chris LeDoux,They Couldn't Understand My Cowboy Songs,spotify:track:6h7sysd12GYO7gwiihu1ze,188560,11,1994-01-01
17,Wyoming,Wyoming,Don McDermott,My American Home,spotify:track:2O3AbMjBorCoLKAmUuhcWb,234814,0,2019-12-31
18,Wyoming,Wyoming,Brand New Sin,Wyoming,spotify:track:21cE1Cg1QzASUEioNrCaNJ,371506,13,2005-07-13
19,Wyoming,Wyoming,Laura Vinson and Free Spirit,Wyoming Wind,spotify:track:2dYEOoDHcmlRKGZDG8LGwP,300904,0,2016-01-01
20,Wyoming,Wyoming,Sole,"Slow, Cold Drops",spotify:track:2PFGkM3QaqJnkBQRYZVin9,242586,5,2004-01-01
21,Wyoming,Wyoming,Bruce Springsteen,Nebraska,spotify:track:7GDIQqD5pdHCda5rpZ98Ie,269813,48,1982-09-30
22,Wyoming,Wyoming,Marty Robbins,Song of the Bandit,spotify:track:73LSgMl4p3cpsC2WyCyBLy,149760,25,1976
23,Wyoming,Wyoming,Bruce Springsteen,From Small Things (Big Things One Day Come),spotify:track:282dVm1dvbGqev47BXjjoO,162053,31,1980-10-17
24,Wyoming,Wyoming,The Nitty Gritty Dirt Band,From Small Things (Big Things One Day Come),spotify:track:5qdxbeXfVGFmJ85c3ctlK6,236440,6,1990-01-01
25,Wyoming,Wyoming,George Strait,I Can Still Make Cheyenne,spotify:track:7yQMZQeiSKnvEgimeGPVhi,256066,59,1996-01-01
26,Wyoming,Wyoming,Garth Brooks,The Beaches of Cheyenne,spotify:track:1Jd41ZjPzkZmW1tG7XkcGH,253747,41,2015-03-13
27,Wyoming,Wyoming,Weird Al Yankovic,I'll Sue Ya,spotify:track:441FMk4c25CSnKEM7sGqPC,230960,36,2006-09-26
28,Wyoming,Wyoming,The Kingston Trio,Dogie's Lament,spotify:track:7GHgNKlLIe8cmmwbMonfSN,138893,14,1962-11-07
29,Wyoming,Wyoming,Los Tigres del Norte,Somos Más Americanos,spotify:track:0kBFfb1T2aCkhSJUIo56Mz,250080,49,2011-01-01
30,Wyoming,Wyoming,Elton John,American Triangle,spotify:track:6mCmViyyn4V3Teh5M6LUuU,289013,24,2001-10-01
31,Wyoming,Wyoming,Emmylou Harris,Nebraska,spotify:track:1n4p6p4YGc6utYYaeLG8XK,210906,0,2001-01-01
32,Wyoming,Wyoming,John Denver,Whiskey Basin Blues,spotify:track:36L7I2kz2Lx5S4QYljOgZc,167800,14,1973
33,Wyoming,Wyoming,Roy Orbison,Cheyenne,spotify:track:7KkfYURx8XJimnZuHeWfxC,127373,5,1972-01-01
34,Wyoming,Wyoming,Waylon Jennings,Old Timer (The Song),spotify:track:5NiZFsh0AHV6eVQSwGwTsS,331640,12,1994-09-13
35,Wyoming,Wyoming,"Hank Williams, Jr.","Cut Bank, Montana",spotify:track:5GCOArhD0x9mDOq1BSFaMY,281666,24,1992
36,Wyoming,Wyoming,Lil Wayne,Trap House,spotify:track:2Pa9WSbTgdCp3NzjBrLJpA,158520,34,2018-09-11
37,Wyoming,Wyoming,Garth Brooks,Good Ride Cowboy,spotify:track:4CsuzwPDmdI9VNx0577gUE,202961,19,2017-10-26
38,Wyoming,Wyoming,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,95800,3,2005-02-08
39,Wyoming,Wyoming,Busta Rhymes,Everybody Rise Again,spotify:track:6nJyg6asDkAqfJNSbKaW9z,253773,33,2001-11-07
40,Wyoming,Wyoming,Chris Young,Neon,spotify:track:575wNG8uXiF5jjaSdWqdxZ,224160,51,2011-07-11
41,Wyoming,Wyoming,Mary Chapin Carpenter,Livingston,spotify:track:2VGz5oPOJdV2m0lR3aU6hP,313146,20,2016-05-06
42,Wyoming,Wyoming,Migos,Cross The Country,spotify:track:2Oah03oharaPTFWTIVPuCC,387525,41,2014-11-05
43,Wyoming,Wyoming,Tom Russell,Bucking Horse Moon,spotify:track:36cEbD8ARwfdfVczA3OMLJ,241813,22,2004-02-24
44,Wyoming,Wyoming,Nana Mouskouri,Tourme Autour de Moi,error,error,error,error
45,Wyoming,Wyoming,Camper Van Beethoven,"Eye of Fatima, Pt. 1",spotify:track:1TXDrgYAtXahn3QbhrUH4y,323711,6,2010-06-29
46,Wyoming,Wyoming,Colt Ford,What I Call Home,spotify:track:14AAb2TLONyvf0aNS8i45E,247226,18,2011-05-03
47,Wyoming,Wyoming,Sublime,What Happened/Eyes of Fatima,spotify:track:2BwFrs0hnttqDm8CXLv0Hi,117893,31,1998-11-17
48,Wyoming,Wyoming,The Pharcyde,Y?,spotify:track:3Idgk0phpc2oewAJzKgoU4,260906,45,1992-11-24
49,Wyoming,Wyoming,DJ Shadow,Two Notes,spotify:track:2qRXnsJ23yzkPM5FSTVtZz,219266,25,2019-11-15
50,Wyoming,Wyoming,C.W. McCall,Aurora Borealis,spotify:track:3wvwztkeCvq8GBMsbLYyUz,249093,21,1990-01-01
