,state,city,song,artist,uris
0,Maryland,Aberdeen,I-95,Fountains of Wayne,spotify:track:2mxVcdcGIBCVjBtIgOa42q
1,Kansas,Abilene,Abilene,George Hamilton IV,spotify:track:5bA26v8eeZrbHJpD4YPKAX
2,Ohio,Akron,Downtown (Akron),The Pretenders,spotify:track:5Tgw8sksXTMJH3dRQ9aP7y
3,Ohio,Akron,My City Was Gone,The Pretenders,spotify:track:168afNpNQ4YTff7VSih55v
4,New Mexico,Albuquerque,Albuquerque,Neil Young,spotify:track:6nsxXdOAjeosqcGGsmPjnN
5,New Mexico,Albuquerque,Albuquerque,Sons of the Desert,spotify:track:4qtUVRGt8R28Ie7QI5Vn5O
6,New Mexico,Albuquerque,Albuquerque,"""Weird"" Al Yankovic",spotify:track:2Ec0liSMY2h4XORHyzKCmY
7,New Mexico,Albuquerque,Blue Bedroom,To Keith,spotify:track:0elXsqvn9hJOoEB7Vr4wsv
8,New Mexico,Albuquerque,Bring Em Out,T.I.,spotify:track:3CcvahnsiArpTHYQEWV2Au
9,New Mexico,Albuquerque,By the Time I Get to Phoenix,"Frank Sinatra, Dean Martin, Roger Miller, Engelbert Humperdinck, Johnny Rivers",spotify:track:1tZKsxgKebVQX9s6oiojG9
10,New Mexico,Albuquerque,Cowboy Movie,David Cros,spotify:track:5ZoI4tXPZzcN7PIVmxO7kF
11,New Mexico,Albuquerque,Get Your Kicks on Route 66,Perry Como,spotify:track:0zQ1o6q0QaeMgro248kNGh
12,New Mexico,Albuquerque,I Hope Your Whole Life Sux,Blackbear,spotify:track:4uVslVnCNW0wkBxUmtqeVn
13,New Mexico,Albuquerque,Make it Clap,Busta Rhymes,spotify:track:6NM525U7IB4Zhpn8d921uX
14,New Mexico,Albuquerque,Space Between Us,Sister Hazel,spotify:track:2TXbRtVpJuw05Dx1N59OtA
15,New Mexico,Albuquerque,The King of Rock 'n' Roll,Prefab Sprout,spotify:track:6QIlvgk2Q2EyalaneqSuqX
